,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IUPUI_HkPrMobiDyR,FH_IowaStateLW_STEM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_SigSci_TS,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
COVID_Hub_Trained_Ensemble,0.0,0.33666,0.7750400000000001,1.4395400000000007,0.3582400000000001,0.0,0.7368400000000002,0.7721700000000001,0.7506099999999998,0.80942,0.80942,0.3737399999999999,0.31122000000000016,0.57013,0.41748999999999997,0.4013300000000001,0.9144600000000002,1.0428,0.38394,0.8803300000000001,0.3825400000000002,0.30585,0.4583000000000002,0.85502,0.35217999999999994,0.33677000000000007,0.36428000000000005,0.28196,0.5199299999999999,0.3295900000000001,0.9147200000000002,0.3297400000000001,0.7931600000000002,0.7135900000000001,0.41499999999999987,0.41568999999999995
FH_BPagano_RtDriven,0.33666,0.0,0.8763466666666659,1.5284333333333322,0.33994666666666656,0.33666,0.5179099999999995,0.5291966666666671,0.5419766666666668,0.6080533333333332,0.5746100000000001,0.32539,0.32407999999999987,0.6844933333333323,0.41074999999999967,0.43072333333333346,0.9447450000000002,0.9810233333333328,0.3459733333333334,1.029723333333333,0.6693966666666666,0.345988,0.4014033333333333,0.8894600000000008,0.4789133333333331,0.34001,0.42915000000000003,0.44357333333333315,0.7271333333333335,0.31076666666666675,0.9847466666666664,0.3237966666666664,0.7211966666666669,0.8540866666666669,0.36243333333333344,0.39584666666666707
FH_CEID_Walk,0.7750400000000001,0.8763466666666659,0.0,1.1842466666666678,0.7866466666666673,0.7750400000000001,0.8611900000000002,0.8761233333333329,0.8643433333333331,0.8499533333333333,0.85323,0.8889033333333329,0.8697933333333333,0.8615033333333336,0.8593700000000001,0.8116199999999998,0.9040400000000001,0.9095600000000001,0.8484133333333332,0.7947466666666664,0.7967933333333334,0.8262040000000004,0.8983633333333337,0.8429266666666668,0.8315433333333333,0.8682200000000002,0.8207799999999995,0.8676633333333335,0.8140666666666664,0.8764866666666664,0.9801099999999998,0.8550533333333336,0.887613333333334,0.7886366666666671,0.8677799999999997,0.8233433333333332
FH_COVIDhub_baseline,1.4395400000000007,1.5284333333333322,1.1842466666666678,0.0,1.38957,1.4395400000000007,1.4855066666666668,1.4925699999999993,1.38962,1.420210000000001,1.4374833333333337,1.5002433333333338,1.5478633333333318,1.5408000000000002,1.5573533333333331,1.3734733333333318,1.5813049999999995,0.6079099999999998,1.5116899999999993,1.1998099999999998,1.290863333333333,1.4356280000000003,1.488293333333331,1.4398133333333327,1.3298166666666669,1.4387700000000003,1.4874099999999992,1.6086699999999983,1.6049866666666672,1.523659999999999,0.6442066666666664,1.4968266666666652,1.5666066666666658,1.3702933333333318,1.5690400000000007,1.4401233333333325
FH_COVIDhub_ensemble,0.3582400000000001,0.33994666666666656,0.7866466666666673,1.38957,0.0,0.3582400000000001,0.4637233333333334,0.4780466666666666,0.4695433333333336,0.5870000000000002,0.5138833333333337,0.2895633333333334,0.29858333333333337,0.7548166666666666,0.4742333333333332,0.27242000000000016,0.9884500000000003,0.7971500000000006,0.3052000000000001,1.0034833333333344,0.6275,0.2820319999999999,0.4945733333333328,0.8865266666666664,0.4012166666666667,0.29946,0.41700333333333317,0.42705666666666664,0.7293266666666668,0.2610133333333333,0.8474666666666663,0.2679000000000001,0.811063333333333,0.8705166666666669,0.29924666666666666,0.2866900000000003
FH_COVIDhub_trained_ensemble,0.0,0.33666,0.7750400000000001,1.4395400000000007,0.3582400000000001,0.0,0.7368400000000002,0.7721700000000001,0.7506099999999998,0.80942,0.80942,0.3737399999999999,0.31122000000000016,0.57013,0.41748999999999997,0.4013300000000001,0.9144600000000002,1.0428,0.38394,0.8803300000000001,0.3825400000000002,0.30585,0.4583000000000002,0.85502,0.35217999999999994,0.33677000000000007,0.36428000000000005,0.28196,0.5199299999999999,0.3295900000000001,0.9147200000000002,0.3297400000000001,0.7931600000000002,0.7135900000000001,0.41499999999999987,0.41568999999999995
FH_CU_nochange,0.7368400000000002,0.5179099999999995,0.8611900000000002,1.4855066666666668,0.4637233333333334,0.7368400000000002,0.0,0.02313000000000002,0.0991866666666667,0.15533666666666668,0.12307,0.5276633333333335,0.549976666666667,0.8305133333333334,0.6482966666666665,0.5198266666666669,0.9160949999999997,1.0239600000000004,0.4991033333333333,0.867143333333333,0.7072866666666664,0.5907640000000002,0.5511266666666671,0.6428633333333331,0.5852600000000003,0.5524399999999998,0.48200000000000026,0.6142300000000002,0.7267600000000003,0.5567899999999999,0.86193,0.5749533333333331,0.7760433333333332,0.7859100000000001,0.5648766666666662,0.449436666666667
FH_CU_scenario_high,0.7721700000000001,0.5291966666666671,0.8761233333333329,1.4925699999999993,0.4780466666666666,0.7721700000000001,0.02313000000000002,0.0,0.10586666666666668,0.13222000000000006,0.08746,0.5449633333333337,0.5636399999999998,0.8297533333333332,0.6590166666666665,0.539833333333333,0.9060949999999997,1.029360000000001,0.5153666666666665,0.8649533333333335,0.73357,0.6141759999999997,0.5704433333333335,0.6244733333333332,0.6078433333333331,0.5700933333333335,0.5114466666666663,0.6241899999999997,0.7114733333333332,0.570343333333333,0.8717500000000005,0.5895266666666664,0.7523166666666671,0.7783266666666663,0.5775166666666668,0.4669400000000005
FH_CU_scenario_low,0.7506099999999998,0.5419766666666668,0.8643433333333331,1.38962,0.4695433333333336,0.7506099999999998,0.0991866666666667,0.10586666666666668,0.0,0.15987666666666672,0.09076333333333335,0.5403033333333327,0.5845433333333337,0.8578933333333333,0.6643766666666665,0.5196666666666665,0.9849899999999997,0.9598866666666656,0.5165500000000002,0.8783800000000003,0.7324266666666664,0.6010839999999998,0.585256666666667,0.6643300000000005,0.5629499999999997,0.5802800000000002,0.5468366666666667,0.6524133333333333,0.7847333333333336,0.5735133333333332,0.8069366666666663,0.5995466666666666,0.8274466666666666,0.8280000000000001,0.5984866666666666,0.44628000000000045
FH_CU_scenario_mid,0.80942,0.6080533333333332,0.8499533333333333,1.420210000000001,0.5870000000000002,0.80942,0.15533666666666668,0.13222000000000006,0.15987666666666672,0.0,0.06911333333333333,0.6549799999999999,0.7032233333333336,0.8514033333333331,0.7441800000000001,0.6038533333333331,0.9740599999999998,1.0274966666666656,0.5905266666666662,0.8080533333333337,0.7320299999999996,0.6790399999999998,0.5752366666666663,0.55056,0.578696666666667,0.6776666666666668,0.5216033333333331,0.6862066666666664,0.6975800000000003,0.7007199999999998,0.8551266666666669,0.7191033333333336,0.8016266666666665,0.7686566666666665,0.706433333333333,0.5562100000000002
