,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_COVIDhub_4_week_ensemble,FH_COVIDhub_CDC_ensemble,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IHME_CurveFit,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MUNI_ARIMA,FH_MUNI_VAR,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
COVID_Hub_Trained_Ensemble,0.0,0.42432666666666674,0.32716000000000006,0.24445999999999996,1.5023666666666662,0.32716000000000006,0.0,0.39653666666666676,0.5291800000000008,0.3383033333333337,0.29461333333333345,0.6945,0.6971433333333338,0.4784499999999998,0.34931999999999985,0.4436500000000001,0.39654333333333347,0.5433759999999997,0.45067333333333354,0.4859760000000003,0.6992050000000003,0.40114000000000016,0.3562,0.46963000000000044,0.45832000000000034,0.6952633333333335,0.7639666666666668,0.6429000000000006,0.6252400000000001,0.4415966666666668
FH_BPagano_RtDriven,0.42432666666666674,0.0,0.5185399999999999,0.40156000000000014,1.486326666666666,0.5185399999999999,0.42432666666666674,0.5672466666666669,0.6953666666666661,0.5398299999999998,0.47721666666666623,0.7812733333333329,0.7193433333333326,0.34525,0.41065999999999997,0.5557700000000003,0.4215366666666669,0.525228,0.3703700000000005,0.6172519999999995,0.708045,0.3570866666666668,0.5363699999999999,0.5390066666666667,0.48491600000000007,0.8059299999999999,0.8839400000000001,0.6625600000000005,0.7432100000000004,0.5731099999999995
FH_COVIDhub_4_week_ensemble,0.32716000000000006,0.5185399999999999,0.0,0.0,1.445363333333333,0.0,0.32716000000000006,0.5064766666666665,0.5315633333333337,0.4941033333333331,0.5748433333333335,0.43156666666666665,0.9080133333333329,0.5351533333333333,0.44912000000000013,0.5542200000000002,0.5085266666666671,0.46518000000000037,0.5757533333333336,0.412984,0.5302999999999999,0.21223999999999996,0.5021533333333336,0.5880733333333331,0.5264839999999995,0.4514500000000003,0.51249,0.7569700000000001,0.4812433333333336,0.44299333333333313
FH_COVIDhub_CDC_ensemble,0.24445999999999996,0.40156000000000014,0.0,0.0,1.41382,0.0,0.24445999999999996,0.7221799999999999,0.7647799999999999,0.67366,0.67366,0.50444,0.95202,0.54928,,0.5936399999999998,0.4504200000000001,,0.36188,0.4319000000000002,,,0.58264,0.6196200000000001,0.48459999999999986,0.48707999999999985,0.5277000000000001,,0.44815999999999995,0.5316200000000001
FH_COVIDhub_baseline,1.5023666666666662,1.486326666666666,1.445363333333333,1.41382,0.0,1.445363333333333,1.5023666666666662,1.5344266666666664,1.4807033333333328,1.4912766666666653,1.5143199999999992,1.5341199999999986,1.5606100000000016,1.5117666666666651,1.4616200000000004,1.537933333333332,1.4591600000000005,1.416319999999998,1.610063333333333,1.5377999999999987,1.449260000000001,1.0572933333333334,1.4527599999999987,1.5111066666666668,1.7163560000000002,1.5361999999999982,1.433333333333331,1.4841399999999993,1.4886099999999993,1.478026666666665
FH_COVIDhub_ensemble,0.32716000000000006,0.5185399999999999,0.0,0.0,1.445363333333333,0.0,0.32716000000000006,0.5064766666666665,0.5315633333333337,0.4941033333333331,0.5748433333333335,0.43156666666666665,0.9080133333333329,0.5351533333333333,0.44912000000000013,0.5542200000000002,0.5085266666666671,0.46518000000000037,0.5757533333333336,0.412984,0.5302999999999999,0.21223999999999996,0.5021533333333336,0.5880733333333331,0.5264839999999995,0.4514500000000003,0.51249,0.7569700000000001,0.4812433333333336,0.44299333333333313
FH_COVIDhub_trained_ensemble,0.0,0.42432666666666674,0.32716000000000006,0.24445999999999996,1.5023666666666662,0.32716000000000006,0.0,0.39653666666666676,0.5291800000000008,0.3383033333333337,0.29461333333333345,0.6945,0.6971433333333338,0.4784499999999998,0.34931999999999985,0.4436500000000001,0.39654333333333347,0.5433759999999997,0.45067333333333354,0.4859760000000003,0.6992050000000003,0.40114000000000016,0.3562,0.46963000000000044,0.45832000000000034,0.6952633333333335,0.7639666666666668,0.6429000000000006,0.6252400000000001,0.4415966666666668
FH_CU_nochange,0.39653666666666676,0.5672466666666669,0.5064766666666665,0.7221799999999999,1.5344266666666664,0.5064766666666665,0.39653666666666676,0.0,0.1396533333333333,0.09778666666666665,0.27626333333333347,0.6820199999999991,0.62245,0.6322833333333328,0.6717400000000001,0.5961200000000002,0.6341366666666666,0.72456,0.7022766666666669,0.4973640000000005,0.6428199999999998,0.4249799999999999,0.469476666666667,0.5776599999999997,0.517724,0.7040966666666673,0.7549933333333333,0.5475450000000002,0.6565199999999994,0.45596000000000014
FH_CU_scenario_low,0.5291800000000008,0.6953666666666661,0.5315633333333337,0.7647799999999999,1.4807033333333328,0.5315633333333337,0.5291800000000008,0.1396533333333333,0.0,0.19704999999999986,0.4073333333333334,0.6152999999999997,0.6998566666666667,0.6925366666666672,0.6999200000000001,0.7126300000000002,0.7302033333333333,0.7011119999999996,0.8380199999999994,0.5350800000000001,0.6248750000000003,0.4207533333333333,0.5846100000000001,0.6599599999999998,0.645664,0.6399400000000004,0.6879533333333328,0.6260950000000004,0.6300433333333327,0.458153333333333
FH_CU_scenario_mid,0.3383033333333337,0.5398299999999998,0.4941033333333331,0.67366,1.4912766666666653,0.4941033333333331,0.3383033333333337,0.09778666666666665,0.19704999999999986,0.0,0.16530666666666666,0.7570199999999999,0.6116366666666665,0.5848766666666666,0.5577199999999999,0.5412200000000001,0.5859933333333335,0.7030719999999999,0.6630866666666668,0.5203320000000005,0.7154349999999999,0.46599333333333326,0.4474866666666663,0.5618333333333333,0.5161479999999998,0.7610733333333333,0.8307499999999998,0.5636949999999997,0.7000299999999998,0.47766999999999965
