,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IQVIA_ACOE_STAN,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_ISOLAT_Mixtures,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_BPagano_RtDriven,0.0,0.6898449999999999,1.5781959999999995,0.440468,0.6215000000000004,0.6193440000000006,0.5846239999999999,0.6194680000000006,0.6046880000000004,0.5086040000000001,0.5295919999999996,0.6025320000000002,0.6625400000000002,0.5019599999999999,0.7160599999999999,0.6647799999999997,0.5281933333333335,0.505892,0.6684840000000001,0.6280880000000002,0.4843040000000003,0.4864840000000001,0.6420000000000001,0.529372,0.6165400000000001,0.4817680000000003,0.7180999999999998,0.4850066666666666,0.47997999999999974,0.6502440000000003,0.5664100000000001,0.6734350000000002,0.5467879999999998,0.44897999999999966,0.5450966666666667
FH_CEID_Walk,0.6898449999999999,0.0,1.5375999999999996,0.6338066666666665,0.7002333333333333,0.7138466666666666,0.6908466666666672,0.7259200000000001,0.7259200000000001,0.635693333333333,0.6919600000000001,0.71602,0.6294400000000001,0.707855,,0.7037133333333335,0.5900200000000002,0.67668,0.6799600000000002,0.6887266666666666,0.64664,0.6420066666666667,0.6545599999999999,0.6634400000000004,0.6152,0.6607733333333334,0.6771800000000002,0.6234450000000004,0.6524549999999999,0.6809200000000002,0.6920866666666668,0.6220666666666668,0.5935733333333334,0.6869849999999998,0.6387599999999996
FH_COVIDhub_baseline,1.5781959999999995,1.5375999999999996,0.0,1.5508920000000017,1.5750959999999983,1.568975999999998,1.5851840000000001,1.559928,1.57948,1.5683880000000001,1.5871639999999978,1.6044040000000008,1.5937799999999998,1.547959999999997,1.5471999999999997,1.380523999999998,1.5682933333333327,1.572947999999999,1.5020319999999994,1.5626599999999993,1.5224759999999977,1.536394999999999,1.5575750000000006,1.583599999999999,,1.6913280000000002,1.6184999999999996,1.5558479999999992,1.562779999999997,1.5685039999999981,1.5547899999999981,1.5594300000000008,1.7076520000000004,1.526243999999999,1.5973079999999995
FH_COVIDhub_ensemble,0.440468,0.6338066666666665,1.5508920000000017,0.0,0.5645840000000004,0.5636440000000001,0.5380240000000003,0.5908639999999998,0.5655199999999999,0.36791199999999985,0.3251640000000001,0.7037719999999996,0.6016880000000003,0.3832720000000001,0.78664,0.49299200000000026,0.6795199999999998,0.31658799999999987,0.6917599999999996,0.6869160000000001,0.36205600000000016,0.266875,0.5905400000000001,0.306896,,0.4337600000000002,0.6629840000000005,0.2679280000000001,0.33754800000000007,0.487356,0.6540000000000002,0.5624050000000003,0.41294800000000004,0.30483599999999994,0.4621760000000002
FH_CU_nochange,0.6215000000000004,0.7002333333333333,1.5750959999999983,0.5645840000000004,0.0,0.03877599999999998,0.05613599999999997,0.13615999999999998,0.04753199999999999,0.4309400000000002,0.6336720000000001,0.5308999999999999,0.7417919999999991,0.4775360000000001,0.8992200000000001,0.7210879999999996,0.8624800000000001,0.4981720000000001,0.61708,0.6343879999999997,0.7041159999999994,0.5595600000000001,0.43003499999999995,0.3859480000000002,,0.6433279999999998,0.7264760000000001,0.6137240000000002,0.6747599999999997,0.7013760000000002,0.7644499999999995,0.7157100000000003,0.5745319999999998,0.6471599999999996,0.6077359999999999
FH_CU_scenario_high,0.6193440000000006,0.7138466666666666,1.568975999999998,0.5636440000000001,0.03877599999999998,0.0,0.07704800000000002,0.08752000000000011,0.043639999999999984,0.4382280000000002,0.6583399999999997,0.5597240000000001,0.7220440000000007,0.4648880000000001,0.87338,0.7510040000000003,0.8189333333333332,0.5051239999999997,0.6017080000000001,0.6032680000000001,0.69576,0.5413899999999999,0.40321999999999997,0.39015200000000005,,0.6577520000000002,0.7290319999999999,0.636116,0.696564,0.724208,0.7597949999999999,0.7140350000000002,0.5885120000000001,0.6640079999999998,0.589572
FH_CU_scenario_low,0.5846239999999999,0.6908466666666672,1.5851840000000001,0.5380240000000003,0.05613599999999997,0.07704800000000002,0.0,0.1355879999999999,0.05315199999999997,0.4371399999999999,0.58862,0.5376360000000003,0.7369319999999999,0.48633200000000015,0.8877999999999997,0.7049920000000004,0.84272,0.4826840000000001,0.6048960000000001,0.6431440000000006,0.6905080000000003,0.5348150000000004,0.4323950000000004,0.375972,,0.6519440000000003,0.7539400000000004,0.5520319999999999,0.6350000000000003,0.6681760000000001,0.7620649999999997,0.6999699999999999,0.567888,0.6075400000000001,0.587508
FH_CU_scenario_mid,0.6194680000000006,0.7259200000000001,1.559928,0.5908639999999998,0.13615999999999998,0.08752000000000011,0.1355879999999999,0.0,0.08243600000000002,0.4444760000000001,0.7186119999999999,0.6074719999999998,0.6740999999999997,0.4472999999999997,0.7523599999999998,0.8224079999999998,0.7079066666666667,0.5426759999999999,0.5793120000000007,0.5404479999999998,0.6833520000000002,0.5418900000000002,0.37208500000000005,0.42707600000000057,,0.6889759999999998,0.7702440000000003,0.679536,0.7543040000000001,0.7355559999999997,0.7216450000000004,0.7130699999999996,0.6193960000000006,0.6812199999999999,0.5487680000000003
FH_CU_select,0.6046880000000004,0.7259200000000001,1.57948,0.5655199999999999,0.04753199999999999,0.043639999999999984,0.05315199999999997,0.08243600000000002,0.0,0.4400560000000003,0.646736,0.506728,0.7349600000000002,0.4729839999999999,0.8877999999999997,0.7437559999999999,0.8112133333333335,0.52254,0.5968520000000005,0.60796,0.718796,0.5628850000000001,0.38731000000000004,0.3809160000000005,,0.647204,0.7218680000000004,0.6210480000000003,0.693228,0.7098839999999996,0.7595500000000005,0.7313499999999995,0.5831560000000003,0.6630920000000002,0.5874040000000003
FH_Covid19Sim_Simulator,0.5086040000000001,0.635693333333333,1.5683880000000001,0.36791199999999985,0.4309400000000002,0.4382280000000002,0.4371399999999999,0.4444760000000001,0.4400560000000003,0.0,0.5210159999999998,0.682472,0.572028,0.3482839999999999,0.6618,0.6989840000000003,0.6133533333333332,0.41998800000000025,0.647712,0.5293359999999997,0.42331999999999975,0.35625500000000015,0.4599850000000001,0.35838,,0.47891200000000017,0.7465280000000001,0.49783999999999984,0.5226399999999999,0.6308160000000003,0.645165,0.6073250000000001,0.5274600000000003,0.5022959999999997,0.5242400000000002
