,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_4_week_ensemble,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IHME_CurveFit,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
COVID_Hub_Trained_Ensemble,0.0,0.28467,0.6840799999999997,0.2050000000000001,1.4110366666666656,0.2050000000000001,0.0,0.24191600000000005,0.26934400000000003,0.24316000000000007,0.2484000000000001,0.29425666666666656,0.9247166666666675,0.4427666666666668,0.48392000000000013,0.3355300000000001,0.268104,0.62038,0.23385,0.22701333333333337,0.27657000000000004,0.49916,0.6338899999999997,0.3041900000000001,0.3182333333333332,0.3615633333333336,0.45828000000000024,0.30118666666666666,0.47795000000000015,0.7536399999999996,0.29407333333333346,0.28705666666666685
FH_BPagano_RtDriven,0.28467,0.0,0.7139066666666668,0.17321999999999993,1.5061333333333313,0.17321999999999993,0.28467,0.3436920000000001,0.4150080000000002,0.3876560000000001,0.410992,0.18599666666666653,0.8565133333333328,0.4411899999999994,0.5546800000000001,0.3994033333333331,0.2110840000000001,0.6187800000000001,0.15597000000000005,0.20837999999999993,0.16665333333333324,0.5650000000000002,0.5623233333333335,0.18275666666666673,0.20633333333333337,0.4117900000000001,0.43475000000000025,0.18918333333333337,0.5043133333333336,0.7322850000000003,0.2948766666666667,0.4696433333333335
FH_CEID_Walk,0.6840799999999997,0.7139066666666668,0.0,0.6997133333333332,1.3418400000000004,0.6997133333333332,0.6840799999999997,0.74122,0.7302399999999994,0.6920099999999999,0.7302399999999994,0.7706066666666667,0.71688,0.6441000000000001,0.7366000000000001,0.7320666666666668,0.6832199999999999,0.6202399999999999,0.7196666666666672,0.7517600000000002,0.7579266666666665,0.7745799999999999,0.7874333333333335,0.6982133333333331,0.7674000000000001,0.7203333333333333,0.7539333333333335,0.7717333333333333,0.8033266666666667,0.7307300000000003,0.7033866666666666,0.669086666666667
FH_COVIDhub_4_week_ensemble,0.2050000000000001,0.17321999999999993,0.6997133333333332,0.0,1.4715933333333322,0.0,0.2050000000000001,0.30173199999999994,0.398012,0.3430080000000001,0.3835920000000001,0.10352333333333336,0.909209999999999,0.476083333333333,0.5466600000000001,0.3823933333333335,0.10730400000000004,0.7381200000000001,0.1363450000000001,0.11599000000000008,0.10466333333333334,0.607,0.5157366666666672,0.11264333333333333,0.1254433333333335,0.30655333333333334,0.44340500000000027,0.10054000000000009,0.42919,0.7515599999999995,0.2372233333333332,0.4477933333333335
FH_COVIDhub_baseline,1.4110366666666656,1.5061333333333313,1.3418400000000004,1.4715933333333322,0.0,1.4715933333333322,1.4110366666666656,1.4927919999999997,1.5155680000000005,1.4127839999999998,1.4708880000000006,1.5571466666666647,1.5661566666666666,1.4329499999999997,1.4271200000000004,1.512016666666666,1.4832960000000015,1.5254200000000002,1.479895,1.5563166666666675,1.5569066666666636,1.3380800000000002,1.4878766666666658,1.392569999999999,1.5629766666666678,1.4098099999999996,1.6692800000000005,1.5334433333333313,1.3236833333333313,1.4090399999999994,1.4883999999999993,1.4579499999999994
FH_COVIDhub_ensemble,0.2050000000000001,0.17321999999999993,0.6997133333333332,0.0,1.4715933333333322,0.0,0.2050000000000001,0.30173199999999994,0.398012,0.3430080000000001,0.3835920000000001,0.10352333333333336,0.909209999999999,0.476083333333333,0.5466600000000001,0.3823933333333335,0.10730400000000004,0.7381200000000001,0.1363450000000001,0.11599000000000008,0.10466333333333334,0.607,0.5157366666666672,0.11264333333333333,0.1254433333333335,0.30655333333333334,0.44340500000000027,0.10054000000000009,0.42919,0.7515599999999995,0.2372233333333332,0.4477933333333335
FH_COVIDhub_trained_ensemble,0.0,0.28467,0.6840799999999997,0.2050000000000001,1.4110366666666656,0.2050000000000001,0.0,0.24191600000000005,0.26934400000000003,0.24316000000000007,0.2484000000000001,0.29425666666666656,0.9247166666666675,0.4427666666666668,0.48392000000000013,0.3355300000000001,0.268104,0.62038,0.23385,0.22701333333333337,0.27657000000000004,0.49916,0.6338899999999997,0.3041900000000001,0.3182333333333332,0.3615633333333336,0.45828000000000024,0.30118666666666666,0.47795000000000015,0.7536399999999996,0.29407333333333346,0.28705666666666685
FH_CU_nochange,0.24191600000000005,0.3436920000000001,0.74122,0.30173199999999994,1.4927919999999997,0.30173199999999994,0.24191600000000005,0.0,0.1005,0.10203599999999999,0.10847599999999998,0.3252360000000002,0.9131200000000002,0.530348,0.48134,0.27378400000000014,0.3562349999999999,0.6877999999999997,0.2186,0.24028400000000008,0.29917199999999994,0.52226,0.6285879999999997,0.306712,0.3550960000000001,0.39736400000000005,0.48704,0.3528439999999999,0.5345640000000002,0.7027049999999998,0.369124,0.3382840000000001
FH_CU_scenario_low,0.26934400000000003,0.4150080000000002,0.7302399999999994,0.398012,1.5155680000000005,0.398012,0.26934400000000003,0.1005,0.0,0.11521600000000001,0.04127199999999999,0.42998000000000014,0.8725160000000003,0.5237800000000004,0.4490800000000001,0.32057600000000014,0.42861499999999997,0.6280599999999998,0.2848466666666669,0.3382319999999999,0.40731999999999985,0.56464,0.6609120000000005,0.396024,0.453732,0.44010399999999994,0.49244000000000054,0.46229200000000004,0.5933480000000001,0.6772099999999999,0.4357400000000003,0.2941000000000002
FH_CU_scenario_mid,0.24316000000000007,0.3876560000000001,0.6920099999999999,0.3430080000000001,1.4127839999999998,0.3430080000000001,0.24316000000000007,0.10203599999999999,0.11521600000000001,0.0,0.07394399999999997,0.40330400000000016,0.9250439999999994,0.5305040000000002,0.44989999999999997,0.32030400000000003,0.4211600000000001,0.7027200000000002,0.25811333333333325,0.31544800000000006,0.3759239999999999,0.51744,0.6616920000000001,0.367332,0.4381320000000001,0.38615599999999983,0.5565533333333332,0.4245920000000002,0.5668640000000001,0.7097600000000003,0.39388799999999996,0.3529480000000001
