,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_IDD_CovidSP,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_RobertWalraven_ESG,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,UMich_RidgeTfReg,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_CEID_Walk,0.0,0.9215733333333335,0.6770866666666665,0.9733599999999998,0.78399,0.74959,0.8915566666666662,0.8200400000000003,0.7613500000000001,0.8513533333333334,0.8159866666666671,0.81764,0.8215866666666667,0.7183566666666668,0.7673866666666666,0.7842999999999994,0.7761919999999995,0.8002899999999994,0.7572500000000001,0.8016066666666669,0.8060766666666666
FH_COVIDhub_baseline,0.9215733333333335,0.0,1.1093733333333342,1.3544533333333326,1.088545,1.2040566666666663,1.400236666666668,1.0037600000000007,1.2516799999999997,1.2743133333333332,1.2279233333333341,1.2401099999999992,1.4124333333333319,1.1449399999999994,1.2973900000000003,1.293076666666667,1.0714040000000002,1.3266166666666657,1.1189233333333335,1.2863766666666658,1.2134366666666667
FH_COVIDhub_ensemble,0.6770866666666665,1.1093733333333342,0.0,1.0559899999999993,0.5331500000000002,0.3108833333333335,0.5807833333333333,0.4747079999999999,0.52931,0.805886666666667,0.6284900000000003,0.5454766666666669,0.32085666666666657,0.2539266666666669,0.3281666666666669,0.4261733333333336,0.8934200000000001,0.43362000000000006,0.6116666666666669,0.3271300000000001,0.7061133333333328
FH_CU_select,0.9733599999999998,1.3544533333333326,1.0559899999999993,0.0,0.9596749999999997,1.1795033333333333,0.7805,1.0783,0.9320400000000001,0.7720000000000001,0.8433233333333334,0.9001099999999993,1.1609866666666664,1.0458800000000001,1.0359500000000004,1.0080600000000002,0.5737120000000001,0.8258299999999998,0.7662266666666665,1.0390300000000001,0.7215133333333331
FH_Covid19Sim_Simulator,0.78399,1.088545,0.5331500000000002,0.9596749999999997,0.0,0.6360150000000002,0.6766250000000003,0.6182799999999999,0.6388000000000003,0.7598666666666667,0.7585200000000003,0.6296600000000001,0.6087400000000001,0.5491250000000002,0.5991900000000003,0.6350650000000002,0.8717650000000002,0.6107749999999998,0.7228700000000005,0.5932899999999998,0.6504599999999996
FH_CovidAnalytics_DELPHI,0.74959,1.2040566666666663,0.3108833333333335,1.1795033333333333,0.6360150000000002,0.0,0.6730466666666665,0.5234320000000002,0.5413,0.89434,0.6552800000000004,0.6133133333333332,0.16402000000000005,0.2900966666666667,0.31142000000000036,0.44048333333333356,0.9475840000000005,0.5072599999999998,0.65399,0.31516999999999995,0.7637733333333334
FH_DDS_NBDS,0.8915566666666662,1.400236666666668,0.5807833333333333,0.7805,0.6766250000000003,0.6730466666666665,0.0,0.7428960000000002,0.64339,0.657706666666667,0.5643899999999998,0.5447733333333337,0.6413700000000002,0.6265833333333333,0.638733333333334,0.56133,0.8070039999999996,0.5548266666666667,0.7710699999999996,0.5973333333333337,0.684573333333333
FH_IowaStateLW_STEM,0.8200400000000003,1.0037600000000007,0.4747079999999999,1.0783,0.6182799999999999,0.5234320000000002,0.7428960000000002,0.0,0.6580300000000001,0.6764133333333333,0.8450279999999997,0.6815240000000005,0.5301520000000001,0.5231480000000002,0.5135160000000001,0.6662560000000001,0.8480999999999994,0.6419840000000001,0.6974919999999999,0.561228,0.7938080000000003
FH_JCB_PRM,0.7613500000000001,1.2516799999999997,0.52931,0.9320400000000001,0.6388000000000003,0.5413,0.64339,0.6580300000000001,0.0,0.6564200000000001,0.5657799999999998,0.5704900000000002,0.5264000000000001,0.5232200000000001,0.5139900000000001,0.5480200000000001,0.8927500000000002,0.5342699999999999,0.7476599999999999,0.43370000000000003,0.5718799999999998
FH_JHUAPL_Bucky,0.8513533333333334,1.2743133333333332,0.805886666666667,0.7720000000000001,0.7598666666666667,0.89434,0.657706666666667,0.6764133333333333,0.6564200000000001,0.0,0.8686133333333333,0.7252666666666665,0.8437600000000001,0.8422399999999995,0.8529266666666667,0.9026666666666665,0.8804533333333336,0.622133333333333,0.8228599999999997,0.8607800000000003,0.8263866666666666
FH_JHU_IDD_CovidSP,0.8159866666666671,1.2279233333333341,0.6284900000000003,0.8433233333333334,0.7585200000000003,0.6552800000000004,0.5643899999999998,0.8450279999999997,0.5657799999999998,0.8686133333333333,0.0,0.5530733333333336,0.6959866666666671,0.6173533333333332,0.661266666666667,0.6191433333333329,0.7654640000000006,0.7035633333333338,0.761586666666667,0.6376966666666664,0.5608300000000006
FH_Karlen_pypm,0.81764,1.2401099999999992,0.5454766666666669,0.9001099999999993,0.6296600000000001,0.6133133333333332,0.5447733333333337,0.6815240000000005,0.5704900000000002,0.7252666666666665,0.5530733333333336,0.0,0.6196966666666672,0.5767666666666671,0.547100000000001,0.5082200000000001,0.85366,0.6009099999999999,0.7345533333333334,0.5876566666666666,0.6290233333333333
FH_LANL_GrowthRate,0.8215866666666667,1.4124333333333319,0.32085666666666657,1.1609866666666664,0.6087400000000001,0.16402000000000005,0.6413700000000002,0.5301520000000001,0.5264000000000001,0.8437600000000001,0.6959866666666671,0.6196966666666672,0.0,0.3050733333333333,0.24825000000000022,0.3980133333333337,0.9857519999999995,0.422756666666667,0.6981799999999999,0.23073999999999995,0.7860333333333325
FH_LNQ_ens1,0.7183566666666668,1.1449399999999994,0.2539266666666669,1.0458800000000001,0.5491250000000002,0.2900966666666667,0.6265833333333333,0.5231480000000002,0.5232200000000001,0.8422399999999995,0.6173533333333332,0.5767666666666671,0.3050733333333333,0.0,0.35630666666666655,0.4410933333333336,0.8662320000000004,0.4150500000000003,0.5349833333333329,0.2854166666666668,0.6842933333333336
FH_RobertWalraven_ESG,0.7673866666666666,1.2973900000000003,0.3281666666666669,1.0359500000000004,0.5991900000000003,0.31142000000000036,0.638733333333334,0.5135160000000001,0.5139900000000001,0.8529266666666667,0.661266666666667,0.547100000000001,0.24825000000000022,0.35630666666666655,0.0,0.4519733333333334,0.84664,0.4723466666666667,0.6806000000000002,0.3371033333333335,0.6628166666666658
FH_UCLA_SuEIR,0.7842999999999994,1.293076666666667,0.4261733333333336,1.0080600000000002,0.6350650000000002,0.44048333333333356,0.56133,0.6662560000000001,0.5480200000000001,0.9026666666666665,0.6191433333333329,0.5082200000000001,0.3980133333333337,0.4410933333333336,0.4519733333333334,0.0,0.8700439999999998,0.5615266666666671,0.7684333333333335,0.47243000000000007,0.6866966666666661
FH_UMich_RidgeTfReg,0.7761919999999995,1.0714040000000002,0.8934200000000001,0.5737120000000001,0.8717650000000002,0.9475840000000005,0.8070039999999996,0.8480999999999994,0.8927500000000002,0.8804533333333336,0.7654640000000006,0.85366,0.9857519999999995,0.8662320000000004,0.84664,0.8700439999999998,0.0,0.8320319999999998,0.6312279999999999,0.912652,0.7514679999999997
FH_USACE_ERDC_SEIR,0.8002899999999994,1.3266166666666657,0.43362000000000006,0.8258299999999998,0.6107749999999998,0.5072599999999998,0.5548266666666667,0.6419840000000001,0.5342699999999999,0.622133333333333,0.7035633333333338,0.6009099999999999,0.422756666666667,0.4150500000000003,0.4723466666666667,0.5615266666666671,0.8320319999999998,0.0,0.6422266666666668,0.3315766666666667,0.6814500000000003
UMich_RidgeTfReg,0.7572500000000001,1.1189233333333335,0.6116666666666669,0.7662266666666665,0.7228700000000005,0.65399,0.7710699999999996,0.6974919999999999,0.7476599999999999,0.8228599999999997,0.761586666666667,0.7345533333333334,0.6981799999999999,0.5349833333333329,0.6806000000000002,0.7684333333333335,0.6312279999999999,0.6422266666666668,0.0,0.6602566666666669,0.7675099999999998
USC_SI_kJalpha,0.8016066666666669,1.2863766666666658,0.3271300000000001,1.0390300000000001,0.5932899999999998,0.31516999999999995,0.5973333333333337,0.561228,0.43370000000000003,0.8607800000000003,0.6376966666666664,0.5876566666666666,0.23073999999999995,0.2854166666666668,0.3371033333333335,0.47243000000000007,0.912652,0.3315766666666667,0.6602566666666669,0.0,0.7342566666666668
ensemble_SIkJa_RF,0.8060766666666666,1.2134366666666667,0.7061133333333328,0.7215133333333331,0.6504599999999996,0.7637733333333334,0.684573333333333,0.7938080000000003,0.5718799999999998,0.8263866666666666,0.5608300000000006,0.6290233333333333,0.7860333333333325,0.6842933333333336,0.6628166666666658,0.6866966666666661,0.7514679999999997,0.6814500000000003,0.7675099999999998,0.7342566666666668,0.0
