,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IQVIA_ACOE_STAN,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MSRA_DeepST,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,FH_UVA_Ensemble,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_BPagano_RtDriven,0.0,0.6689600000000003,1.5814399999999997,0.3826766666666668,0.5084766666666668,0.49650666666666676,0.4739433333333336,0.48018666666666654,0.4776600000000002,0.5140199999999998,0.4904733333333335,0.5394866666666668,0.5967933333333335,0.47672,0.7160599999999999,0.7023133333333333,0.5393833333333332,0.46012333333333366,0.6053266666666666,0.5453699999999996,0.5016200000000003,0.4266166666666669,0.4749080000000003,0.4405700000000002,0.5460066666666666,0.4982350000000001,0.6324099999999998,0.4938766666666665,0.536436666666667,0.5786666666666664,0.5498400000000004,0.5988666666666664,0.6966899999999999,0.46438000000000007,0.4347333333333337,0.49104000000000014
FH_CEID_Walk,0.6689600000000003,0.0,1.4853799999999993,0.6622500000000002,0.6935950000000004,0.68636,0.684635,0.6843400000000003,0.6919600000000001,0.6762049999999998,0.7185099999999999,0.6794299999999999,0.6859799999999997,0.7554299999999998,,0.746685,0.7124850000000004,0.69637,0.7056050000000001,0.725685,0.66478,0.712325,0.6887533333333333,0.6780649999999997,0.6743666666666669,0.6479600000000001,0.6999850000000001,0.6673100000000002,0.7461550000000002,0.71595,0.7023200000000002,0.6545599999999999,0.7076299999999999,0.6441650000000004,0.6752750000000001,0.7192850000000002
FH_COVIDhub_baseline,1.5814399999999997,1.4853799999999993,0.0,1.5486600000000006,1.5685233333333313,1.5668066666666653,1.5805333333333336,1.5632133333333345,1.5823000000000012,1.5145899999999997,1.590213333333332,1.6133300000000015,1.5876766666666648,1.5507499999999987,1.5471999999999997,1.375536666666666,1.5675899999999976,1.5559266666666656,1.5655700000000008,1.5699899999999996,1.5488600000000003,1.5521499999999961,1.5749440000000006,1.5797933333333338,1.6752800000000008,1.7076899999999997,1.5950366666666667,1.5735299999999988,1.5425466666666645,1.573736666666665,1.5738039999999986,1.5575133333333333,1.58078,1.6964666666666657,1.5341499999999975,1.590643333333335
FH_COVIDhub_ensemble,0.3826766666666668,0.6622500000000002,1.5486600000000006,0.0,0.3762533333333335,0.3593000000000002,0.3555066666666669,0.3609200000000003,0.36435666666666683,0.3740766666666669,0.30843000000000004,0.5737833333333332,0.5699866666666668,0.25534,0.78664,0.6410533333333334,0.5580033333333335,0.29812,0.5765533333333336,0.5002633333333334,0.374845,0.2570800000000001,0.39432800000000023,0.2326466666666668,0.46343333333333353,0.4783400000000003,0.5995633333333341,0.39348666666666693,0.4014533333333337,0.49439000000000005,0.6010239999999999,0.5144000000000001,0.8179900000000002,0.3970400000000002,0.2984066666666667,0.37539333333333347
FH_CU_nochange,0.5084766666666668,0.6935950000000004,1.5685233333333313,0.3762533333333335,0.0,0.05074333333333332,0.047543333333333326,0.15972333333333333,0.05578666666666666,0.44297666666666685,0.42846000000000006,0.5944999999999999,0.8061899999999999,0.43585500000000027,0.8992200000000001,0.5873799999999997,0.7895399999999995,0.4823400000000004,0.7442899999999996,0.6764699999999997,0.5508250000000001,0.4759300000000002,0.5481320000000001,0.37129666666666705,0.6730133333333335,0.5465850000000001,0.6946300000000001,0.3524100000000002,0.4925800000000002,0.6008366666666661,0.8278159999999994,0.7111866666666667,0.36261000000000004,0.46501000000000003,0.35864,0.5332866666666667
FH_CU_scenario_high,0.49650666666666676,0.68636,1.5668066666666653,0.3593000000000002,0.05074333333333332,0.0,0.06992,0.09257000000000006,0.07222333333333339,0.44963666666666663,0.42688000000000037,0.5936866666666668,0.775243333333333,0.4143950000000002,0.87338,0.6240366666666664,0.7354433333333334,0.4706666666666665,0.7183633333333329,0.6385166666666667,0.5151600000000001,0.43838666666666676,0.536556,0.3693666666666666,0.6302066666666662,0.556685,0.6669700000000001,0.3832166666666672,0.5100666666666668,0.6040733333333331,0.7715280000000002,0.6923266666666669,0.4243000000000003,0.4730600000000001,0.3572900000000001,0.4870066666666667
FH_CU_scenario_low,0.4739433333333336,0.684635,1.5805333333333336,0.3555066666666669,0.047543333333333326,0.06992,0.0,0.13644666666666658,0.014729999999999998,0.44274999999999987,0.4039300000000001,0.5915533333333328,0.7984966666666667,0.42497000000000057,0.8877999999999997,0.584473333333333,0.7782199999999994,0.4744033333333331,0.7285666666666667,0.661633333333333,0.5444250000000003,0.4632166666666664,0.4878960000000002,0.3567033333333334,0.6750866666666668,0.5534800000000003,0.7011366666666663,0.3086200000000004,0.4875466666666669,0.5954833333333333,0.8250599999999991,0.7058466666666666,0.34288,0.4717399999999999,0.3299599999999999,0.5188699999999998
FH_CU_scenario_mid,0.48018666666666654,0.6843400000000003,1.5632133333333345,0.3609200000000003,0.15972333333333333,0.09257000000000006,0.13644666666666658,0.0,0.12171666666666663,0.4511600000000002,0.4591166666666671,0.62232,0.7151866666666662,0.3862700000000004,0.7523599999999998,0.6940933333333337,0.6491666666666664,0.4738233333333336,0.6707766666666667,0.5822933333333333,0.48864500000000016,0.4112466666666672,0.49820399999999987,0.3705600000000004,0.5980666666666667,0.5874649999999996,0.660203333333333,0.42822333333333357,0.5543,0.6169100000000003,0.6985119999999996,0.6712533333333335,0.4915,0.49050666666666626,0.3599000000000001,0.42725000000000013
FH_CU_select,0.4776600000000002,0.6919600000000001,1.5823000000000012,0.36435666666666683,0.05578666666666666,0.07222333333333339,0.014729999999999998,0.12171666666666663,0.0,0.45937666666666654,0.4118633333333333,0.5754733333333333,0.8007599999999999,0.4270100000000005,0.8877999999999997,0.5980633333333335,0.7624666666666663,0.4867199999999999,0.72999,0.6563433333333332,0.5520900000000002,0.46783999999999965,0.4878960000000002,0.36786333333333354,0.6750866666666668,0.5588299999999997,0.6881899999999995,0.3215266666666671,0.4947466666666668,0.6026933333333336,0.814243999999999,0.7306333333333335,0.34288,0.4667266666666664,0.3425966666666666,0.5136699999999998
FH_Covid19Sim_Simulator,0.5140199999999998,0.6762049999999998,1.5145899999999997,0.3740766666666669,0.44297666666666685,0.44963666666666663,0.44274999999999987,0.4511600000000002,0.45937666666666654,0.0,0.48788000000000004,0.7648866666666663,0.6581133333333336,0.31640999999999997,0.6618,0.6588700000000001,0.6880933333333331,0.4344899999999998,0.7276,0.6021833333333333,0.3806800000000001,0.41124000000000016,0.6237279999999998,0.39513666666666664,0.7852133333333341,0.4925300000000001,0.8181966666666659,0.45518666666666735,0.46427333333333337,0.620703333333334,0.7832960000000001,0.5603066666666668,0.5181900000000002,0.5370366666666668,0.4121700000000003,0.5409900000000001
