,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_COVIDhub_4_week_ensemble,FH_COVIDhub_CDC_ensemble,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IHME_CurveFit,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_MUNI_VAR,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
FH_CU_select,0.3756633333333333,0.5146000000000003,0.6319033333333335,0.67366,1.4719266666666664,0.6319033333333335,0.3756633333333333,0.21462666666666658,0.27854000000000007,0.10444000000000006,0.0,0.8528400000000003,0.6764233333333333,0.5981266666666665,0.32202000000000003,0.470586666666667,0.5379799999999999,0.6422149999999999,0.5520733333333332,0.6282133333333325,0.74738,0.5848400000000001,0.6197500000000001,0.4687333333333333,0.5259100000000001,0.5179400000000003,0.8665566666666661,0.8984566666666666,0.6620199999999998,0.7603266666666668,0.4985733333333334
FH_CovidAnalytics_DELPHI,0.56771,0.6128466666666669,0.33257999999999993,0.50444,1.5329566666666663,0.33257999999999993,0.56771,0.6924599999999999,0.7004833333333333,0.7814800000000001,0.8528400000000003,0.0,0.9779600000000002,0.6434733333333331,0.8681,0.561576666666667,0.55446,0.363665,0.48119,0.29814333333333326,0.47211499999999995,0.09457999999999994,0.02893999999999995,0.6530966666666667,0.735085,0.5728900000000003,0.08780333333333337,0.1995566666666667,0.9484049999999999,0.37944666666666693,0.6458499999999994
FH_Google_Harvard_CPF,0.8312999999999999,0.7995066666666656,0.9566133333333331,0.95202,1.5480466666666677,0.9566133333333331,0.8312999999999999,0.6995433333333332,0.7258666666666662,0.7057600000000002,0.6764233333333333,0.9779600000000002,0.0,0.7541299999999997,0.7134800000000002,0.7900866666666656,0.8849400000000005,1.00835,0.7804966666666667,0.9094366666666669,0.9240650000000002,0.7959066666666664,0.9026699999999996,0.7614266666666674,0.7643349999999998,0.6459300000000004,0.9951000000000009,1.01522,0.4061500000000004,0.8578266666666667,0.8249333333333326
FH_IEM_MED_CovidProject,0.5196,0.33742333333333346,0.5083000000000004,0.54928,1.4633366666666652,0.5083000000000004,0.5196,0.6592233333333335,0.7131333333333337,0.6324466666666657,0.5981266666666665,0.6434733333333331,0.7541299999999997,0.0,0.5042,0.5802600000000004,0.49832000000000004,0.4639100000000002,0.3633399999999997,0.5121633333333333,0.6717800000000002,0.40684000000000015,0.4150200000000001,0.6423333333333336,0.6175599999999999,0.6031950000000003,0.6392433333333329,0.6921499999999997,0.7702300000000001,0.6502966666666664,0.5709733333333339
FH_IHME_CurveFit,0.34931999999999985,0.41065999999999997,0.44912000000000013,,1.4616200000000004,0.44912000000000013,0.34931999999999985,0.6717400000000001,0.6999200000000001,0.5577199999999999,0.32202000000000003,0.8681,0.7134800000000002,0.5042,0.0,0.5023399999999999,0.42661999999999994,0.6653600000000001,0.40820000000000006,0.6173200000000001,,,,0.5124999999999998,0.5101599999999998,0.5762999999999999,0.9991400000000003,1.0596999999999996,,0.8877799999999999,0.48336000000000007
FH_JHUAPL_Bucky,0.42883333333333307,0.5063533333333333,0.44684333333333315,0.5936399999999998,1.500453333333332,0.44684333333333315,0.42883333333333307,0.46710000000000035,0.57899,0.4735900000000004,0.470586666666667,0.561576666666667,0.7900866666666656,0.5802600000000004,0.5023399999999999,0.0,0.5073599999999996,0.5714300000000001,0.4122900000000002,0.4369733333333332,0.6472850000000001,0.2397933333333333,0.32057,0.5617599999999998,0.6413000000000002,0.42075,0.5699033333333331,0.6167833333333336,0.8023349999999999,0.62727,0.5856633333333334
FH_JHU_CSSE_DECOM,0.38087000000000015,0.3432733333333337,0.3636166666666668,0.4504200000000001,1.4421333333333328,0.3636166666666668,0.38087000000000015,0.56883,0.6600433333333333,0.5791733333333333,0.5379799999999999,0.55446,0.8849400000000005,0.49832000000000004,0.42661999999999994,0.5073599999999996,0.0,0.4433550000000001,0.3541000000000001,0.5001733333333334,0.5753699999999998,0.19514000000000006,0.14509,0.4704799999999999,0.5723650000000002,0.49491500000000016,0.5652200000000001,0.6464766666666668,0.8312699999999996,0.571683333333333,0.5919066666666664
FH_JHU_UNC_GAS_StatMechPool,0.45721500000000004,0.4704249999999996,0.35052000000000016,,1.4036500000000003,0.35052000000000016,0.45721500000000004,0.6450149999999999,0.6465850000000002,0.658815,0.6422149999999999,0.363665,1.00835,0.4639100000000002,0.6653600000000001,0.5714300000000001,0.4433550000000001,0.0,0.4557050000000001,0.45909500000000014,0.5883533333333333,0.25902000000000003,0.14751999999999998,0.6537950000000003,0.64906,0.62312,0.4040050000000003,0.46206,0.9524733333333336,0.4409750000000001,0.46408
FH_KITmetricslab_select_ensemble,0.41974000000000017,0.2524566666666667,0.4002199999999999,0.36188,1.5865500000000008,0.4002199999999999,0.41974000000000017,0.5837333333333333,0.7188299999999999,0.6185200000000001,0.5520733333333332,0.48119,0.7804966666666667,0.3633399999999997,0.40820000000000006,0.4122900000000002,0.3541000000000001,0.4557050000000001,0.0,0.34009000000000006,0.5992000000000001,0.12313333333333333,0.12009000000000002,0.5117500000000003,0.536605,0.3354149999999999,0.5061166666666669,0.6227233333333335,0.7790899999999996,0.559336666666667,0.6005866666666665
FH_Karlen_pypm,0.4464700000000003,0.4819166666666666,0.3266366666666667,0.4319000000000002,1.5377433333333306,0.3266366666666667,0.4464700000000003,0.519846666666667,0.5922266666666666,0.57884,0.6282133333333325,0.29814333333333326,0.9094366666666669,0.5121633333333333,0.6173200000000001,0.4369733333333332,0.5001733333333334,0.45909500000000014,0.34009000000000006,0.0,0.507535,0.12503333333333333,0.09117000000000001,0.537506666666667,0.6532199999999999,0.5011550000000002,0.30388333333333345,0.4258066666666669,0.9014699999999997,0.4480366666666666,0.6144999999999998
