,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IUPUI_HkPrMobiDyR,FH_IowaStateLW_STEM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_SigSci_TS,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
FH_CU_select,0.2787799999999999,0.634146666666666,0.9582833333333339,1.3962433333333326,0.4745760000000001,0.2787799999999999,0.08983666666666668,0.23362333333333343,0.14095000000000024,0.03310333333333333,0.0,0.653973333333333,0.49642666666666657,0.6997500000000003,0.7842866666666664,0.7754999999999999,0.6453150000000001,0.5236433333333333,0.5593933333333331,0.6834499999999997,0.6778133333333329,0.5748399999999999,0.5136199999999997,0.6132899999999996,0.5094266666666666,0.8841900000000003,0.5519133333333333,0.859116,0.4414799999999999,0.7512000000000004,0.4512166666666667,0.9388500000000001,0.6107633333333334,0.5391199999999998,0.8209399999999999,0.5241933333333334,0.37346
FH_Covid19Sim_Simulator,0.41375999999999974,0.5720699999999999,0.9842099999999997,1.4746333333333335,0.5356080000000002,0.41375999999999974,0.6429200000000002,0.6679733333333334,0.5808766666666666,0.6743866666666664,0.653973333333333,0.0,0.39575666666666687,0.77665,0.9179633333333338,0.6858450000000001,0.5570200000000001,0.48326333333333354,0.7735399999999998,0.7876766666666661,0.6838766666666662,0.5961500000000001,0.6621066666666672,0.8570266666666668,0.6931599999999999,0.8975800000000003,0.4942099999999999,0.7609280000000002,0.46800000000000014,0.7881560000000001,0.37233666666666687,1.0917800000000002,0.5260633333333333,0.66595,0.8214566666666666,0.5219366666666659,0.4531166666666668
FH_CovidAnalytics_DELPHI,0.24792999999999996,0.66907,1.0320499999999995,1.5521533333333326,0.46039200000000013,0.24792999999999996,0.4961500000000001,0.5740066666666667,0.3559333333333335,0.5282366666666664,0.49642666666666657,0.39575666666666687,0.0,0.811423333333334,1.0058966666666667,0.4888449999999998,0.17111000000000007,0.3403866666666671,0.7545133333333329,0.8439566666666658,0.6634266666666663,0.44551999999999997,0.68459,0.9032366666666672,0.665853333333333,0.8417100000000001,0.3777433333333334,0.9583879999999999,0.44917999999999997,0.9096199999999998,0.08526333333333344,1.32089,0.26119,0.5075700000000001,0.9288499999999992,0.3690933333333335,0.1700866666666666
FH_Google_Harvard_CPF,0.6460200000000004,0.6127133333333332,0.9995566666666675,1.5356566666666673,0.785436,0.6460200000000004,0.7143833333333333,0.7060766666666666,0.6671499999999995,0.685216666666667,0.6997500000000003,0.77665,0.811423333333334,0.0,0.85418,0.7236799999999998,1.0471800000000007,0.7722899999999991,0.7370899999999999,0.5788133333333334,0.8031666666666671,0.7386000000000001,0.48439000000000004,0.7491300000000003,0.7091166666666665,0.8704900000000003,0.8453266666666673,0.7361239999999998,0.7459199999999998,0.47089600000000015,0.7961833333333342,1.1691799999999999,1.0017466666666655,0.5188299999999999,0.6456533333333332,0.654623333333333,0.7288799999999999
FH_IEM_MED_CovidProject,0.77168,0.7510766666666668,0.8922166666666671,1.1706466666666668,0.6991080000000002,0.77168,0.7934499999999995,0.6765500000000004,0.8777733333333333,0.7952066666666664,0.7842866666666664,0.9179633333333338,1.0058966666666667,0.85418,0.0,0.9317600000000005,1.0802600000000004,0.7743500000000005,0.6991433333333336,0.6585066666666672,0.6795066666666664,0.7174299999999998,0.7690366666666673,0.602083333333333,0.7091699999999999,0.9563200000000002,0.7295866666666668,0.6233559999999998,0.5089399999999998,0.6780920000000004,0.977923333333333,0.9217000000000003,0.9690033333333335,0.7735999999999997,0.8516266666666663,0.7734666666666677,0.9197000000000003
FH_IUPUI_HkPrMobiDyR,0.6536799999999999,0.7615200000000002,0.9511949999999995,1.6272300000000002,0.8303749999999998,0.6536799999999999,0.7089049999999996,0.6900800000000004,0.71332,0.7598050000000001,0.7754999999999999,0.6858450000000001,0.4888449999999998,0.7236799999999998,0.9317600000000005,0.0,0.6285533333333333,0.7684350000000001,0.9774400000000004,0.762195,0.6698800000000003,0.3878199999999999,0.8158049999999996,0.9293300000000008,0.8759900000000003,0.7449600000000001,0.6246099999999999,0.7796000000000002,0.8509399999999998,0.6977150000000003,0.5834000000000001,1.3201299999999998,0.6839499999999998,0.6174200000000001,0.7994150000000007,0.5631149999999997,0.6414599999999999
FH_IowaStateLW_STEM,,1.0201949999999997,0.8815350000000001,1.21453,0.7065466666666669,,0.6571850000000005,0.74882,0.5308250000000004,0.6875200000000001,0.6453150000000001,0.5570200000000001,0.17111000000000007,1.0471800000000007,1.0802600000000004,0.6285533333333333,0.0,0.5538800000000003,0.9879049999999998,1.0132500000000004,0.8260649999999998,,1.06989,1.0514549999999994,0.9524850000000009,,0.34264500000000003,1.1053450000000007,,1.2333349999999998,0.21145499999999992,1.0231600000000003,0.18188500000000002,,1.0834950000000003,0.5877450000000002,0.3269450000000001
FH_JHUAPL_Bucky,0.2622600000000001,0.4469233333333336,1.027136666666667,1.5089300000000003,0.37262399999999996,0.2622600000000001,0.5232733333333336,0.5840833333333331,0.43060333333333367,0.5387066666666667,0.5236433333333333,0.48326333333333354,0.3403866666666671,0.7722899999999991,0.7743500000000005,0.7684350000000001,0.5538800000000003,0.0,0.5126799999999998,0.6481366666666671,0.5201466666666663,0.4818999999999997,0.5175633333333336,0.7262633333333333,0.45456333333333326,0.8343899999999997,0.4107000000000003,0.724796,0.34468000000000004,0.7590239999999998,0.31254333333333423,1.01665,0.5283133333333335,0.48228999999999994,0.87634,0.3715700000000002,0.3624000000000004
FH_JHU_CSSE_DECOM,0.15368000000000007,0.41909666666666706,0.8875466666666667,1.2146899999999994,0.5166920000000002,0.15368000000000007,0.5817966666666666,0.6618199999999994,0.5699933333333334,0.5399533333333332,0.5593933333333331,0.7735399999999998,0.7545133333333329,0.7370899999999999,0.6991433333333336,0.9774400000000004,0.9879049999999998,0.5126799999999998,0.0,0.5806733333333326,0.6434699999999997,0.59426,0.476906666666667,0.6290333333333333,0.3852033333333337,0.9108800000000004,0.6847499999999997,0.7287560000000003,0.42944000000000004,0.7171840000000003,0.69727,0.8520499999999999,0.7810200000000003,0.5792499999999999,0.8225233333333336,0.6548833333333334,0.6731333333333333
FH_JHU_IDD_CovidSP,0.60718,0.4075466666666668,0.913056666666666,1.427469999999999,0.7352519999999989,0.60718,0.6695200000000002,0.571663333333333,0.7266199999999997,0.6771199999999998,0.6834499999999997,0.7876766666666661,0.8439566666666658,0.5788133333333334,0.6585066666666672,0.762195,1.0132500000000004,0.6481366666666671,0.5806733333333326,0.0,0.65467,0.5911900000000001,0.4939433333333338,0.63134,0.5417600000000005,0.8902900000000004,0.7246799999999999,0.5425239999999998,0.4583600000000002,0.3714119999999999,0.8208900000000003,0.9556,1.019383333333334,0.5181900000000002,0.6765666666666669,0.6325500000000001,0.7837433333333332
