,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IUPUI_HkPrMobiDyR,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
COVID_Hub_Trained_Ensemble,0.0,0.17028666666666667,0.8579760000000001,1.2432950000000005,0.09567333333333333,0.0,0.251425,0.33233,0.17856499999999997,0.24177500000000013,0.24177500000000013,0.2825300000000001,0.17036400000000007,0.8342499999999997,0.39842333333333374,0.6536799999999999,0.14042800000000008,0.14415999999999993,0.2293400000000002,0.37543,0.28944,0.09162666666666665,0.5049933333333334,0.052085,0.7891759999999998,0.25268999999999997,0.16210000000000013,0.3443999999999999,0.776493333333333,0.08848000000000006,0.3156866666666666,0.8392499999999994,0.942036,0.18904,0.11816
FH_BPagano_RtDriven,0.17028666666666667,0.0,0.9547440000000001,1.3232699999999997,0.13599333333333335,0.27749,0.34186500000000003,0.4285600000000002,0.24783999999999998,0.36492499999999994,0.36492499999999994,0.21821,0.15742400000000006,0.7896549999999999,0.4866900000000001,0.69688,0.1316360000000001,0.2003920000000001,0.23212333333333335,0.40850000000000036,0.3338900000000001,0.12676333333333334,0.6470966666666663,0.09716000000000002,0.8239999999999998,0.28079000000000015,0.16093600000000002,0.42574000000000023,0.7883133333333335,0.1106866666666667,0.33048999999999995,0.8162449999999997,0.9937040000000001,0.187892,0.1496966666666667
FH_CEID_Walk,0.8579760000000001,0.9547440000000001,0.0,0.7648100000000002,0.8484466666666666,0.7913400000000003,0.8535249999999999,0.8582899999999997,0.8729850000000002,0.7921100000000003,0.7921100000000003,0.888732,0.9583479999999999,0.9181350000000005,0.8157439999999999,0.83636,0.9805839999999998,0.8494799999999995,0.9856479999999994,0.9587049999999998,0.85009,0.9366560000000002,0.7766559999999999,0.8927050000000001,0.760792,0.7529399999999993,0.9913349999999997,0.835924,1.0775200000000007,0.9032079999999999,0.8756759999999998,0.9143749999999993,0.9712999999999999,1.0071319999999997,0.9711039999999997
FH_COVIDhub_baseline,1.2432950000000005,1.3232699999999997,0.7648100000000002,0.0,1.2782066666666674,1.2389099999999997,1.2107199999999998,1.237553333333334,1.2087999999999997,1.08366,1.08366,1.3022650000000011,1.3616500000000002,1.2410133333333344,1.0256250000000002,1.5726599999999997,1.3744199999999993,1.1666949999999996,1.3732350000000004,1.3548733333333338,1.43125,1.32336,1.0422049999999998,1.2581533333333335,1.1183850000000002,0.951095,1.3701466666666675,1.0916349999999995,1.513125,1.2984850000000001,1.053315,1.3372866666666658,1.1265000000000007,1.443725,1.3683349999999999
FH_COVIDhub_ensemble,0.09567333333333333,0.13599333333333335,0.8484466666666666,1.2782066666666674,0.0,0.11881999999999994,0.30479333333333347,0.38112000000000007,0.22104666666666664,0.32113333333333344,0.32113333333333344,0.21546000000000007,0.10293999999999998,0.7801466666666667,0.4067466666666666,0.6653200000000001,0.09523333333333332,0.17630666666666667,0.21553333333333338,0.3521333333333333,0.23239999999999994,0.09942,0.6162533333333333,0.05426999999999998,0.6536266666666662,0.2794000000000001,0.05738999999999997,0.38614666666666686,0.7458466666666664,0.05859333333333332,0.19010666666666678,0.8272000000000004,1.0238600000000002,0.20343999999999995,0.13012666666666664
FH_COVIDhub_trained_ensemble,0.0,0.27749,0.7913400000000003,1.2389099999999997,0.11881999999999994,0.0,0.31128000000000006,0.38411000000000006,0.23630999999999996,0.29878999999999994,0.29878999999999994,0.32522999999999996,0.20556999999999995,0.80659,0.4503200000000001,0.6536799999999999,0.21279999999999993,0.24413,0.35613000000000006,0.39650000000000013,0.28944,0.12955,0.5459699999999996,0.10912,0.8942699999999999,0.32242000000000004,0.23259999999999997,0.3987400000000003,0.77156,0.15752999999999998,0.32434000000000013,0.8231499999999999,0.9165300000000001,0.3115,0.16601
FH_CU_nochange,0.251425,0.34186500000000003,0.8535249999999999,1.2107199999999998,0.30479333333333347,0.31128000000000006,0.0,0.11109500000000003,0.09497500000000005,0.08404500000000001,0.08404500000000001,0.4614599999999997,0.33559,0.8262900000000001,0.3788600000000001,0.6544600000000002,0.337725,0.27772500000000017,0.36321000000000003,0.49224500000000027,0.4676199999999999,0.26403000000000004,0.5871500000000003,0.25919333333333333,0.7424499999999999,0.36379999999999996,0.34365333333333326,0.4590650000000002,0.9435249999999996,0.29969500000000004,0.4387550000000004,0.8357350000000002,0.954385,0.33570500000000036,0.30272000000000016
FH_CU_scenario_high,0.33233,0.4285600000000002,0.8582899999999997,1.237553333333334,0.38112000000000007,0.38411000000000006,0.11109500000000003,0.0,0.23572499999999993,0.16806499999999996,0.16806499999999996,0.5314450000000002,0.39755000000000024,0.8232200000000005,0.42396499999999987,0.5860800000000002,0.39979500000000023,0.36719500000000016,0.4205750000000002,0.5307200000000001,0.48258000000000023,0.36263000000000006,0.5829800000000003,0.3366866666666669,0.7166999999999998,0.43002000000000024,0.4297533333333332,0.5046999999999999,0.8837950000000001,0.3865250000000002,0.536325,0.8250399999999998,0.9223649999999997,0.381965,0.364525
FH_CU_scenario_low,0.17856499999999997,0.24783999999999998,0.8729850000000002,1.2087999999999997,0.22104666666666664,0.23630999999999996,0.09497500000000005,0.23572499999999993,0.0,0.10113500000000002,0.10113500000000002,0.38809000000000005,0.2591749999999999,0.81526,0.371635,0.7053200000000001,0.25782499999999997,0.20537499999999992,0.31726000000000015,0.4701750000000003,0.44386000000000003,0.18178500000000003,0.6382699999999998,0.14739333333333327,0.7748800000000002,0.32448000000000016,0.27231333333333346,0.4298400000000002,0.979795,0.20036500000000007,0.3362000000000001,0.8224250000000005,0.9423399999999996,0.27066500000000016,0.22667000000000012
FH_CU_scenario_mid,0.24177500000000013,0.36492499999999994,0.7921100000000003,1.08366,0.32113333333333344,0.29878999999999994,0.08404500000000001,0.16806499999999996,0.10113500000000002,0.0,0.0,0.4731300000000004,0.36582000000000015,0.8415549999999996,0.3760099999999999,0.73992,0.36773500000000003,0.25271000000000005,0.40841000000000016,0.5361849999999999,0.5159200000000002,0.28768,0.5431600000000002,0.23136000000000004,0.7661049999999997,0.34589499999999995,0.41073333333333334,0.4364800000000001,0.9993699999999999,0.302825,0.439845,0.8550450000000002,0.9630499999999997,0.38668000000000013,0.32327000000000006
FH_CU_select,0.24177500000000013,0.36492499999999994,0.7921100000000003,1.08366,0.32113333333333344,0.29878999999999994,0.08404500000000001,0.16806499999999996,0.10113500000000002,0.0,0.0,0.4731300000000004,0.36582000000000015,0.8415549999999996,0.3760099999999999,0.73992,0.36773500000000003,0.25271000000000005,0.40841000000000016,0.5361849999999999,0.5159200000000002,0.28768,0.5431600000000002,0.23136000000000004,0.7661049999999997,0.34589499999999995,0.41073333333333334,0.4364800000000001,0.9993699999999999,0.302825,0.439845,0.8550450000000002,0.9630499999999997,0.38668000000000013,0.32327000000000006
FH_Covid19Sim_Simulator,0.2825300000000001,0.21821,0.888732,1.3022650000000011,0.21546000000000007,0.32522999999999996,0.4614599999999997,0.5314450000000002,0.38809000000000005,0.4731300000000004,0.4731300000000004,0.0,0.23758399999999988,0.85701,0.5511199999999992,0.7407600000000001,0.24674400000000005,0.31850000000000017,0.31963666666666674,0.4930050000000002,0.35111,0.25027666666666665,0.7133466666666667,0.2431049999999999,0.8152160000000006,0.3806966666666668,0.2520239999999999,0.48469200000000007,0.8267900000000006,0.2278066666666668,0.43461666666666693,0.8568099999999995,0.9583719999999998,0.3106160000000001,0.2693499999999999
FH_CovidAnalytics_DELPHI,0.17036400000000007,0.15742400000000006,0.9583479999999999,1.3616500000000002,0.10293999999999998,0.20556999999999995,0.33559,0.39755000000000024,0.2591749999999999,0.36582000000000015,0.36582000000000015,0.23758399999999988,0.0,0.8266000000000001,0.4124,0.54426,0.1262200000000001,0.22672400000000004,0.21409999999999987,0.36155000000000015,0.20477000000000004,0.14795600000000003,0.7159840000000001,0.14576500000000003,0.8070399999999999,0.2975359999999999,0.09868499999999997,0.41615199999999974,0.8303000000000009,0.11846800000000006,0.3082720000000001,0.8351300000000005,0.9518560000000005,0.20078400000000005,0.15906800000000007
FH_Google_Harvard_CPF,0.8342499999999997,0.7896549999999999,0.9181350000000005,1.2410133333333344,0.7801466666666667,0.80659,0.8262900000000001,0.8232200000000005,0.81526,0.8415549999999996,0.8415549999999996,0.85701,0.8266000000000001,0.0,0.9305650000000001,0.5653200000000002,0.8459599999999999,0.8053550000000004,0.858115,0.8112549999999998,0.8609099999999995,0.8036299999999997,0.9739049999999991,0.7242800000000001,0.8469550000000001,0.7786750000000007,0.9248599999999997,0.91943,0.6699699999999997,0.8035849999999998,0.91464,0.5531550000000003,0.8335849999999998,0.803525,0.8133699999999999
FH_IEM_MED_CovidProject,0.39842333333333374,0.4866900000000001,0.8157439999999999,1.0256250000000002,0.4067466666666666,0.4503200000000001,0.3788600000000001,0.42396499999999987,0.371635,0.3760099999999999,0.3760099999999999,0.5511199999999992,0.4124,0.9305650000000001,0.0,0.8875600000000001,0.3924920000000004,0.41907600000000017,0.43276333333333367,0.5354,0.45907999999999993,0.4547033333333339,0.5970766666666667,0.42076,0.7998200000000001,0.4142466666666667,0.40096000000000015,0.41213600000000006,0.9111899999999999,0.42225666666666695,0.44408666666666674,0.8851950000000001,1.0052919999999994,0.45224000000000003,0.47728999999999977
FH_IUPUI_HkPrMobiDyR,0.6536799999999999,0.69688,0.83636,1.5726599999999997,0.6653200000000001,0.6536799999999999,0.6544600000000002,0.5860800000000002,0.7053200000000001,0.73992,0.73992,0.7407600000000001,0.54426,0.5653200000000002,0.8875600000000001,0.0,0.6875200000000001,0.6746000000000001,0.8177599999999998,0.5405,0.3878199999999999,0.6729199999999999,0.8122799999999999,0.7047400000000001,0.7449600000000001,0.7245599999999999,,0.8509399999999998,0.6838799999999999,0.6431600000000003,0.9703000000000002,0.6174200000000001,0.7773799999999997,0.5586800000000003,0.6787600000000001
FH_JHUAPL_Bucky,0.14042800000000008,0.1316360000000001,0.9805839999999998,1.3744199999999993,0.09523333333333332,0.21279999999999993,0.337725,0.39979500000000023,0.25782499999999997,0.36773500000000003,0.36773500000000003,0.24674400000000005,0.1262200000000001,0.8459599999999999,0.3924920000000004,0.6875200000000001,0.0,0.18166400000000008,0.1602519999999999,0.37365499999999996,0.20362000000000025,0.10966800000000002,0.6548039999999996,0.10687500000000001,0.790568,0.25954399999999994,0.06792999999999999,0.379132,0.8324799999999998,0.07553599999999995,0.28620800000000035,0.8001999999999999,0.9619200000000002,0.161688,0.12387200000000001
FH_JHU_CSSE_DECOM,0.14415999999999993,0.2003920000000001,0.8494799999999995,1.1666949999999996,0.17630666666666667,0.24413,0.27772500000000017,0.36719500000000016,0.20537499999999992,0.25271000000000005,0.25271000000000005,0.31850000000000017,0.22672400000000004,0.8053550000000004,0.41907600000000017,0.6746000000000001,0.18166400000000008,0.0,0.270836,0.42301000000000016,0.43951,0.15170000000000008,0.5741600000000002,0.08149,0.8109920000000002,0.2930960000000001,0.2034649999999999,0.3945120000000003,0.91964,0.13056400000000004,0.29773199999999983,0.8647949999999998,0.9579159999999998,0.241544,0.182016
FH_JHU_IDD_CovidSP,0.2293400000000002,0.23212333333333335,0.9856479999999994,1.3732350000000004,0.21553333333333338,0.35613000000000006,0.36321000000000003,0.4205750000000002,0.31726000000000015,0.40841000000000016,0.40841000000000016,0.31963666666666674,0.21409999999999987,0.858115,0.43276333333333367,0.8177599999999998,0.1602519999999999,0.270836,0.0,0.3874700000000002,0.31964000000000004,0.19399333333333327,0.683493333333333,0.22172000000000022,0.7822359999999999,0.3032866666666667,0.14431600000000008,0.397976,0.7812666666666668,0.18165000000000006,0.3776833333333335,0.8208150000000001,1.00318,0.23208399999999996,0.2044733333333333
FH_JHU_UNC_GAS_StatMechPool,0.37543,0.40850000000000036,0.9587049999999998,1.3548733333333338,0.3521333333333333,0.39650000000000013,0.49224500000000027,0.5307200000000001,0.4701750000000003,0.5361849999999999,0.5361849999999999,0.4930050000000002,0.36155000000000015,0.8112549999999998,0.5354,0.5405,0.37365499999999996,0.42301000000000016,0.3874700000000002,0.0,0.42878,0.35091,0.8561800000000003,0.3870333333333335,0.8460549999999993,0.4681200000000003,0.32359333333333345,0.5885050000000004,0.8151499999999996,0.36134000000000005,0.4391400000000001,0.8451699999999999,0.9929249999999997,0.3969100000000003,0.36059499999999994
FH_KITmetricslab_select_ensemble,0.28944,0.3338900000000001,0.85009,1.43125,0.23239999999999994,0.28944,0.4676199999999999,0.48258000000000023,0.44386000000000003,0.5159200000000002,0.5159200000000002,0.35111,0.20477000000000004,0.8609099999999995,0.45907999999999993,0.3878199999999999,0.20362000000000025,0.43951,0.31964000000000004,0.42878,0.0,0.3127599999999999,0.6578799999999998,0.41919999999999985,0.7954300000000005,0.40487,0.020480000000000005,0.5254800000000001,0.7776800000000001,0.23981999999999995,0.4428000000000003,0.78281,0.9558100000000005,0.34248999999999996,0.3242900000000002
FH_Karlen_pypm,0.09162666666666665,0.12676333333333334,0.9366560000000002,1.32336,0.09942,0.12955,0.26403000000000004,0.36263000000000006,0.18178500000000003,0.28768,0.28768,0.25027666666666665,0.14795600000000003,0.8036299999999997,0.4547033333333339,0.6729199999999999,0.10966800000000002,0.15170000000000008,0.19399333333333327,0.35091,0.3127599999999999,0.0,0.6319733333333334,0.07683999999999999,0.8194960000000003,0.24545000000000003,0.11486399999999998,0.37735600000000014,0.8003599999999996,0.06048666666666665,0.2976833333333334,0.8088650000000003,0.9790719999999996,0.15710800000000005,0.08383666666666664
FH_LANL_GrowthRate,0.5049933333333334,0.6470966666666663,0.7766559999999999,1.0422049999999998,0.6162533333333333,0.5459699999999996,0.5871500000000003,0.5829800000000003,0.6382699999999998,0.5431600000000002,0.5431600000000002,0.7133466666666667,0.7159840000000001,0.9739049999999991,0.5970766666666667,0.8122799999999999,0.6548039999999996,0.5741600000000002,0.683493333333333,0.8561800000000003,0.6578799999999998,0.6319733333333334,0.0,0.57221,0.7736600000000001,0.56558,0.7261519999999995,0.6389760000000001,0.732263333333333,0.6103333333333334,0.7570166666666666,0.8457200000000004,0.8990359999999997,0.6642,0.63156
FH_LNQ_ens1,0.052085,0.09716000000000002,0.8927050000000001,1.2581533333333335,0.05426999999999998,0.10912,0.25919333333333333,0.3366866666666669,0.14739333333333327,0.23136000000000004,0.23136000000000004,0.2431049999999999,0.14576500000000003,0.7242800000000001,0.42076,0.7047400000000001,0.10687500000000001,0.08149,0.22172000000000022,0.3870333333333335,0.41919999999999985,0.07683999999999999,0.57221,0.0,0.7799849999999998,0.25479499999999994,0.10923333333333322,0.338615,0.8289250000000004,0.04783499999999998,0.26791000000000004,0.7579333333333335,0.9361949999999999,0.14014000000000004,0.10160000000000004
FH_MIT_Cassandra,0.7891759999999998,0.8239999999999998,0.760792,1.1183850000000002,0.6536266666666662,0.8942699999999999,0.7424499999999999,0.7166999999999998,0.7748800000000002,0.7661049999999997,0.7661049999999997,0.8152160000000006,0.8070399999999999,0.8469550000000001,0.7998200000000001,0.7449600000000001,0.790568,0.8109920000000002,0.7822359999999999,0.8460549999999993,0.7954300000000005,0.8194960000000003,0.7736600000000001,0.7799849999999998,0.0,0.7406600000000002,0.7664700000000002,0.8160959999999995,0.8026880000000004,0.7937519999999995,0.8844079999999993,0.8969700000000006,0.7874000000000004,0.8214599999999993,0.8206440000000007
