,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MSRA_DeepST,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,UMich_RidgeTfReg,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_BPagano_RtDriven,0.0,0.85552,1.3919400000000002,0.82486,0.57836,0.50692,0.7582400000000002,0.54848,0.54848,1.00346,0.96526,0.48654000000000003,,0.9929400000000003,0.5287399999999999,0.7364200000000001,0.4549199999999998,0.8596199999999997,0.5652200000000001,1.04158,0.5711200000000002,0.8791000000000001,0.95906,0.9940399999999998,1.0306,0.5796600000000001,,,0.90554,0.5138800000000001
FH_CEID_Walk,0.85552,0.0,0.9358866666666665,0.681596666666666,1.032506666666666,1.0146733333333338,0.9550800000000004,1.0028533333333336,0.9573733333333333,0.8578500000000001,0.8894599999999997,0.9482966666666658,0.65104,0.8210033333333335,0.8227599999999995,0.8143600000000003,0.7922100000000002,0.8903433333333329,0.8525433333333333,0.9632533333333333,0.79102,0.9367800000000002,0.9199166666666667,0.8092733333333334,0.9217433333333335,0.7395099999999999,0.9150599999999999,0.7042499999999999,0.8982466666666675,0.8836433333333328
FH_COVIDhub_baseline,1.3919400000000002,0.9358866666666665,0.0,1.11235,1.4891199999999996,1.518726666666668,1.4683199999999998,1.4228866666666675,1.4376700000000004,1.1299200000000005,1.2466833333333336,1.5031933333333327,1.2003600000000005,1.1270866666666672,1.3359566666666653,1.2256599999999993,1.3994199999999999,1.2613300000000003,1.227316666666666,1.4687466666666642,1.1819533333333343,1.4004999999999999,1.4006700000000003,1.0816266666666663,1.4019633333333348,1.072833333333333,1.3690849999999997,1.1475300000000013,1.3562099999999981,1.3227399999999987
FH_COVIDhub_ensemble,0.82486,0.681596666666666,1.11235,0.0,1.0993333333333333,1.132826666666666,0.7568866666666672,1.0783466666666661,1.1131566666666655,0.6378666666666664,0.42289000000000015,1.0057933333333333,0.47124000000000005,0.4809499999999999,0.8173533333333338,0.645023333333333,0.8516299999999998,0.625193333333333,0.7475033333333333,0.47262333333333356,0.526936666666667,0.8925799999999998,0.4335200000000004,0.64434,0.45076333333333346,0.8238800000000003,0.5227500000000003,0.8230300000000002,0.5373066666666667,0.8284466666666667
FH_CU_nochange,0.57836,1.032506666666666,1.4891199999999996,1.0993333333333333,0.0,0.08623999999999994,0.6568999999999998,0.0934799999999999,0.0934799999999999,0.9098666666666669,1.199053333333333,0.35382,0.9768200000000005,1.179533333333333,0.47603333333333336,0.9573400000000005,0.4073799999999998,0.7650800000000002,0.6446333333333334,1.2623466666666667,0.62428,0.9582599999999998,1.2093866666666657,1.1497399999999993,1.2529399999999997,0.7685866666666666,0.7113799999999998,0.86218,0.7420333333333334,0.4174600000000001
FH_CU_scenario_high,0.50692,1.0146733333333338,1.518726666666668,1.132826666666666,0.08623999999999994,0.0,0.7113133333333332,0.07979333333333329,0.07979333333333329,0.9917066666666671,1.2583466666666656,0.2694133333333334,0.9816399999999998,1.2228799999999993,0.4621133333333335,0.9688400000000004,0.32007000000000013,0.8068133333333335,0.5837800000000003,1.3256466666666666,0.6566733333333334,0.9348600000000001,1.272173333333334,1.1908,1.3153800000000002,0.7238133333333333,0.7082200000000001,0.819,0.8006133333333333,0.4328800000000001
FH_CU_scenario_low,0.7582400000000002,0.9550800000000004,1.4683199999999998,0.7568866666666672,0.6568999999999998,0.7113133333333332,0.0,0.6353866666666668,0.6353866666666668,0.7678400000000004,0.6849333333333337,0.716626666666667,0.9196199999999999,0.7932200000000001,0.7391066666666669,0.85338,0.6901899999999999,0.6549466666666663,0.8672466666666668,0.6509400000000003,0.5890399999999997,0.6500199999999998,0.6122266666666666,0.7277133333333331,0.6839466666666666,0.7921666666666668,0.50466,0.8983599999999999,0.48474,0.6523333333333333
FH_CU_scenario_mid,0.54848,1.0028533333333336,1.4228866666666675,1.0783466666666661,0.0934799999999999,0.07979333333333329,0.6353866666666668,0.0,0.0,0.9478666666666669,1.2311666666666656,0.3214000000000001,0.97906,1.20618,0.46654666666666694,0.9416199999999996,0.3846699999999999,0.8124800000000001,0.6101000000000005,1.3124000000000002,0.5985133333333335,0.9244399999999999,1.22872,1.1528266666666662,1.313646666666667,0.7237600000000001,0.6762199999999998,0.8982800000000001,0.7513466666666666,0.44126000000000015
FH_CU_select,0.54848,0.9573733333333333,1.4376700000000004,1.1131566666666655,0.0934799999999999,0.07979333333333329,0.6353866666666668,0.0,0.0,0.9753166666666664,1.2251800000000013,0.4379033333333338,0.97906,1.18471,0.6258233333333327,0.9135799999999998,0.3846699999999999,0.9301966666666662,0.7654866666666661,1.255726666666666,0.7553166666666665,0.9244399999999999,1.1976133333333332,1.1528266666666662,1.2325633333333326,0.8344233333333332,0.7868499999999998,0.7490399999999997,0.8660466666666662,0.5774733333333333
FH_Covid19Sim_Simulator,1.00346,0.8578500000000001,1.1299200000000005,0.6378666666666664,0.9098666666666669,0.9917066666666671,0.7678400000000004,0.9478666666666669,0.9753166666666664,0.0,0.650873333333333,1.0210699999999997,0.7120000000000001,0.6992066666666665,0.7830966666666669,0.8209299999999998,1.04503,0.730246666666667,0.8712599999999998,0.6567966666666666,0.69175,0.6708200000000001,0.6696499999999999,0.6672466666666668,0.6278266666666664,0.9040899999999997,0.6175150000000005,0.8304150000000005,0.60723,0.7936300000000006
