,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_IowaStateLW_STEM,FH_JHU_IDD_CovidSP,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_RobertWalraven_ESG,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,UMich_RidgeTfReg,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_COVIDhub_baseline,0.0,1.1118466666666673,1.1440399999999997,1.2306800000000004,1.2776199999999995,1.0549519999999992,1.4267879999999993,1.3323133333333341,1.4371279999999986,1.2821300000000004,0.8766759999999997,1.3488760000000004,0.8581600000000001,1.2429839999999999,1.143312,1.3543600000000002,1.371310000000001
FH_COVIDhub_ensemble,1.1118466666666673,0.0,0.4920666666666665,0.7743200000000006,0.4253300000000001,0.7019333333333335,0.7840733333333333,0.8043933333333332,0.6640800000000001,0.5008066666666667,0.5336200000000003,0.41963333333333347,0.48971999999999993,0.5135266666666667,0.7029133333333337,0.46355333333333343,0.8661800000000002
FH_Covid19Sim_Simulator,1.1440399999999997,0.4920666666666665,0.0,0.9178919999999996,0.6145400000000001,0.7957559999999998,0.6627960000000002,0.7194800000000001,0.7875120000000002,0.5122150000000003,0.8447239999999999,0.574632,0.46836000000000005,0.7277239999999997,0.700532,0.5555440000000001,0.7797800000000009
FH_CovidAnalytics_DELPHI,1.2306800000000004,0.7743200000000006,0.9178919999999996,0.0,0.5374200000000002,0.6525360000000002,1.1214120000000007,0.9046133333333332,0.42928799999999995,1.0061499999999992,0.7740239999999996,0.8079080000000001,0.48705999999999994,0.6846959999999994,0.6506520000000001,0.9069439999999998,1.075435
FH_DDS_NBDS,1.2776199999999995,0.4253300000000001,0.6145400000000001,0.5374200000000002,0.0,0.5378200000000001,0.9744700000000005,1.0444699999999998,0.2564900000000001,0.6431400000000003,0.6876999999999999,0.55588,,0.5668600000000001,0.6613700000000002,0.40511999999999987,1.09754
FH_IowaStateLW_STEM,1.0549519999999992,0.7019333333333335,0.7957559999999998,0.6525360000000002,0.5378200000000001,0.0,1.0002080000000002,1.0112333333333337,0.5959560000000002,0.8806599999999994,0.7929,0.788676,0.5131200000000001,0.743716,0.7162,0.8133680000000002,1.07708
FH_JHU_IDD_CovidSP,1.4267879999999993,0.7840733333333333,0.6627960000000002,1.1214120000000007,0.9744700000000005,1.0002080000000002,0.0,0.4492199999999999,1.0592000000000008,0.3956599999999999,1.0156960000000004,0.7047479999999996,0.20216,0.8433480000000002,0.735804,0.5832759999999996,0.40428500000000006
FH_Karlen_pypm,1.3323133333333341,0.8043933333333332,0.7194800000000001,0.9046133333333332,1.0444699999999998,1.0112333333333337,0.4492199999999999,0.0,1.0936400000000004,0.6476466666666666,0.6559666666666666,0.6463000000000001,0.15990000000000001,0.8225866666666662,0.7216133333333334,0.8213933333333335,0.4329466666666667
FH_LANL_GrowthRate,1.4371279999999986,0.6640800000000001,0.7875120000000002,0.42928799999999995,0.2564900000000001,0.5959560000000002,1.0592000000000008,1.0936400000000004,0.0,0.8787500000000003,0.8740799999999997,0.6121159999999998,0.6186400000000001,0.5559480000000004,0.7521199999999998,0.6107840000000002,1.1238999999999997
FH_LNQ_ens1,1.2821300000000004,0.5008066666666667,0.5122150000000003,1.0061499999999992,0.6431400000000003,0.8806599999999994,0.3956599999999999,0.6476466666666666,0.8787500000000003,0.0,0.8233949999999999,0.49214000000000013,0.23334,0.5907449999999999,0.6175300000000004,0.43973000000000007,0.575245
