,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_ISOLAT_Mixtures,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_BPagano_RtDriven,0.0,0.6747879999999999,1.571689999999999,0.38670800000000005,0.6724279999999998,0.6829280000000003,0.6235960000000004,0.665928,0.6859120000000001,0.4534039999999999,0.4877480000000002,0.5422400000000002,0.6311760000000001,0.44955,0.6088399999999998,0.52876,0.43264400000000014,0.716512,0.6017520000000001,0.43600400000000006,0.41925199999999996,0.6586950000000001,0.49256400000000045,0.3918299999999999,0.5033760000000004,0.6962166666666668,0.452163333333333,0.41401666666666637,0.5880000000000002,0.6015279999999997,0.736072,0.5245559999999999,0.3821666666666667,0.5081933333333333
FH_CEID_Walk,0.6747879999999999,0.0,1.5375999999999996,0.6190250000000002,0.6818349999999999,0.69147,0.6797399999999999,0.7006449999999999,0.7006449999999999,0.6347449999999999,0.6609950000000002,0.6717000000000002,0.613915,0.68076,0.68098,0.5900200000000002,0.6537199999999999,0.6859850000000001,0.6606349999999999,0.6523350000000003,0.6366800000000002,0.6550000000000001,0.6460000000000005,0.5761100000000002,0.6274350000000003,0.6802360000000001,0.6184720000000004,0.639432,0.6731350000000004,0.6566500000000004,0.632185,0.5995600000000002,0.6629359999999999,0.6289600000000001
FH_COVIDhub_baseline,1.571689999999999,1.5375999999999996,0.0,1.5411300000000006,1.57352,1.5698549999999987,1.5819850000000002,1.5681800000000021,1.5748550000000021,1.56107,1.5859499999999995,1.60443,1.5967400000000003,1.5413149999999993,1.3739100000000002,1.5644999999999993,1.5801099999999995,1.4917850000000001,1.5611999999999993,1.514269999999999,1.5265933333333335,1.5461200000000008,1.5752899999999985,,1.6751450000000006,1.6149200000000001,1.5502799999999994,1.5658149999999995,1.5703249999999989,1.5547899999999981,1.5594300000000008,1.7083100000000007,1.5256299999999994,1.5991799999999996
FH_COVIDhub_ensemble,0.38670800000000005,0.6190250000000002,1.5411300000000006,0.0,0.6249159999999997,0.6457639999999994,0.5810680000000004,0.6649959999999999,0.6524160000000001,0.3462999999999999,0.31557600000000025,0.6177839999999998,0.5804320000000003,0.37103200000000014,0.4337600000000001,0.8391699999999997,0.2736320000000002,0.7367359999999995,0.6784600000000001,0.36814,0.23855500000000007,0.6472249999999998,0.2871359999999997,0.1574,0.43156800000000006,0.6149600000000002,0.23816799999999996,0.2854760000000003,0.42569200000000007,0.662916,0.6419360000000001,0.3984600000000001,0.284068,0.4394600000000003
FH_CU_nochange,0.6724279999999998,0.6818349999999999,1.57352,0.6249159999999997,0.0,0.027896000000000008,0.07455599999999998,0.07701600000000002,0.04468000000000002,0.4887040000000001,0.68384,0.5900279999999999,0.7080239999999989,0.5187320000000002,0.7766759999999996,0.9929600000000004,0.5540760000000001,0.6340360000000005,0.6056919999999998,0.7108639999999998,0.6253150000000001,0.3898100000000002,0.4551480000000001,0.48528000000000004,0.6930959999999999,0.7855000000000001,0.6728480000000001,0.7435559999999997,0.723068,0.7172759999999997,0.7362040000000001,0.5982879999999999,0.6821159999999998,0.5796440000000004
FH_CU_scenario_high,0.6829280000000003,0.69147,1.5698549999999987,0.6457639999999994,0.027896000000000008,0.0,0.10418800000000002,0.04218399999999997,0.028155999999999994,0.5173199999999999,0.7203399999999993,0.6097519999999998,0.7011360000000005,0.5257879999999999,0.8034,0.9568299999999995,0.5881360000000001,0.6194400000000001,0.5998280000000005,0.7277359999999996,0.6380750000000003,0.37491000000000013,0.4730360000000001,0.5627000000000001,0.6977000000000004,0.7687600000000004,0.7135119999999999,0.7758399999999995,0.7504319999999997,0.7150239999999997,0.7199000000000002,0.6054200000000004,0.7235799999999999,0.5848399999999999
FH_CU_scenario_low,0.6235960000000004,0.6797399999999999,1.5819850000000002,0.5810680000000004,0.07455599999999998,0.10418800000000002,0.0,0.12576799999999996,0.094636,0.4730280000000003,0.6251519999999997,0.5607840000000004,0.7043839999999998,0.5232479999999999,0.7346800000000002,0.9857099999999999,0.5224960000000004,0.6364439999999998,0.5934239999999995,0.6813480000000003,0.5767150000000004,0.4426399999999998,0.4390600000000002,0.4363199999999998,0.6815120000000006,0.8036399999999997,0.6062919999999998,0.6745399999999997,0.6682640000000002,0.7101319999999993,0.7480640000000002,0.5759319999999999,0.6276319999999999,0.5572600000000001
FH_CU_scenario_mid,0.665928,0.7006449999999999,1.5681800000000021,0.6649959999999999,0.07701600000000002,0.04218399999999997,0.12576799999999996,0.0,0.031132,0.5258800000000003,0.7488079999999998,0.6074759999999999,0.6851359999999999,0.5254399999999997,0.8438479999999997,0.8637700000000001,0.5992680000000002,0.619252000000001,0.5682840000000001,0.729268,0.6430250000000002,0.37166000000000005,0.4912040000000004,0.5638000000000001,0.6893040000000005,0.768564,0.7370200000000003,0.797408,0.7615479999999999,0.6795800000000001,0.7174599999999995,0.6145640000000003,0.7401400000000002,0.5830560000000002
FH_CU_select,0.6859120000000001,0.7006449999999999,1.5748550000000021,0.6524160000000001,0.04468000000000002,0.028155999999999994,0.094636,0.031132,0.0,0.5210280000000002,0.7141839999999997,0.5760959999999998,0.7082759999999999,0.5300199999999997,0.8089079999999996,0.93845,0.6000520000000003,0.6135840000000009,0.5898200000000001,0.7424080000000002,0.6487800000000002,0.37191,0.4822440000000004,0.5638000000000001,0.6977240000000003,0.7685400000000001,0.7165600000000002,0.7758880000000001,0.748356,0.7099040000000001,0.7320839999999995,0.6051280000000002,0.7244120000000003,0.5768360000000002
FH_Covid19Sim_Simulator,0.4534039999999999,0.6347449999999999,1.56107,0.3462999999999999,0.4887040000000001,0.5173199999999999,0.4730280000000003,0.5258800000000003,0.5210280000000002,0.0,0.5005160000000001,0.5924840000000002,0.5800560000000005,0.3525200000000001,0.60756,0.7849699999999998,0.38062400000000013,0.6933720000000008,0.5471759999999997,0.460088,0.35733999999999994,0.5303900000000001,0.32099200000000044,0.2366,0.4709920000000001,0.6767600000000003,0.4593719999999997,0.469216,0.5513879999999999,0.658592,0.6817839999999998,0.5214680000000004,0.49575599999999986,0.5152600000000003
