,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,UMich_RidgeTfReg,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_DDS_NBDS,0.9229266666666665,1.4425166666666678,0.8735800000000006,0.6037600000000001,0.502,0.6643400000000002,0.57004,0.5977766666666668,0.8692133333333337,0.9265433333333332,0.0,0.9098300000000002,0.6802600000000002,0.7777499999999999,0.4245599999999999,0.7947900000000002,0.68654,0.8966933333333332,0.743816666666667,0.8647299999999999,0.9770400000000001,0.8461900000000003,0.8474066666666665,0.663512,0.7313166666666666,0.7593166666666668,0.6509799999999998
FH_IowaStateLW_STEM,0.7989066666666669,1.0621466666666672,0.46446666666666675,1.1994200000000002,1.2004599999999999,0.8329800000000002,1.20904,1.14639,0.6466333333333332,0.45826333333333347,0.9098300000000002,0.0,0.8106399999999998,0.644216666666666,0.72706,0.7688566666666661,0.7547833333333336,0.46724999999999994,0.64356,0.4647800000000002,0.6559399999999996,0.5209133333333337,0.8448366666666668,0.6520239999999997,0.7978799999999998,0.5925366666666666,0.856293333333333
FH_JCB_PRM,0.7965880000000001,1.2973240000000001,0.7082280000000002,0.56372,0.5208800000000002,0.83864,0.5245599999999999,0.788875999999999,0.7421360000000004,0.7467720000000001,0.6802600000000002,0.8106399999999998,0.0,0.7771119999999996,0.61444,0.7128239999999993,0.6078240000000003,0.7644760000000007,0.7098600000000004,0.7335520000000002,0.9336999999999998,0.7530680000000004,0.8872680000000003,0.5885199999999999,0.8163920000000001,0.5747559999999998,0.5941840000000003
FH_JHUAPL_Bucky,0.8075233333333335,1.2408466666666655,0.709596666666667,1.1342,1.1717600000000004,0.8352200000000002,1.14962,0.8470533333333331,0.759933333333333,0.7952666666666662,0.7777499999999999,0.644216666666666,0.7771119999999996,0.0,0.7988800000000001,0.8838633333333334,0.7716633333333335,0.7689066666666665,0.8096666666666662,0.7702499999999997,0.7643799999999998,0.7829133333333332,0.8638166666666662,0.6505959999999998,0.7706666666666664,0.828223333333333,0.888483333333333
FH_JHU_CSSE_DECOM,0.7539,1.3717800000000002,0.8080400000000002,0.5745999999999999,0.5016999999999999,0.5119,0.61584,0.61584,0.8853999999999997,0.73994,0.4245599999999999,0.72706,0.61444,0.7988800000000001,0.0,0.5949800000000001,0.76302,0.6548599999999999,0.6636800000000003,0.6439199999999999,0.8145800000000001,0.7505,0.59784,,0.5809200000000001,0.66794,0.5427400000000001
FH_JHU_IDD_CovidSP,0.8271633333333329,1.1980466666666667,0.5199966666666668,0.9252200000000002,1.0034,0.5233599999999999,0.9978199999999998,1.0258266666666667,0.7169033333333337,0.5340766666666668,0.7947900000000002,0.7688566666666661,0.7128239999999993,0.8838633333333334,0.5949800000000001,0.0,0.6576033333333332,0.5504633333333335,0.5482066666666667,0.5486266666666667,0.6785599999999999,0.4824800000000003,0.8352199999999997,0.6642840000000003,0.8057066666666668,0.5007533333333337,0.6487100000000001
FH_Karlen_pypm,0.8090633333333336,1.178783333333333,0.6161066666666671,0.9328599999999999,0.8935200000000002,0.85438,0.88012,0.9171466666666669,0.7320433333333333,0.6370366666666669,0.68654,0.7547833333333336,0.6078240000000003,0.7716633333333335,0.76302,0.6576033333333332,0.0,0.6993933333333335,0.7178466666666667,0.6696766666666665,0.85536,0.6328166666666665,0.8987566666666663,0.6695799999999997,0.7810433333333326,0.6643900000000003,0.7103333333333339
FH_LANL_GrowthRate,0.8719533333333334,1.437146666666665,0.35061333333333333,1.2778,1.3484200000000002,0.66262,1.3442800000000006,1.2467566666666663,0.6159666666666669,0.17915333333333325,0.8966933333333332,0.46724999999999994,0.7644760000000007,0.7689066666666665,0.6548599999999999,0.5504633333333335,0.6993933333333335,0.0,0.4938099999999999,0.08178000000000009,0.6264400000000001,0.17580333333333334,0.9687733333333335,0.5465759999999997,0.9321633333333333,0.35595000000000004,0.7587233333333335
FH_LNQ_ens1,0.7517233333333335,1.1144499999999995,0.3741433333333336,1.1243399999999995,1.1989599999999998,0.4821599999999999,1.1353,1.0256633333333336,0.60709,0.4174866666666667,0.743816666666667,0.64356,0.7098600000000004,0.8096666666666662,0.6636800000000003,0.5482066666666667,0.7178466666666667,0.4938099999999999,0.0,0.4628200000000002,0.50468,0.48295666666666676,0.7156266666666667,0.5287720000000002,0.6637933333333335,0.43058333333333326,0.6498133333333332
FH_RobertWalraven_ESG,0.8313133333333331,1.3647399999999987,0.33138,1.2584799999999998,1.3274400000000006,0.6554599999999999,1.3156800000000002,1.1988000000000005,0.6244133333333337,0.20914333333333338,0.8647299999999999,0.4647800000000002,0.7335520000000002,0.7702499999999997,0.6439199999999999,0.5486266666666667,0.6696766666666665,0.08178000000000009,0.4628200000000002,0.0,0.6225799999999999,0.1924633333333333,0.9101266666666668,0.5067679999999998,0.8707566666666666,0.3445933333333336,0.72286
FH_TTU_squider,0.73262,1.05238,0.5594199999999999,1.16984,1.2153600000000002,0.7007599999999998,1.1806200000000002,1.1806200000000002,0.7574000000000002,0.5658799999999998,0.9770400000000001,0.6559399999999996,0.9336999999999998,0.7643799999999998,0.8145800000000001,0.6785599999999999,0.85536,0.6264400000000001,0.50468,0.6225799999999999,0.0,0.5830400000000001,0.8567199999999999,,0.8836599999999999,0.6927400000000001,0.9391600000000001
FH_UCLA_SuEIR,0.8224866666666664,1.3294499999999987,0.3544033333333333,1.2895,1.3578999999999999,0.6704799999999999,1.3568200000000001,1.1892133333333343,0.6343266666666665,0.2488400000000001,0.8461900000000003,0.5209133333333337,0.7530680000000004,0.7829133333333332,0.7505,0.4824800000000003,0.6328166666666665,0.17580333333333334,0.48295666666666676,0.1924633333333333,0.5830400000000001,0.0,0.8788466666666672,0.6092720000000001,0.8720433333333337,0.4024933333333335,0.7208866666666668
FH_UMich_RidgeTfReg,0.7311933333333333,1.0036899999999995,0.8233699999999998,0.8737599999999994,0.7952399999999997,0.8780399999999999,0.8420000000000002,0.7967333333333334,0.8858533333333328,0.8888033333333331,0.8474066666666665,0.8448366666666668,0.8872680000000003,0.8638166666666662,0.59784,0.8352199999999997,0.8987566666666663,0.9687733333333335,0.7156266666666667,0.9101266666666668,0.8567199999999999,0.8788466666666672,0.0,0.8456319999999996,0.3755166666666669,0.8670033333333336,0.8699866666666665
FH_USACE_ERDC_SEIR,0.8795040000000001,1.3430079999999989,0.5276519999999999,,,,,0.802384,0.6155079999999998,0.5930399999999998,0.663512,0.6520239999999997,0.5885199999999999,0.6505959999999998,,0.6642840000000003,0.6695799999999997,0.5465759999999997,0.5287720000000002,0.5067679999999998,,0.6092720000000001,0.8456319999999996,0.0,0.7530639999999998,0.36644000000000065,0.5961799999999997
UMich_RidgeTfReg,0.7403800000000003,1.127656666666665,0.775313333333333,0.86218,0.819,0.8983599999999999,0.8982800000000001,0.7343233333333333,0.7978600000000007,0.8547566666666669,0.7313166666666666,0.7978799999999998,0.8163920000000001,0.7706666666666664,0.5809200000000001,0.8057066666666668,0.7810433333333326,0.9321633333333333,0.6637933333333335,0.8707566666666666,0.8836599999999999,0.8720433333333337,0.3755166666666669,0.7530639999999998,0.0,0.8296633333333334,0.7813366666666669
USC_SI_kJalpha,0.8364300000000002,1.3218866666666647,0.41055000000000014,0.8269399999999999,0.8987200000000002,0.41544000000000003,0.8665999999999998,0.999986666666667,0.5587799999999998,0.4205400000000001,0.7593166666666668,0.5925366666666666,0.5747559999999998,0.828223333333333,0.66794,0.5007533333333337,0.6643900000000003,0.35595000000000004,0.43058333333333326,0.3445933333333336,0.6927400000000001,0.4024933333333335,0.8670033333333336,0.36644000000000065,0.8296633333333334,0.0,0.6087700000000001
ensemble_SIkJa_RF,0.8654933333333334,1.2810466666666673,0.7138533333333338,0.48674000000000006,0.5168600000000001,0.6051400000000001,0.5636800000000001,0.7429033333333332,0.713696666666667,0.7650700000000002,0.6509799999999998,0.856293333333333,0.5941840000000003,0.888483333333333,0.5427400000000001,0.6487100000000001,0.7103333333333339,0.7587233333333335,0.6498133333333332,0.72286,0.9391600000000001,0.7208866666666668,0.8699866666666665,0.5961799999999997,0.7813366666666669,0.6087700000000001,0.0
