,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IUPUI_HkPrMobiDyR,FH_IowaStateLW_STEM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_SigSci_TS,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
FH_CovidAnalytics_DELPHI,0.6687866666666664,0.9528166666666662,1.5485466666666647,0.5151700000000001,0.6232833333333334,0.62193,0.591243333333333,0.7748233333333332,0.6681699999999997,0.41003333333333325,0.0,0.8249799999999999,0.6036466666666666,0.6890999999999998,0.549064,0.5624533333333324,0.49322666666666637,1.2197366666666662,0.8592466666666668,0.56262,0.92719,1.1442666666666663,0.9280800000000001,0.24575000000000008,0.7703266666666664,0.5960099999999999,0.91148,0.08652666666666671,1.211759999999999,0.08959666666666664,0.648105,1.0255033333333332,0.33824000000000026,0.36605333333333323
FH_DDS_NBDS,0.7195149999999999,0.8828000000000007,1.5366750000000018,0.8222,0.80871,0.8055149999999998,0.8591749999999998,0.8306049999999995,0.8227949999999998,0.7820099999999998,0.8249799999999999,0.0,0.7017700000000009,0.7735949999999998,0.6909800000000003,1.2376299999999996,0.7619749999999996,0.86619,0.8729099999999996,0.734553333333333,0.8403600000000001,0.6994450000000004,0.7255400000000002,0.7816550000000001,0.7484300000000004,0.73179,0.73044,0.8299999999999998,1.1973399999999998,0.8588750000000006,0.6830050000000001,0.7952999999999996,0.7010850000000002,0.8073900000000003
FH_Google_Harvard_CPF,0.5602233333333334,0.942116666666667,1.552293333333334,0.7028400000000002,0.7348766666666661,0.7410633333333335,0.7183566666666669,0.77803,0.751223333333333,0.6101866666666668,0.6036466666666666,0.7017700000000009,0.0,0.7831500000000002,0.6781320000000003,1.0048366666666662,0.660943333333334,0.97338,0.7522666666666663,0.7181799999999999,0.5611833333333327,0.894986666666666,0.7839600000000008,0.6027300000000003,0.757333333333333,0.4982166666666666,0.7832599999999998,0.6039833333333332,1.1666333333333332,0.662373333333333,0.6186600000000001,0.7743099999999996,0.586483333333333,0.7035699999999996
FH_IEM_MED_CovidProject,0.5717633333333333,0.8673233333333333,1.3403833333333308,0.40845000000000037,0.5812833333333333,0.5768666666666663,0.5813166666666664,0.6572500000000002,0.5935566666666664,0.6344266666666668,0.6890999999999998,0.7735949999999998,0.7831500000000002,0.0,0.8540679999999993,0.9026833333333335,0.4174666666666669,0.8147866666666662,0.7561766666666663,0.44910399999999995,0.6268866666666668,0.8103233333333333,0.5540666666666667,0.5473433333333332,0.5199999999999998,0.6629433333333332,0.8676599999999999,0.668323333333333,0.88278,0.7152333333333328,0.9704249999999996,0.8903566666666666,0.5424233333333333,0.4918900000000001
FH_IUPUI_HkPrMobiDyR,0.7860159999999997,0.9614479999999995,1.6121640000000004,0.8814319999999995,0.7876400000000001,0.7765760000000003,0.8391320000000007,0.8528440000000003,0.8528320000000007,0.790308,0.549064,0.6909800000000003,0.6781320000000003,0.8540679999999993,0.0,0.9418639999999999,0.8537959999999993,0.9692599999999998,0.7937880000000002,0.6535800000000003,0.87034,0.8312919999999997,0.9205639999999997,0.596772,0.7219039999999998,0.6633560000000002,,0.6155919999999999,1.2807399999999998,0.5893920000000002,0.6303799999999998,0.7952839999999995,0.5735520000000002,0.7400040000000001
FH_IowaStateLW_STEM,1.03739,0.8363833333333333,0.766006666666667,0.7000033333333332,0.9408966666666668,0.9686099999999999,0.8437066666666673,0.96858,0.91977,0.7811199999999993,0.5624533333333324,1.2376299999999996,1.0048366666666662,0.9026833333333335,0.9418639999999999,0.0,0.8512933333333337,1.1441999999999999,0.9154700000000001,0.7988799999999996,1.2013500000000001,1.2826733333333327,1.0514233333333323,0.5523599999999997,1.017913333333333,1.026933333333333,1.08418,0.53713,0.869656666666667,0.46591333333333335,1.1093549999999992,1.1711033333333336,0.767993333333333,0.7291033333333323
FH_JHUAPL_Bucky,0.5000533333333332,0.9337899999999997,1.4719966666666646,0.42154999999999987,0.5999400000000004,0.5871533333333337,0.5940366666666663,0.6724466666666662,0.6320633333333338,0.4748733333333332,0.49322666666666637,0.7619749999999996,0.660943333333334,0.4174666666666669,0.8537959999999993,0.8512933333333337,0.0,0.9056399999999994,0.7393100000000005,0.47802800000000023,0.6153799999999999,0.890663333333333,0.6574866666666671,0.45471333333333336,0.5456199999999999,0.5616799999999997,0.8010600000000002,0.46759666666666666,1.0434866666666665,0.5241766666666668,0.8129699999999999,0.8618466666666668,0.44832333333333346,0.5206366666666667
FH_JHU_CSSE_DECOM,0.8822999999999998,0.8215566666666668,1.1701999999999995,0.9143099999999996,0.8663366666666668,0.8985466666666672,0.8867933333333332,0.8021433333333328,0.845443333333333,1.0441666666666665,1.2197366666666662,0.86619,0.97338,0.8147866666666662,0.9692599999999998,1.1441999999999999,0.9056399999999994,0.0,0.7339833333333334,0.9677279999999995,0.7469233333333333,0.6141300000000002,0.7342133333333326,1.0674033333333333,0.7772466666666666,0.8561899999999999,0.66396,1.2120799999999996,0.94101,1.2508700000000001,0.9284899999999995,0.6512766666666668,0.9966599999999987,1.0473900000000005
FH_JHU_IDD_CovidSP,0.6495799999999998,0.7841600000000001,1.2300833333333332,0.7483766666666664,0.7511633333333332,0.7219833333333335,0.8073533333333329,0.7584933333333334,0.7883166666666663,0.8175866666666675,0.8592466666666668,0.8729099999999996,0.7522666666666663,0.7561766666666663,0.7937880000000002,0.9154700000000001,0.7393100000000005,0.7339833333333334,0.0,0.7571079999999999,0.6180399999999997,0.6589133333333337,0.6116066666666671,0.7478166666666668,0.6910600000000006,0.5714000000000004,0.7757200000000002,0.8490233333333328,0.9467000000000002,0.8625666666666664,0.9568750000000003,0.6793833333333332,0.7829633333333337,0.84388
FH_JHU_UNC_GAS_StatMechPool,0.572768,0.9095879999999994,1.3752279999999992,0.4585280000000002,0.6760679999999996,0.6581440000000007,0.6592480000000001,0.7375319999999999,0.6839999999999999,0.6344800000000002,0.56262,0.734553333333333,0.7181799999999999,0.44910399999999995,0.6535800000000003,0.7988799999999996,0.47802800000000023,0.9677279999999995,0.7571079999999999,0.0,0.8050119999999996,0.9479560000000001,0.742908,0.41473200000000027,0.5538200000000002,0.6799839999999999,0.8428999999999999,0.5128600000000002,0.926308,0.5417160000000002,0.8767266666666662,0.9619119999999995,0.426608,0.5522240000000002
