,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MSRA_DeepST,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,UMich_RidgeTfReg,USC_SI_kJalpha,USC_SI_kJalpha_RF,ensemble_SIkJa_RF
FH_BPagano_RtDriven,0.0,0.8963266666666664,1.420273333333334,0.6078066666666666,0.5186800000000001,0.46447333333333335,0.7783799999999997,0.4949399999999998,0.4949399999999998,0.6139266666666672,0.9442066666666669,0.45460000000000006,0.7043700000000003,0.9836933333333328,0.5197133333333334,0.6423666666666666,0.39132666666666654,0.7760799999999998,0.44578000000000023,0.4953533333333332,0.8673666666666662,0.4634733333333336,0.8320399999999999,1.0180399999999992,0.90606,1.0436533333333329,0.48683999999999983,0.6203066666666667,0.9074599999999998,,0.8459266666666666,0.51688,0.43518
FH_CEID_Walk,0.8963266666666664,0.0,0.9739399999999995,0.63486,1.0284119999999999,1.0137120000000002,0.9280600000000001,0.9921719999999999,0.9734333333333335,0.8476333333333332,0.8392933333333333,0.9931533333333327,0.7621533333333332,0.7950633333333337,0.831623333333333,0.8566866666666667,0.8889750000000001,0.9004900000000003,0.9505699999999999,0.9170599999999998,0.9297000000000006,0.828426666666667,0.8809600000000004,0.8393100000000006,0.8212440000000002,0.8790366666666665,0.9468800000000002,0.7784133333333331,0.89608,0.6603,0.8759299999999992,0.8876199999999997,0.8931966666666665
FH_COVIDhub_baseline,1.420273333333334,0.9739399999999995,0.0,1.1232200000000008,1.4964959999999976,1.5297000000000014,1.4887840000000008,1.4486719999999997,1.44769,1.196573333333333,1.3099733333333328,1.5481133333333328,1.36878,1.1823933333333336,1.3735933333333337,1.275433333333332,1.4250349999999994,1.3209399999999987,1.3985000000000005,1.3304899999999964,1.4964699999999989,1.308566666666667,1.46072,1.4128900000000004,1.1676239999999998,1.4615133333333339,1.37695,1.261963333333333,1.4096800000000003,1.15028,1.4064466666666653,1.5859599999999998,1.4052733333333336
FH_COVIDhub_ensemble,0.6078066666666666,0.63486,1.1232200000000008,0.0,0.8695160000000002,0.8733519999999996,0.7690040000000002,0.8300639999999995,0.8753266666666665,0.5758533333333327,0.6160333333333335,0.9363300000000003,0.6216199999999996,0.6214833333333332,0.7812033333333335,0.5815633333333331,0.6544650000000003,0.7135066666666672,0.46020999999999995,0.7222166666666665,0.6194699999999994,0.5821066666666664,0.9357999999999997,0.6814433333333335,0.7316159999999997,0.7430066666666669,0.4282099999999999,0.7941933333333333,0.6221466666666667,0.8258000000000001,0.6880466666666671,0.4893799999999999,0.7696533333333332
FH_CU_nochange,0.5186800000000001,1.0284119999999999,1.4964959999999976,0.8695160000000002,0.0,0.09772799999999998,0.6689959999999998,0.11323999999999988,0.11323999999999988,0.7024040000000003,1.0983359999999993,0.3073120000000002,0.775913333333334,1.1381999999999994,0.4984920000000003,0.7988280000000008,0.3419499999999999,0.6917399999999994,0.32520999999999994,0.5039920000000003,1.0685999999999993,0.4740680000000001,0.8529699999999998,1.19954,1.0146959999999992,1.222068,0.43923,0.7615040000000003,0.7254499999999999,0.86218,0.753772,0.33814,0.34208400000000005
FH_CU_scenario_high,0.46447333333333335,1.0137120000000002,1.5297000000000014,0.8733519999999996,0.09772799999999998,0.0,0.7349399999999999,0.06839599999999998,0.06839599999999998,0.7231679999999996,1.1589279999999995,0.21196399999999982,0.7795333333333333,1.148439999999999,0.45432400000000017,0.7743240000000007,0.23388500000000004,0.72508,0.21836000000000005,0.42240800000000056,1.0956879999999996,0.4507640000000003,0.8459399999999998,1.2374040000000004,1.067348,1.2839120000000002,0.32932,0.7064599999999998,0.74483,0.819,0.813732,0.28413999999999995,0.32209200000000027
FH_CU_scenario_low,0.7783799999999997,0.9280600000000001,1.4887840000000008,0.7690040000000002,0.6689959999999998,0.7349399999999999,0.0,0.6744160000000001,0.6744160000000001,0.7795799999999999,0.6558079999999997,0.7717399999999996,0.7215800000000004,0.7727560000000008,0.797192,0.8615879999999995,0.7458100000000002,0.6602319999999996,0.9065899999999998,0.8644959999999999,0.6122760000000004,0.6357479999999999,0.6053299999999999,0.5987719999999999,0.6725919999999996,0.6548199999999998,0.88214,0.7740719999999996,0.4137899999999999,0.8983599999999999,0.45448800000000017,0.5761800000000001,0.6922079999999998
FH_CU_scenario_mid,0.4949399999999998,0.9921719999999999,1.4486719999999997,0.8300639999999995,0.11323999999999988,0.06839599999999998,0.6744160000000001,0.0,0.0,0.7091199999999996,1.143347999999999,0.24634000000000011,0.8040600000000004,1.131444,0.4498040000000002,0.7495559999999991,0.26724500000000023,0.7333800000000001,0.1978999999999999,0.43883600000000045,1.0958799999999989,0.4027320000000002,0.85198,1.2023560000000002,1.0462639999999988,1.3008000000000004,0.3051399999999999,0.69354,0.7359199999999997,0.8982800000000001,0.7690479999999994,0.3228200000000001,0.34253600000000023
FH_CU_select,0.4949399999999998,0.9734333333333335,1.44769,0.8753266666666665,0.11323999999999988,0.06839599999999998,0.6744160000000001,0.0,0.0,0.7606299999999995,1.1493933333333326,0.24750000000000008,0.8040600000000004,1.1369233333333335,0.49037666666666707,0.7855933333333327,0.26724500000000023,0.7635799999999997,0.1978999999999999,0.517986666666666,1.1060699999999992,0.4627933333333332,0.85198,1.188673333333334,1.0462639999999988,1.266133333333334,0.3051399999999999,0.7179466666666665,0.7818000000000004,0.8538899999999998,0.7992699999999996,0.3228200000000001,0.39155333333333336
FH_Covid19Sim_Simulator,0.6139266666666672,0.8476333333333332,1.196573333333333,0.5758533333333327,0.7024040000000003,0.7231679999999996,0.7795799999999999,0.7091199999999996,0.7606299999999995,0.0,0.8129666666666665,0.8307699999999996,0.6739800000000001,0.8047466666666662,0.7298100000000002,0.7417333333333328,0.690505,0.7300166666666664,0.3245000000000002,0.7429199999999998,0.7469233333333332,0.635116666666666,0.7446699999999999,0.8484700000000004,0.757904,0.8663266666666671,0.42628000000000005,0.8342833333333329,0.6866,0.85016,0.7089733333333332,0.3836,0.6662566666666667
