,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_IowaStateLW_STEM,FH_JHU_IDD_CovidSP,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_RobertWalraven_ESG,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,UMich_RidgeTfReg,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_CEID_Walk,0.0,0.9980300000000001,0.58121,0.8902999999999999,,0.6916599999999999,0.8326999999999998,0.7681400000000003,0.8893400000000004,0.8711799999999998,0.7725199999999998,0.6232599999999999,0.6971699999999997,0.76645,0.7134000000000001,0.6946600000000004,0.6734699999999999,0.7326699999999998,0.7449199999999999
FH_COVIDhub_baseline,0.9980300000000001,0.0,1.0918399999999995,1.2703799999999992,1.15762,1.2132033333333332,1.3607199999999995,1.0427799999999994,1.4148133333333321,1.3019079999999994,1.4251433333333314,1.247436666666667,1.075489999999999,1.3683700000000008,1.0134599999999996,1.2908966666666657,1.1593066666666674,1.3220866666666649,1.3128033333333338
FH_COVIDhub_ensemble,0.58121,1.0918399999999995,0.0,0.8515400000000001,0.4920666666666665,0.64272,0.5530550000000002,0.6556000000000002,0.8014000000000001,0.7609919999999999,0.5773440000000002,0.4378039999999999,0.5122800000000004,0.4797880000000002,0.7008000000000001,0.45837200000000033,0.6167640000000003,0.42728400000000005,0.8717040000000004
FH_CU_select,0.8902999999999999,1.2703799999999992,0.8515400000000001,0.0,,1.07708,0.6310900000000003,1.04942,0.56558,0.8150700000000001,1.07873,0.9192699999999999,0.8188800000000004,0.89908,0.41031999999999996,0.8882600000000004,0.8287700000000003,1.0222600000000002,0.57249
FH_Covid19Sim_Simulator,,1.15762,0.4920666666666665,,0.0,0.8836399999999996,0.6145400000000001,0.7857400000000001,0.6798800000000002,0.7194800000000001,0.7766950000000001,0.5122150000000003,0.7780550000000004,0.5155249999999998,0.46836000000000005,0.6614600000000002,0.706195,0.56651,0.7797800000000009
FH_CovidAnalytics_DELPHI,0.6916599999999999,1.2132033333333332,0.64272,1.07708,0.8836399999999996,0.0,0.677195,0.6232639999999997,1.0501499999999993,0.8594199999999997,0.35932333333333344,0.7801633333333332,0.6562900000000002,0.7520266666666667,0.69028,0.6345066666666662,0.5468766666666667,0.6810733333333339,1.0546200000000008
FH_DDS_NBDS,0.8326999999999998,1.3607199999999995,0.5530550000000002,0.6310900000000003,0.6145400000000001,0.677195,0.0,0.7064400000000002,0.775575,0.9048350000000002,0.508175,0.6815800000000004,0.7583150000000001,0.6016399999999998,0.823,0.59622,0.7376699999999998,0.5557149999999998,0.958515
FH_IowaStateLW_STEM,0.7681400000000003,1.0427799999999994,0.6556000000000002,1.04942,0.7857400000000001,0.6232639999999997,0.7064400000000002,0.0,1.0102479999999994,0.94609,0.5590720000000002,0.8097119999999993,0.7008800000000005,0.8109,0.5131200000000001,0.7735240000000001,0.6944640000000002,0.7518960000000002,1.0309480000000002
FH_JHU_IDD_CovidSP,0.8893400000000004,1.4148133333333321,0.8014000000000001,0.56558,0.6798800000000002,1.0501499999999993,0.775575,1.0102479999999994,0.0,0.5115800000000003,1.0487033333333344,0.5386699999999996,0.8906999999999996,0.6824633333333326,0.42611,0.7954533333333328,0.7826766666666662,0.7093666666666665,0.44798333333333334
FH_Karlen_pypm,0.8711799999999998,1.3019079999999994,0.7609919999999999,0.8150700000000001,0.7194800000000001,0.8594199999999997,0.9048350000000002,0.94609,0.5115800000000003,0.0,0.9619840000000003,0.6492959999999998,0.6388479999999997,0.624116,0.4592999999999999,0.7542879999999996,0.7444879999999999,0.7613280000000002,0.5257999999999998
