,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_4_week_ensemble,FH_COVIDhub_CDC_ensemble,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_MUNI_VAR,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
COVID_Hub_Trained_Ensemble,0.0,0.3322833333333335,0.6398600000000001,0.23574666666666677,0.24445999999999996,1.3885466666666673,0.23574666666666677,0.0,0.39382800000000046,0.4486960000000002,0.3907080000000001,0.3955800000000001,0.4178033333333333,0.9007000000000008,0.42820333333333327,0.4344999999999997,0.3191066666666667,0.2909800000000002,0.3120666666666668,0.3747800000000001,0.6134680000000003,0.328544,0.31452000000000013,0.3982300000000001,0.5366500000000004,0.4227600000000001,0.4060700000000003,0.4747466666666667,0.7815466666666668,0.3521566666666666,0.35174666666666676
FH_BPagano_RtDriven,0.3322833333333335,0.0,0.74968,0.24165666666666663,0.40156000000000014,1.4565566666666654,0.24165666666666663,0.3322833333333335,0.48407600000000006,0.5475480000000003,0.5332960000000001,0.539236,0.3160599999999999,0.8767766666666665,0.3830366666666665,0.5082833333333334,0.30265666666666663,0.18818666666666667,0.26465333333333313,0.28618333333333346,0.5214320000000002,0.21385999999999997,0.16647000000000006,0.4843233333333336,0.5699700000000001,0.4107266666666668,0.3038366666666666,0.4891599999999999,0.8621133333333332,0.4071400000000002,0.5397466666666663
FH_CEID_Walk,0.6398600000000001,0.74968,0.0,0.7088000000000001,,1.3133000000000001,0.7088000000000001,0.6398600000000001,,,,,0.7603399999999999,0.7572599999999998,0.6317999999999998,0.6833399999999997,0.6985599999999998,0.7277799999999999,0.76042,0.7571800000000002,0.8066200000000001,0.7345000000000002,0.7597199999999998,0.7048399999999998,,0.6945399999999998,0.7658600000000003,0.7649800000000003,,0.68322,0.5635400000000002
FH_COVIDhub_4_week_ensemble,0.23574666666666677,0.24165666666666663,0.7088000000000001,0.0,0.0,1.430496666666667,0.0,0.23574666666666677,0.5612600000000003,0.6554159999999998,0.596716,0.6078839999999999,0.2028333333333333,0.9660333333333337,0.4374799999999999,0.4213766666666668,0.21252000000000001,0.17023333333333335,0.17633666666666672,0.1978233333333332,0.4565280000000002,0.11467199999999998,0.09655999999999995,0.40904333333333365,0.6130599999999999,0.3426533333333335,0.17421333333333344,0.3492700000000002,0.8683266666666666,0.2832666666666669,0.5407900000000002
FH_COVIDhub_CDC_ensemble,0.24445999999999996,0.40156000000000014,,0.0,0.0,1.41382,0.0,0.24445999999999996,0.7221799999999999,0.7647799999999999,0.67366,0.67366,0.50444,0.95202,0.54928,0.5936399999999998,0.4504200000000001,,0.36188,0.4319000000000002,,,,0.58264,0.6196200000000001,0.48459999999999986,0.48707999999999985,0.5277000000000001,,0.44815999999999995,0.5316200000000001
FH_COVIDhub_baseline,1.3885466666666673,1.4565566666666654,1.3133000000000001,1.430496666666667,1.41382,0.0,1.430496666666667,1.3885466666666673,1.5178999999999983,1.5446199999999988,1.4054679999999995,1.4519439999999995,1.5482366666666654,1.5460033333333334,1.4276766666666652,1.4979033333333318,1.4194300000000013,1.4351133333333332,1.5514533333333334,1.5461299999999976,1.462435999999999,1.3419399999999988,1.5644150000000012,1.3909299999999998,1.4520500000000005,1.6656733333333338,1.5209599999999983,1.3861366666666637,1.4019800000000013,1.444670000000001,1.4727766666666648
FH_COVIDhub_ensemble,0.23574666666666677,0.24165666666666663,0.7088000000000001,0.0,0.0,1.430496666666667,0.0,0.23574666666666677,0.5612600000000003,0.6554159999999998,0.596716,0.6078839999999999,0.2028333333333333,0.9660333333333337,0.4374799999999999,0.4213766666666668,0.21252000000000001,0.17023333333333335,0.17633666666666672,0.1978233333333332,0.4565280000000002,0.11467199999999998,0.09655999999999995,0.40904333333333365,0.6130599999999999,0.3426533333333335,0.17421333333333344,0.3492700000000002,0.8683266666666666,0.2832666666666669,0.5407900000000002
FH_COVIDhub_trained_ensemble,0.0,0.3322833333333335,0.6398600000000001,0.23574666666666677,0.24445999999999996,1.3885466666666673,0.23574666666666677,0.0,0.39382800000000046,0.4486960000000002,0.3907080000000001,0.3955800000000001,0.4178033333333333,0.9007000000000008,0.42820333333333327,0.4344999999999997,0.3191066666666667,0.2909800000000002,0.3120666666666668,0.3747800000000001,0.6134680000000003,0.328544,0.31452000000000013,0.3982300000000001,0.5366500000000004,0.4227600000000001,0.4060700000000003,0.4747466666666667,0.7815466666666668,0.3521566666666666,0.35174666666666676
FH_CU_nochange,0.39382800000000046,0.48407600000000006,,0.5612600000000003,0.7221799999999999,1.5178999999999983,0.5612600000000003,0.39382800000000046,0.0,0.08471200000000008,0.11621599999999989,0.11613199999999989,0.657424,0.7261599999999996,0.5894719999999999,0.4506760000000002,0.49926800000000016,0.5487699999999998,0.474408,0.5534560000000003,0.6364049999999999,0.44299,0.40457999999999994,0.4638200000000001,0.55022,0.5208000000000002,0.6696840000000004,0.7095400000000002,0.6303400000000002,0.6021959999999997,0.42058000000000006
FH_CU_scenario_low,0.4486960000000002,0.5475480000000003,,0.6554159999999998,0.7647799999999999,1.5446199999999988,0.6554159999999998,0.4486960000000002,0.08471200000000008,0.0,0.13193200000000005,0.08833600000000001,0.7492039999999996,0.6688719999999998,0.6167240000000004,0.510948,0.5569200000000004,0.64448,0.566524,0.6496760000000006,0.6647550000000002,0.5338700000000001,0.5294599999999999,0.5070799999999998,0.56585,0.59088,0.7734640000000007,0.7869280000000002,0.5682933333333335,0.6680560000000002,0.3930240000000001
