,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_4_week_ensemble,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IHME_CurveFit,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
COVID_Hub_Trained_Ensemble,0.0,0.28313333333333357,0.7036549999999999,0.19877333333333327,1.4555266666666646,0.19877333333333327,0.0,0.2507040000000001,0.2531440000000001,0.25002400000000025,0.2531440000000001,0.2808733333333333,0.8908200000000005,0.4308666666666669,0.48392000000000013,0.30417666666666693,0.22948499999999988,0.54727,0.24757999999999988,0.21590000000000012,0.26608000000000015,0.6193200000000002,0.6216633333333339,0.3127266666666668,0.28324999999999995,0.34667333333333333,0.4951320000000001,0.2912433333333334,0.4916533333333334,0.50528,0.7646600000000006,0.2875000000000001,0.18865
FH_BPagano_RtDriven,0.28313333333333357,0.0,0.6950749999999999,0.22287333333333342,1.501709999999999,0.22287333333333342,0.28313333333333357,0.36326,0.41881200000000063,0.39605599999999985,0.41881200000000063,0.2480433333333335,0.8391166666666665,0.4596100000000003,0.5546800000000001,0.3872266666666667,0.18380500000000016,0.5374600000000005,0.20689600000000002,0.2773100000000002,0.1948799999999999,0.6419099999999999,0.5851266666666668,0.24262000000000009,0.2793900000000002,0.4125199999999999,0.4928399999999996,0.2547366666666666,0.5583500000000003,0.7636799999999999,0.7053449999999997,0.28336,0.40342000000000006
FH_CEID_Walk,0.7036549999999999,0.6950749999999999,0.0,0.7062,1.3230649999999997,0.7062,0.7036549999999999,0.7698333333333329,0.7688200000000003,0.7388066666666666,0.7688200000000003,0.7699349999999998,0.7507199999999992,0.6544150000000002,0.7366000000000001,0.7606950000000002,0.6832199999999999,0.7023600000000003,0.7097400000000006,0.7707649999999998,0.7435549999999997,0.7217800000000003,0.7911950000000003,0.7172949999999999,0.7790349999999998,0.7131299999999999,0.7824999999999999,0.7537650000000002,0.8293699999999998,0.8112000000000001,0.7422933333333332,0.7260049999999997,0.6961949999999998
FH_COVIDhub_4_week_ensemble,0.19877333333333327,0.22287333333333342,0.7062,0.0,1.4725999999999992,0.0,0.19877333333333327,0.2467920000000002,0.30953600000000003,0.2665320000000001,0.30953600000000003,0.11954333333333352,0.8990633333333329,0.5391633333333331,0.5466600000000001,0.38105666666666677,0.09164500000000006,0.7247600000000005,0.1727879999999999,0.15488666666666676,0.12316666666666681,0.7785000000000005,0.5411400000000003,0.15480666666666662,0.15922666666666652,0.30945000000000017,0.5245839999999998,0.12266000000000005,0.49125,0.35633999999999993,0.6937249999999997,0.28862000000000015,0.3642333333333335
FH_COVIDhub_baseline,1.4555266666666646,1.501709999999999,1.3230649999999997,1.4725999999999992,0.0,1.4725999999999992,1.4555266666666646,1.5097239999999992,1.518108,1.4581640000000002,1.518108,1.556899999999998,1.5757666666666672,1.4492299999999987,1.4271200000000004,1.5413599999999983,1.4902600000000001,1.5298999999999991,1.4664999999999997,1.5572433333333335,1.5567066666666636,1.3512799999999996,1.4942133333333345,1.4605899999999983,1.5693333333333335,1.440283333333333,1.6742760000000014,1.5382599999999977,1.2869633333333326,1.5507799999999998,1.4425099999999988,1.5192333333333323,1.454993333333332
FH_COVIDhub_ensemble,0.19877333333333327,0.22287333333333342,0.7062,0.0,1.4725999999999992,0.0,0.19877333333333327,0.2467920000000002,0.30953600000000003,0.2665320000000001,0.30953600000000003,0.11954333333333352,0.8990633333333329,0.5391633333333331,0.5466600000000001,0.38105666666666677,0.09164500000000006,0.7247600000000005,0.1727879999999999,0.15488666666666676,0.12316666666666681,0.7785000000000005,0.5411400000000003,0.15480666666666662,0.15922666666666652,0.30945000000000017,0.5245839999999998,0.12266000000000005,0.49125,0.35633999999999993,0.6937249999999997,0.28862000000000015,0.3642333333333335
FH_COVIDhub_trained_ensemble,0.0,0.28313333333333357,0.7036549999999999,0.19877333333333327,1.4555266666666646,0.19877333333333327,0.0,0.2507040000000001,0.2531440000000001,0.25002400000000025,0.2531440000000001,0.2808733333333333,0.8908200000000005,0.4308666666666669,0.48392000000000013,0.30417666666666693,0.22948499999999988,0.54727,0.24757999999999988,0.21590000000000012,0.26608000000000015,0.6193200000000002,0.6216633333333339,0.3127266666666668,0.28324999999999995,0.34667333333333333,0.4951320000000001,0.2912433333333334,0.4916533333333334,0.50528,0.7646600000000006,0.2875000000000001,0.18865
FH_CU_nochange,0.2507040000000001,0.36326,0.7698333333333329,0.2467920000000002,1.5097239999999992,0.2467920000000002,0.2507040000000001,0.0,0.07236399999999996,0.06520799999999996,0.07236399999999996,0.21096800000000004,0.8560359999999998,0.5745919999999999,0.48134,0.29379999999999995,0.25365999999999994,0.7601900000000004,0.27377000000000007,0.16875599999999996,0.2469359999999999,0.79244,0.6094720000000001,0.24829999999999997,0.2593119999999998,0.38820800000000005,0.5983099999999998,0.24466399999999996,0.5368440000000004,0.08659999999999997,0.7227950000000004,0.37945200000000007,0.34284000000000014
FH_CU_scenario_low,0.2531440000000001,0.41881200000000063,0.7688200000000003,0.30953600000000003,1.518108,0.30953600000000003,0.2531440000000001,0.07236399999999996,0.0,0.07658799999999999,0.0,0.2885879999999999,0.835428,0.5559119999999999,0.4490800000000001,0.32187599999999994,0.32036000000000003,0.72327,0.319605,0.23437999999999998,0.3261759999999999,0.8122199999999996,0.6259560000000002,0.31461600000000006,0.3284920000000003,0.43103200000000014,0.5977450000000002,0.321996,0.5628399999999999,0.10608000000000001,0.7224200000000002,0.41448000000000007,0.3268120000000001
FH_CU_scenario_mid,0.25002400000000025,0.39605599999999985,0.7388066666666666,0.2665320000000001,1.4581640000000002,0.2665320000000001,0.25002400000000025,0.06520799999999996,0.07658799999999999,0.0,0.07658799999999999,0.2640960000000002,0.8721039999999995,0.569232,0.44989999999999997,0.3222600000000003,0.3154866666666667,0.7682199999999999,0.30108000000000024,0.21946399999999996,0.29978400000000005,0.787,0.6201560000000003,0.2980520000000002,0.3146000000000001,0.3911199999999998,0.6497200000000005,0.2921960000000003,0.5449119999999998,0.09251999999999998,0.72213,0.3897080000000003,0.34472000000000014
