,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IQVIA_ACOE_STAN,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MSRA_DeepST,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,FH_UVA_Ensemble,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_BPagano_RtDriven,0.0,0.7021449999999999,1.5749666666666673,0.33365666666666705,0.49486333333333343,0.48067000000000015,0.45396000000000025,0.4487833333333332,0.45396000000000025,0.5078480000000001,0.5170033333333334,0.47834000000000015,0.5406166666666662,0.48846666666666655,0.7160599999999999,0.7337400000000002,0.5084366666666665,0.4037500000000004,0.5473899999999999,0.4926100000000002,0.4808600000000003,0.4043933333333334,0.4501500000000002,0.3838733333333336,0.4977700000000001,0.5314266666666666,0.629808,0.4742466666666669,0.5556933333333333,0.6343899999999996,0.5148680000000002,0.5765066666666668,0.7093733333333335,0.45227000000000006,0.48922,0.4604266666666667
FH_CEID_Walk,0.7021449999999999,0.0,1.4508899999999993,0.7074950000000001,0.7430300000000005,0.7325050000000001,0.725605,0.7128000000000001,0.725605,0.6966866666666661,0.7069300000000002,0.7069300000000003,0.7686349999999998,0.8309799999999998,,0.7340050000000001,0.7780949999999999,0.7457599999999996,0.7517800000000004,0.7610149999999996,0.7670499999999997,0.77833,0.7212849999999998,0.7242649999999999,0.705175,0.6985800000000002,0.7294133333333334,0.7006549999999997,0.7687450000000001,0.70808,0.7474699999999995,0.7659500000000001,0.7362599999999998,0.6583699999999999,0.6910849999999996,0.7579549999999999
FH_COVIDhub_baseline,1.5749666666666673,1.4508899999999993,0.0,1.5577166666666673,1.5750099999999985,1.5742399999999988,1.589243333333334,1.5651700000000006,1.589243333333334,1.5108639999999998,1.564123333333331,1.6168066666666676,1.5817833333333318,1.554740000000001,1.5471999999999997,1.3754633333333313,1.5654833333333291,1.5567233333333315,1.5678133333333346,1.5789933333333308,1.561499999999999,1.560746666666663,1.5819899999999996,1.579240000000001,1.6569149999999997,1.705166666666667,1.596888,1.578076666666666,1.5260899999999975,1.5707099999999983,1.572143999999998,1.5520400000000003,1.5867800000000012,1.6928133333333337,1.5360266666666638,1.5938566666666683
FH_COVIDhub_ensemble,0.33365666666666705,0.7074950000000001,1.5577166666666673,0.0,0.3717200000000003,0.35180000000000033,0.3427066666666669,0.32515000000000027,0.3427066666666669,0.3955760000000003,0.4144233333333337,0.3884733333333333,0.5231266666666666,0.24950000000000017,0.78664,0.7339133333333333,0.40800999999999993,0.28093999999999997,0.4888833333333333,0.3805633333333336,0.268035,0.21280333333333323,0.35045000000000015,0.21072666666666678,0.37331000000000003,0.4781733333333335,0.5456160000000004,0.41358333333333347,0.4403866666666669,0.6257833333333331,0.439836,0.5363333333333332,0.8340933333333331,0.42051000000000005,0.39043333333333347,0.32092000000000015
FH_CU_nochange,0.49486333333333343,0.7430300000000005,1.5750099999999985,0.3717200000000003,0.0,0.048223333333333326,0.04773333333333334,0.16410000000000002,0.04773333333333334,0.4645360000000002,0.5279366666666666,0.44006,0.7645433333333329,0.46436000000000005,0.8992200000000001,0.6611566666666663,0.6808199999999992,0.5005433333333338,0.6967800000000001,0.5789633333333332,0.506655,0.4476800000000003,0.5096700000000001,0.3858600000000003,0.5785300000000001,0.5195866666666666,0.6676720000000002,0.40208000000000005,0.5303766666666667,0.7036466666666663,0.7080399999999996,0.7794466666666668,0.44846666666666657,0.48991000000000023,0.41346333333333357,0.50537
FH_CU_scenario_high,0.48067000000000015,0.7325050000000001,1.5742399999999988,0.35180000000000033,0.048223333333333326,0.0,0.06985999999999998,0.09784000000000001,0.06985999999999998,0.46554799999999996,0.5269466666666668,0.44227000000000033,0.7326533333333327,0.4404599999999999,0.87338,0.69529,0.6255733333333332,0.4781733333333335,0.6638099999999999,0.5412633333333334,0.4589649999999999,0.40781666666666666,0.4982000000000003,0.3750033333333334,0.5390299999999998,0.5328466666666665,0.6391120000000001,0.42603333333333365,0.546986666666667,0.7062699999999993,0.6473920000000003,0.7418733333333334,0.5040733333333334,0.4976733333333334,0.41053333333333347,0.45666666666666705
FH_CU_scenario_low,0.45396000000000025,0.725605,1.589243333333334,0.3427066666666669,0.04773333333333334,0.06985999999999998,0.0,0.13601666666666654,0.0,0.4641279999999999,0.5038033333333336,0.4297599999999999,0.7485699999999998,0.455166666666667,0.8877999999999997,0.6559499999999998,0.6677199999999998,0.48869999999999986,0.677126666666667,0.5663833333333333,0.49243500000000023,0.4343999999999999,0.4412100000000002,0.36201333333333346,0.5754150000000001,0.5320333333333332,0.6782239999999997,0.3396600000000003,0.5264966666666662,0.6984033333333328,0.6997439999999998,0.7618866666666666,0.4258866666666665,0.4932766666666667,0.3773133333333333,0.49053666666666657
FH_CU_scenario_mid,0.4487833333333332,0.7128000000000001,1.5651700000000006,0.32515000000000027,0.16410000000000002,0.09784000000000001,0.13601666666666654,0.0,0.13601666666666654,0.4542680000000002,0.5587299999999992,0.4674533333333334,0.6613699999999998,0.40084666666666685,0.7523599999999998,0.761676666666667,0.5306266666666665,0.45174666666666685,0.5941199999999998,0.48175999999999997,0.3926400000000001,0.3537066666666672,0.44835999999999965,0.3480133333333337,0.48727000000000004,0.5702133333333331,0.6446399999999999,0.45312333333333354,0.5859133333333326,0.7293866666666664,0.5594199999999998,0.6678933333333332,0.5907333333333338,0.5162900000000002,0.41800333333333395,0.3931500000000001
FH_CU_select,0.45396000000000025,0.725605,1.589243333333334,0.3427066666666669,0.04773333333333334,0.06985999999999998,0.0,0.13601666666666654,0.0,0.4641279999999999,0.5038033333333336,0.4297599999999999,0.7485699999999998,0.455166666666667,0.8877999999999997,0.6559499999999998,0.6677199999999998,0.48869999999999986,0.677126666666667,0.5663833333333333,0.49243500000000023,0.4343999999999999,0.4412100000000002,0.36201333333333346,0.5754150000000001,0.5320333333333332,0.6782239999999997,0.3396600000000003,0.5264966666666662,0.6984033333333328,0.6997439999999998,0.7618866666666666,0.4258866666666665,0.4932766666666667,0.3773133333333333,0.49053666666666657
FH_Covid19Sim_Simulator,0.5078480000000001,0.6966866666666661,1.5108639999999998,0.3955760000000003,0.4645360000000002,0.46554799999999996,0.4641279999999999,0.4542680000000002,0.4641279999999999,0.0,0.5332560000000002,0.6785959999999996,0.6654600000000003,0.31090666666666666,0.6618,0.6899560000000002,0.6319199999999999,0.4866759999999999,0.7514240000000001,0.569896,0.37696666666666656,0.41969200000000007,0.6237279999999998,0.4303879999999998,0.7852133333333341,0.5071533333333335,0.7994319999999996,0.5077560000000003,0.4960320000000001,0.6580000000000007,0.7655600000000002,0.6603100000000001,0.5181900000000002,0.555048,0.41657600000000056,0.5569880000000003
