,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IUPUI_HkPrMobiDyR,FH_IowaStateLW_STEM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_SigSci_TS,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_CU_select,0.7478679999999996,0.6030300000000001,0.716526666666666,1.5482000000000002,0.5896833333333334,0.8177439999999994,0.07805000000000005,0.04552999999999995,0.12454333333333349,0.03999333333333334,0.0,0.6033366666666666,0.5963266666666667,0.7629959999999998,0.6176333333333331,0.6088566666666664,1.2107999999999997,0.905804,0.5892666666666673,0.7788033333333332,0.6686466666666665,0.5993533333333335,0.5930833333333333,0.44525999999999993,0.6068033333333339,0.5854733333333338,0.5737440000000001,0.5930766666666666,0.7432233333333329,0.5999066666666665,0.7137840000000004,0.6072433333333331,0.6883879999999998,0.5113200000000001,0.6803066666666668,0.5173280000000003,0.5996433333333331,0.6741500000000002
FH_Covid19Sim_Simulator,0.6572519999999998,0.10853666666666668,0.7192499999999998,1.5559759999999978,0.09537666666666673,0.7613720000000005,0.5481633333333333,0.5967599999999997,0.50362,0.6451366666666664,0.6033366666666666,0.0,0.16849666666666652,0.48283599999999977,0.3903500000000001,0.1221000000000001,1.3225600000000002,0.6320560000000003,0.16416333333333333,0.94126,0.4113233333333334,0.14001333333333346,0.13264666666666677,0.5918500000000005,0.11376000000000003,0.1392666666666667,0.131668,0.2812,0.8024499999999999,0.07903000000000004,0.7453880000000004,0.09659333333333353,0.45499200000000023,0.7122999999999997,0.6761466666666669,0.24900399999999986,0.13719000000000003,0.39126
FH_CovidAnalytics_DELPHI,0.6077439999999998,0.12250666666666679,0.692033333333333,1.5633119999999983,0.11552333333333349,0.7129119999999999,0.5380966666666667,0.5782166666666668,0.5102633333333335,0.6227499999999994,0.5963266666666667,0.16849666666666652,0.0,0.4895000000000001,0.36789000000000016,0.15092000000000014,1.31226,0.6785599999999996,0.16476000000000007,0.96148,0.4463499999999998,0.13714999999999994,0.14952000000000001,0.6072466666666669,0.1372166666666668,0.15097666666666665,0.134976,0.27321000000000056,0.8080666666666662,0.10568000000000016,0.7635840000000009,0.09195666666666685,0.5030440000000002,0.6109,0.6558833333333335,0.24280000000000013,0.16762666666666676,0.4545600000000001
FH_DDS_NBDS,0.6352200000000001,0.49495200000000017,0.682496,1.585144999999999,0.47752799999999995,0.6352200000000001,0.7433159999999994,0.7757399999999997,0.6887079999999999,0.782764,0.7629959999999998,0.48283599999999977,0.4895000000000001,0.0,0.5303480000000003,0.5262559999999998,0.5136999999999999,0.8472299999999997,0.48357199999999995,0.8257480000000006,0.6084199999999998,0.534656,0.53106,0.7447079999999997,0.5328040000000003,0.5070519999999998,0.5856650000000002,0.5784440000000002,0.6468160000000005,0.48356,0.8965350000000001,0.473628,0.541432,0.61194,0.7635080000000001,0.5003300000000004,0.5134399999999999,0.4030300000000001
FH_Google_Harvard_CPF,0.5834760000000002,0.35388000000000014,0.6738766666666666,1.5984320000000005,0.36405666666666703,0.635588,0.5787599999999999,0.5997299999999998,0.5877733333333333,0.6228033333333329,0.6176333333333331,0.3903500000000001,0.36789000000000016,0.5303480000000003,0.0,0.3742633333333335,1.1382199999999998,0.8235560000000005,0.3629866666666669,0.7813633333333334,0.5042233333333334,0.36470333333333366,0.38551666666666695,0.6378533333333336,0.3608933333333334,0.36563666666666683,0.3704880000000002,0.4052366666666668,0.6822633333333336,0.3373500000000002,0.8608439999999998,0.3628433333333336,0.5423360000000003,0.63972,0.6622666666666667,0.40993200000000024,0.40703,0.45955999999999997
FH_IEM_MED_CovidProject,0.6960919999999992,0.0980900000000001,0.692223333333333,1.5204159999999998,0.06265666666666665,0.8018319999999995,0.5573766666666667,0.5980833333333333,0.5272533333333332,0.6475733333333327,0.6088566666666664,0.1221000000000001,0.15092000000000014,0.5262559999999998,0.3742633333333335,0.0,1.3715800000000002,0.6461239999999997,0.15495666666666658,0.9736633333333331,0.4412833333333337,0.1047766666666668,0.08302333333333332,0.602006666666667,0.09116333333333333,0.12707000000000004,0.094688,0.2936800000000001,0.8638699999999998,0.06877666666666661,0.7279360000000001,0.0815233333333333,0.47488400000000025,0.66534,0.6732833333333336,0.23846800000000004,0.0965666666666667,0.31812000000000007
FH_IUPUI_HkPrMobiDyR,0.9144600000000002,1.35258,0.80842,1.5518799999999997,1.3660400000000001,0.9144600000000002,1.2626399999999998,1.22594,1.2687799999999998,1.2107999999999997,1.2107999999999997,1.3225600000000002,1.31226,0.5136999999999999,1.1382199999999998,1.3715800000000002,0.0,1.4053399999999998,1.3237599999999998,0.6796,0.9290199999999997,1.3269,1.3497400000000004,0.8474600000000001,1.3683999999999994,1.3225200000000001,1.2884399999999994,0.9011,0.41628,1.36212,1.3453600000000001,1.3759000000000001,0.8127000000000002,,0.41646,1.2960600000000002,1.34916,
FH_IowaStateLW_STEM,1.0001550000000006,0.6519079999999998,0.8445919999999997,0.8563200000000002,0.6412920000000001,1.1153950000000004,0.8715319999999998,0.8992920000000001,0.8058639999999998,0.905804,0.905804,0.6320560000000003,0.6785599999999996,0.8472299999999997,0.8235560000000005,0.6461239999999997,1.4053399999999998,0.0,0.6490280000000002,0.9323400000000001,0.8101560000000001,0.6878719999999998,0.64666,0.795424,0.61512,0.6622599999999997,0.711195,0.737396,1.0764199999999997,0.6407119999999996,0.7209399999999999,0.6316680000000001,0.8137550000000006,0.7899800000000002,0.8222879999999998,0.8081800000000002,0.6009880000000003,0.5141199999999999
FH_JHUAPL_Bucky,0.6496279999999994,0.12240000000000006,0.6821099999999998,1.5718319999999992,0.11339333333333333,0.7333239999999995,0.527986666666667,0.57459,0.4962500000000002,0.6261166666666668,0.5892666666666673,0.16416333333333333,0.16476000000000007,0.48357199999999995,0.3629866666666669,0.15495666666666658,1.3237599999999998,0.6490280000000002,0.0,0.9466966666666662,0.4374533333333334,0.15738666666666679,0.16021999999999997,0.5757733333333332,0.13119333333333338,0.16348666666666672,0.16394000000000009,0.3389666666666669,0.8099066666666666,0.09708333333333341,0.8073360000000002,0.11348333333333338,0.457476,0.75586,0.6638533333333333,0.25308400000000014,0.13146666666666676,0.36516000000000004
FH_JHU_CSSE_DECOM,0.765096,0.9735466666666666,0.7543233333333328,1.320708,0.9644199999999995,0.7785919999999998,0.8045533333333333,0.7708466666666668,0.8179199999999998,0.7519500000000001,0.7788033333333332,0.94126,0.96148,0.8257480000000006,0.7813633333333334,0.9736633333333331,0.6796,0.9323400000000001,0.9466966666666662,0.0,0.8534833333333334,1.0051866666666662,0.9559933333333324,0.6694999999999992,0.9594066666666674,0.9482233333333331,0.956764,0.8206466666666674,0.6297666666666664,0.9835600000000003,0.8649160000000006,0.9830466666666666,0.8832359999999996,0.75776,0.6377866666666672,0.8695160000000001,0.9702066666666669,0.8589299999999995
