,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IowaStateLW_STEM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_SigSci_TS,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha,ensemble_SIkJa_RF
COVID_Hub_Trained_Ensemble,0.0,0.8625599999999998,0.7987133333333335,1.6023800000000004,0.8676400000000003,0.14088000000000006,0.7408933333333336,0.7224466666666666,0.7856333333333333,0.724633333333333,0.7068333333333331,0.8462599999999997,0.8054266666666665,0.7003100000000001,0.6941333333333335,0.8925999999999995,0.9575100000000002,0.8267533333333335,0.6882733333333337,0.7595200000000001,0.8805466666666663,0.8814066666666662,0.6352200000000002,0.8657800000000005,0.8718266666666661,0.8398000000000003,0.791166666666667,0.11244666666666667,0.8810333333333333,0.8065200000000002,0.8589066666666667,0.8252199999999997,,0.6508533333333338,0.7288,0.8789799999999999,0.8305999999999999
FH_BPagano_RtDriven,0.8625599999999998,0.0,0.6652133333333329,1.5678899999999993,0.11833600000000005,1.037533333333333,0.6114640000000006,0.6487439999999988,0.5443319999999999,0.6888479999999998,0.6415120000000003,0.19554400000000005,0.2306759999999999,0.4939500000000002,0.47340800000000016,0.24239000000000013,0.43219000000000024,0.20304400000000014,0.9118359999999993,0.4545960000000002,0.20759999999999978,0.14021999999999998,0.5597920000000001,0.1597640000000001,0.20512799999999998,0.06291333333333333,0.31786400000000037,0.8589033333333337,0.1959533333333331,0.7441399999999999,0.19177666666666657,0.39567500000000033,0.7255100000000002,0.6668960000000002,0.34618500000000024,0.1708166666666665,0.4798700000000002
FH_CEID_Walk,0.7987133333333335,0.6652133333333329,0.0,1.4846300000000008,0.6371599999999998,0.8295666666666666,0.6606319999999998,0.6678479999999999,0.6685999999999998,0.6608359999999995,0.6757479999999993,0.66972,0.632392,0.62264,0.6297640000000003,0.6662700000000005,0.6724599999999998,0.6496720000000004,0.7159240000000003,0.6624800000000004,0.65826,0.6419039999999997,0.6521560000000002,0.6447840000000001,0.6295120000000001,0.6524533333333336,0.6426239999999998,0.7725500000000003,0.62251,0.8193533333333334,0.6267166666666665,0.6473099999999999,0.6017699999999999,0.6722319999999996,0.61682,0.6326466666666667,0.6284249999999997
FH_COVIDhub_baseline,1.6023800000000004,1.5678899999999993,1.4846300000000008,0.0,1.5627599999999986,1.5930066666666673,1.5671299999999988,1.5705850000000001,1.5437800000000002,1.5645950000000002,1.5586100000000007,1.5711399999999998,1.5773249999999996,1.6092866666666668,1.618355,1.5558149999999988,1.2422066666666667,1.5727299999999997,1.3703549999999998,1.528325000000001,1.5295599999999998,1.5751333333333344,1.6003150000000002,1.5730550000000005,1.5696866666666667,1.5649133333333343,1.6359499999999993,1.5945100000000003,1.5772199999999992,0.9924666666666667,1.5655699999999992,1.5633333333333337,1.53774,1.4991150000000002,1.6383333333333334,1.5514299999999985,1.59485
FH_COVIDhub_ensemble,0.8676400000000003,0.11833600000000005,0.6371599999999998,1.5627599999999986,0.0,1.0436800000000004,0.599896,0.6394559999999996,0.5401600000000003,0.6854919999999992,0.6377079999999993,0.17481599999999994,0.20969999999999975,0.48715500000000006,0.4929519999999999,0.20973999999999993,0.4044150000000002,0.162668,0.9141280000000003,0.47375200000000023,0.16282799999999995,0.04545499999999996,0.5561120000000004,0.163656,0.08833000000000009,0.06322,0.3005000000000003,0.8303119999999996,0.1293080000000001,0.7212133333333334,0.12368000000000008,0.35967999999999983,0.6192199999999999,0.6227319999999997,0.28983999999999993,0.12168800000000012,0.43669333333333327
FH_COVIDhub_trained_ensemble,0.14088000000000006,1.037533333333333,0.8295666666666666,1.5930066666666673,1.0436800000000004,0.0,0.8721999999999995,0.8451466666666667,0.9112133333333337,0.8410933333333334,0.8232933333333334,1.019793333333334,0.9807066666666668,0.7003100000000001,0.7809866666666668,1.0688333333333335,1.1879899999999999,0.9662466666666667,0.7107666666666667,0.8007800000000002,1.05812,1.0570799999999998,0.7310266666666665,1.045513333333334,1.0473866666666667,1.0156933333333333,0.9654066666666667,0.19211333333333327,1.0572800000000004,0.9169800000000001,1.034546666666667,0.8252199999999997,,0.750013333333334,0.9017299999999999,1.05678,0.8305999999999999
FH_CU_nochange,0.7408933333333336,0.6114640000000006,0.6606319999999998,1.5671299999999988,0.599896,0.8721999999999995,0.0,0.03379599999999998,0.118368,0.08176,0.07455200000000002,0.5263000000000002,0.661876,0.5150199999999999,0.525228,0.508568,0.7824899999999998,0.5907160000000001,0.7176439999999994,0.5598720000000001,0.5799440000000003,0.5657300000000003,0.4027680000000003,0.48224799999999973,0.5245950000000001,0.5456266666666666,0.5536279999999999,0.805964,0.6773960000000001,0.6536866666666666,0.67146,0.7791949999999995,0.5580499999999999,0.7227679999999999,0.557465,0.6433960000000001,0.6760266666666669
FH_CU_scenario_high,0.7224466666666666,0.6487439999999988,0.6678479999999999,1.5705850000000001,0.6394559999999996,0.8451466666666667,0.03379599999999998,0.0,0.15125599999999995,0.033656,0.047132,0.567108,0.7046,0.543455,0.52954,0.5438080000000001,0.8223799999999999,0.6371200000000001,0.6861520000000002,0.5649360000000001,0.6267479999999996,0.6136849999999999,0.37730800000000037,0.5125360000000001,0.5677250000000003,0.5859466666666665,0.5779879999999995,0.776272,0.7275519999999996,0.6489533333333335,0.7225760000000001,0.8183200000000004,0.5813000000000001,0.6935600000000002,0.5851799999999998,0.6925879999999998,0.6881200000000003
FH_CU_scenario_low,0.7856333333333333,0.5443319999999999,0.6685999999999998,1.5437800000000002,0.5401600000000003,0.9112133333333337,0.118368,0.15125599999999995,0.0,0.17666799999999977,0.1286760000000001,0.48672400000000027,0.6014440000000001,0.4708700000000002,0.5332680000000002,0.48939200000000016,0.70175,0.5440079999999998,0.7322599999999995,0.5115479999999999,0.5277320000000005,0.4959450000000002,0.4739920000000002,0.45234000000000013,0.4844650000000003,0.5011000000000001,0.5241359999999999,0.8615999999999997,0.6036399999999991,0.7046733333333333,0.5979440000000001,0.6916800000000001,0.5385800000000003,0.7063039999999999,0.5222000000000001,0.5762119999999998,0.6471466666666666
FH_CU_scenario_mid,0.724633333333333,0.6888479999999998,0.6608359999999995,1.5645950000000002,0.6854919999999992,0.8410933333333334,0.08176,0.033656,0.17666799999999977,0.0,0.04799200000000001,0.6124039999999998,0.7425919999999997,0.542845,0.5409440000000001,0.5880799999999996,0.8380299999999995,0.6843240000000002,0.6719799999999999,0.585352,0.6704959999999993,0.6669899999999997,0.39376400000000017,0.5605800000000002,0.6117150000000003,0.6545400000000003,0.6023999999999998,0.7651160000000004,0.7752680000000002,0.6804800000000005,0.7669039999999994,0.8433400000000008,0.5692299999999998,0.6976039999999998,0.6125500000000004,0.7392799999999994,0.6857333333333332
