,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MSRA_DeepST,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,FH_UVA_Ensemble,USC_SI_kJalpha,USC_SI_kJalpha_RF,ensemble_SIkJa_RF
FH_BPagano_RtDriven,0.0,0.876904,1.463652,0.5113720000000002,0.49502000000000035,0.4623680000000001,0.6412159999999997,0.45647200000000004,0.46571599999999996,0.6032850000000003,0.8775639999999995,0.43147600000000014,0.58164,0.9422119999999995,0.5655760000000005,0.5618639999999998,0.3965639999999999,0.6451349999999998,0.4281950000000001,0.45802800000000005,0.6824919999999997,0.43078800000000034,0.7215649999999999,0.8310359999999991,0.809868,1.0015479999999999,0.435035,0.5878880000000003,0.8210999999999997,0.5163399999999999,0.7961559999999998,0.5556100000000002,0.4222440000000002
FH_CEID_Walk,0.876904,0.0,1.0939966666666665,0.720766666666667,0.9652866666666657,0.9597166666666668,0.9020733333333334,0.9415199999999999,0.9449766666666667,0.8728920000000001,0.8265866666666674,0.9707333333333334,0.8124999999999997,0.7553666666666671,0.8111899999999999,0.8449266666666663,0.9132640000000001,0.912232,0.9159350000000002,0.9357033333333328,0.9187700000000001,0.8930466666666667,0.8436300000000003,0.8269033333333334,0.850086666666667,0.8229766666666662,0.9081799999999999,0.8159399999999999,0.8814400000000007,0.7063999999999996,0.859126666666667,0.9115599999999998,0.8858399999999996
FH_COVIDhub_baseline,1.463652,1.0939966666666665,0.0,1.2713233333333338,1.520593333333331,1.5388966666666661,1.5166633333333328,1.4991666666666668,1.504153333333333,1.2830039999999996,1.3671699999999996,1.5746099999999978,1.4494079999999998,1.2399433333333325,1.4343633333333312,1.3630599999999982,1.4841679999999975,1.4060559999999984,1.4676100000000003,1.4695599999999962,1.528830000000001,1.447656666666667,1.5107550000000003,1.4804633333333335,1.2824499999999988,1.5230899999999996,1.4557899999999984,1.396336666666665,1.5013,1.6786799999999997,1.4521799999999994,1.5908599999999995,1.4839933333333317
FH_COVIDhub_ensemble,0.5113720000000002,0.720766666666667,1.2713233333333338,0.0,0.5893499999999999,0.5765,0.5830533333333331,0.5261033333333331,0.5402233333333328,0.5462920000000004,0.8182066666666663,0.5800866666666665,0.5319999999999999,0.8125300000000002,0.6788500000000006,0.48149666666666663,0.3975040000000004,0.6278960000000001,0.2757900000000001,0.50163,0.5352666666666658,0.45140999999999953,0.7321349999999999,0.7016400000000002,0.7234866666666668,1.0122966666666662,0.2550299999999999,0.6838733333333327,0.7457399999999997,0.49454000000000015,0.8185233333333337,0.37533999999999973,0.5261799999999996
FH_CU_nochange,0.49502000000000035,0.9652866666666657,1.520593333333331,0.5893499999999999,0.0,0.06345666666666677,0.4667299999999994,0.10597333333333332,0.09354333333333331,0.6444600000000003,1.0284999999999997,0.22883,0.6199000000000007,1.0709000000000009,0.5519999999999999,0.621513333333333,0.2578479999999999,0.5535119999999996,0.3011349999999998,0.35878666666666664,0.7705599999999994,0.28560333333333354,0.7110949999999994,0.9556699999999997,0.8674733333333334,1.1605066666666666,0.35252500000000003,0.6919000000000002,0.6903600000000001,0.50952,0.7620933333333333,0.30095999999999984,0.2569
FH_CU_scenario_high,0.4623680000000001,0.9597166666666668,1.5388966666666661,0.5765,0.06345666666666677,0.0,0.5102066666666666,0.058159999999999955,0.05052666666666664,0.6311759999999997,1.0691266666666666,0.16017333333333345,0.6224040000000003,1.08371,0.5187299999999996,0.589256666666667,0.17325599999999997,0.5715799999999999,0.233145,0.2871433333333334,0.7779466666666667,0.24608333333333354,0.7054149999999992,0.9781133333333328,0.8994133333333332,1.204759999999999,0.28310000000000013,0.6511633333333336,0.7177600000000003,0.50728,0.8056500000000003,0.26253,0.22905000000000006
FH_CU_scenario_low,0.6412159999999997,0.9020733333333334,1.5166633333333328,0.5830533333333331,0.4667299999999994,0.5102066666666666,0.0,0.47123999999999977,0.4569399999999998,0.7253159999999998,0.763116666666667,0.5841066666666661,0.6032840000000004,0.8171633333333332,0.7604166666666671,0.7084999999999995,0.5747440000000001,0.6022799999999994,0.5710950000000002,0.6577466666666669,0.4616233333333334,0.5032099999999994,0.5949099999999998,0.5322600000000004,0.6548733333333331,0.8026933333333334,0.54527,0.6783933333333332,0.47315999999999975,0.4910000000000001,0.5836133333333332,0.4025599999999999,0.5373066666666668
FH_CU_scenario_mid,0.45647200000000004,0.9415199999999999,1.4991666666666668,0.5261033333333331,0.10597333333333332,0.058159999999999955,0.47123999999999977,0.0,0.0143,0.633052,1.0630699999999997,0.14927666666666664,0.6358800000000001,1.06905,0.4982033333333331,0.5469100000000002,0.13967600000000008,0.5678479999999999,0.174375,0.27095000000000014,0.7555,0.1848033333333334,0.6865849999999998,0.9375266666666662,0.8779166666666653,1.2407900000000003,0.22242999999999985,0.6058566666666662,0.7536799999999999,0.48640000000000005,0.7923699999999999,0.27141000000000026,0.2313600000000002
FH_CU_select,0.46571599999999996,0.9449766666666667,1.504153333333333,0.5402233333333328,0.09354333333333331,0.05052666666666664,0.4569399999999998,0.0143,0.0,0.633052,1.055396666666666,0.1584299999999999,0.6378320000000003,1.0593533333333338,0.5219966666666666,0.5709666666666667,0.16822800000000007,0.5805359999999994,0.21072500000000005,0.29505000000000003,0.7569400000000001,0.20150000000000007,0.7169649999999994,0.930759999999999,0.8780533333333324,1.2240233333333332,0.25316999999999984,0.6231633333333334,0.6879133333333333,0.4910000000000001,0.7689833333333331,0.27141000000000026,0.24232666666666683
FH_Covid19Sim_Simulator,0.6032850000000003,0.8728920000000001,1.2830039999999996,0.5462920000000004,0.6444600000000003,0.6311759999999997,0.7253159999999998,0.633052,0.633052,0.0,0.8592439999999992,0.6590519999999992,0.6349149999999999,0.873936,0.7687040000000002,0.7449160000000004,0.5752700000000002,0.7316350000000003,0.36830666666666656,0.6182280000000002,0.7017799999999996,0.5683800000000002,0.7961066666666665,0.8906880000000004,0.7228719999999998,0.9644679999999999,0.42825333333333315,0.7795440000000006,0.7815399999999998,,0.7873000000000004,0.48019000000000006,0.5862840000000001
