,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_4_week_ensemble,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IHME_CurveFit,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_MUNI_VAR,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
COVID_Hub_Trained_Ensemble,0.0,0.3065300000000003,0.6791700000000002,0.23051666666666673,1.38882,0.23051666666666673,0.0,0.34515999999999997,0.3854720000000001,0.34748800000000024,0.3496920000000001,0.34230000000000005,0.9438300000000002,0.42601000000000017,0.48392000000000013,0.40014666666666654,0.30618333333333325,0.2698850000000004,0.30073000000000005,0.3238266666666666,0.6419766666666668,0.32705,0.31576399999999993,0.37465666666666686,0.5233000000000003,0.3661933333333334,0.33403000000000005,0.44421666666666654,0.7589099999999996,0.3167333333333334,0.3090766666666667
FH_BPagano_RtDriven,0.3065300000000003,0.0,0.71957,0.20880666666666664,1.4733133333333306,0.20880666666666664,0.3065300000000003,0.45089999999999997,0.5098999999999999,0.49614400000000003,0.5006999999999997,0.2325399999999999,0.9074333333333329,0.4036966666666663,0.5546800000000001,0.45104666666666665,0.2501033333333334,0.19164499999999995,0.2515333333333334,0.22930000000000003,0.5604100000000003,0.2182666666666667,0.19266000000000008,0.4611633333333337,0.5160200000000001,0.30968666666666667,0.21538666666666673,0.4660166666666668,0.8033449999999995,0.3451666666666666,0.5136966666666666
FH_CEID_Walk,0.6791700000000002,0.71957,0.0,0.72572,1.3291199999999994,0.72572,0.6791700000000002,0.7505400000000002,0.7270800000000002,0.6950400000000002,0.7270800000000002,0.77633,0.7542700000000002,0.61787,0.7366000000000001,0.7162299999999999,0.6832199999999999,0.73352,0.7521800000000005,0.7721099999999997,0.7836399999999999,0.7175899999999998,0.7829099999999996,0.7124499999999999,,0.7444200000000002,0.7757299999999999,0.7530999999999995,0.8167200000000002,0.68086,0.6293599999999999
FH_COVIDhub_4_week_ensemble,0.23051666666666673,0.20880666666666664,0.72572,0.0,1.4443266666666659,0.0,0.23051666666666673,0.4541800000000002,0.5423920000000001,0.5011040000000001,0.5130840000000002,0.13136666666666666,0.9803066666666662,0.4382433333333331,0.5466600000000001,0.37911000000000034,0.15845666666666675,0.16569999999999996,0.13621333333333333,0.13973999999999998,0.512153333333333,0.12031333333333334,0.10589200000000006,0.35394666666666713,0.6065000000000002,0.2938066666666666,0.10878333333333337,0.3595600000000001,0.8206049999999996,0.24274,0.5067333333333334
FH_COVIDhub_baseline,1.38882,1.4733133333333306,1.3291199999999994,1.4443266666666659,0.0,1.4443266666666659,1.38882,1.5061039999999988,1.5283919999999998,1.400275999999999,1.4526839999999994,1.5523066666666645,1.5523499999999997,1.4214233333333326,1.4271200000000004,1.504326666666665,1.453970000000001,1.4549899999999993,1.5631733333333344,1.5508166666666638,1.467613333333332,1.3594733333333322,1.5651680000000008,1.3917333333333333,1.4637000000000002,1.650893333333333,1.5262033333333311,1.3667666666666638,1.4169550000000009,1.4552033333333332,1.4564599999999992
FH_COVIDhub_ensemble,0.23051666666666673,0.20880666666666664,0.72572,0.0,1.4443266666666659,0.0,0.23051666666666673,0.4541800000000002,0.5423920000000001,0.5011040000000001,0.5130840000000002,0.13136666666666666,0.9803066666666662,0.4382433333333331,0.5466600000000001,0.37911000000000034,0.15845666666666675,0.16569999999999996,0.13621333333333333,0.13973999999999998,0.512153333333333,0.12031333333333334,0.10589200000000006,0.35394666666666713,0.6065000000000002,0.2938066666666666,0.10878333333333337,0.3595600000000001,0.8206049999999996,0.24274,0.5067333333333334
FH_COVIDhub_trained_ensemble,0.0,0.3065300000000003,0.6791700000000002,0.23051666666666673,1.38882,0.23051666666666673,0.0,0.34515999999999997,0.3854720000000001,0.34748800000000024,0.3496920000000001,0.34230000000000005,0.9438300000000002,0.42601000000000017,0.48392000000000013,0.40014666666666654,0.30618333333333325,0.2698850000000004,0.30073000000000005,0.3238266666666666,0.6419766666666668,0.32705,0.31576399999999993,0.37465666666666686,0.5233000000000003,0.3661933333333334,0.33403000000000005,0.44421666666666654,0.7589099999999996,0.3167333333333334,0.3090766666666667
FH_CU_nochange,0.34515999999999997,0.45089999999999997,0.7505400000000002,0.4541800000000002,1.5061039999999988,0.4541800000000002,0.34515999999999997,0.0,0.08846400000000006,0.11310399999999991,0.10707599999999995,0.4796400000000002,0.8703240000000001,0.5749000000000002,0.48134,0.40150400000000014,0.44695199999999996,0.42516666666666647,0.4118000000000002,0.446672,0.6756480000000007,0.401228,0.36499500000000024,0.436764,0.57808,0.35794999999999993,0.48985999999999985,0.5945360000000001,0.6388050000000002,0.5038600000000001,0.3848320000000001
FH_CU_scenario_low,0.3854720000000001,0.5098999999999999,0.7270800000000002,0.5423920000000001,1.5283919999999998,0.5423920000000001,0.3854720000000001,0.08846400000000006,0.0,0.11768800000000003,0.06650400000000001,0.5732079999999997,0.8102399999999995,0.5993720000000003,0.4490800000000001,0.46433200000000013,0.5115959999999999,0.4797800000000002,0.505524,0.5438360000000001,0.7014640000000004,0.48190800000000006,0.468695,0.4758039999999996,0.6120800000000001,0.4301999999999999,0.5953960000000001,0.6738240000000002,0.5913350000000002,0.5655920000000003,0.35050800000000026
FH_CU_scenario_mid,0.34748800000000024,0.49614400000000003,0.6950400000000002,0.5011040000000001,1.400275999999999,0.5011040000000001,0.34748800000000024,0.11310399999999991,0.11768800000000003,0.0,0.05118400000000001,0.5725719999999997,0.8838879999999998,0.5795520000000002,0.44989999999999997,0.44320000000000015,0.5040360000000002,0.4783533333333335,0.4901119999999998,0.5353039999999999,0.7286320000000002,0.4720760000000002,0.47551000000000015,0.43604800000000005,0.60834,0.44718999999999987,0.5777239999999996,0.6290199999999999,0.6673100000000001,0.5278079999999999,0.4080640000000001
FH_CU_select,0.3496920000000001,0.5006999999999997,0.7270800000000002,0.5130840000000002,1.4526839999999994,0.5130840000000002,0.3496920000000001,0.10707599999999995,0.06650400000000001,0.05118400000000001,0.0,0.5702999999999997,0.8472119999999997,0.5898320000000004,0.4490800000000001,0.4506040000000002,0.5069600000000002,0.4690866666666669,0.4931839999999999,0.5366839999999997,0.7233840000000002,0.47040400000000004,0.46697999999999984,0.46051199999999987,0.60834,0.4301999999999999,0.5817359999999997,0.656208,0.6464700000000003,0.538476,0.3932840000000001
FH_CovidAnalytics_DELPHI,0.34230000000000005,0.2325399999999999,0.77633,0.13136666666666666,1.5523066666666645,0.13136666666666666,0.34230000000000005,0.4796400000000002,0.5732079999999997,0.5725719999999997,0.5702999999999997,0.0,0.974976666666666,0.5036700000000004,0.6201400000000001,0.3861800000000005,0.18204333333333342,0.169455,0.09844333333333338,0.06719000000000007,0.5145899999999995,0.08155666666666668,0.025663999999999985,0.43160000000000004,0.65248,0.23564666666666667,0.02834333333333332,0.37147000000000024,0.8640200000000001,0.28272333333333355,0.5470766666666668
FH_Google_Harvard_CPF,0.9438300000000002,0.9074333333333329,0.7542700000000002,0.9803066666666662,1.5523499999999997,0.9803066666666662,0.9438300000000002,0.8703240000000001,0.8102399999999995,0.8838879999999998,0.8472119999999997,0.974976666666666,0.0,0.8501833333333334,1.0144399999999998,0.935533333333333,1.0036000000000003,0.9489049999999996,0.9244933333333326,0.9576633333333336,0.8675899999999998,0.8104466666666669,0.9357440000000001,0.8433700000000001,0.7840400000000001,0.8019133333333333,0.9844699999999996,0.9855633333333329,0.44892000000000004,0.9021833333333324,0.8814666666666668
