,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IUPUI_HkPrMobiDyR,FH_IowaStateLW_STEM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
COVID_Hub_Trained_Ensemble,0.0,0.165084,0.9034449999999999,1.3020066666666668,0.19682999999999992,0.0,0.27576666666666666,0.4131599999999998,0.2137200000000001,0.2535533333333333,0.2535533333333333,0.327692,0.20709000000000002,0.7095400000000003,0.5518959999999999,0.6536799999999999,,0.17565000000000006,0.11637000000000014,0.34499199999999997,0.435146666666667,0.55535,0.11840400000000012,0.5142040000000001,0.09557000000000013,0.9198949999999998,0.2899640000000001,0.33717500000000006,0.3177066666666664,0.6803900000000002,0.1198,0.362012,0.6651333333333334,0.8722799999999998,0.20869999999999997,0.12882000000000002
FH_BPagano_RtDriven,0.165084,0.0,0.9896520000000001,1.4631900000000002,0.0785,0.23263999999999999,0.341415,0.4576000000000001,0.22009500000000012,0.3526850000000001,0.3526850000000001,0.2602100000000002,0.16740000000000016,0.6709700000000002,0.6935966666666668,0.69688,0.31888,0.13334000000000013,0.20264800000000002,0.3455500000000004,0.4774150000000003,0.5231600000000001,0.13674333333333316,0.6518633333333335,0.17523600000000006,0.9480899999999997,0.30934000000000034,0.4046240000000003,0.35895333333333324,0.7517200000000004,0.10366000000000013,0.38554666666666665,0.618406666666667,0.8609320000000001,0.21744400000000005,0.13551
FH_CEID_Walk,0.9034449999999999,0.9896520000000001,0.0,0.9661899999999997,1.0161099999999998,0.8460500000000003,0.9225949999999995,0.9377149999999997,0.9666000000000001,0.8949349999999994,0.8949349999999994,0.9490919999999996,1.0325839999999997,0.9703099999999999,0.8623319999999999,0.83636,0.9070200000000002,1.042204,0.9125000000000002,1.0022640000000003,0.961985,0.8828099999999998,1.0169680000000003,0.8430239999999999,0.9333799999999998,0.7529800000000002,0.819528,0.9981900000000001,0.93254,1.000135,1.0046680000000003,0.9077799999999999,0.9549199999999998,0.9307520000000001,1.0267599999999997,1.0469640000000004
FH_COVIDhub_baseline,1.3020066666666668,1.4631900000000002,0.9661899999999997,0.0,1.47578,1.2903999999999995,1.4237800000000016,1.4810666666666665,1.460666666666667,1.3591733333333336,1.3591733333333336,1.4572150000000001,1.5239799999999997,1.5206133333333327,1.040945000000001,1.5726599999999997,1.41796,1.5254750000000001,1.2772800000000002,1.4811750000000001,1.3665466666666668,1.6584600000000003,1.4569649999999996,1.2120300000000004,1.345565,1.2178266666666668,1.1073300000000008,1.4755799999999992,1.2145200000000003,1.5188933333333323,1.4868899999999994,0.9910699999999995,1.4976899999999995,1.2873600000000007,1.5530100000000002,1.5257699999999996
FH_COVIDhub_ensemble,0.19682999999999992,0.0785,1.0161099999999998,1.47578,0.0,0.19682999999999992,0.29048999999999997,0.41797999999999985,0.15375000000000003,0.30400999999999995,0.30400999999999995,0.28784000000000015,0.08553,0.5449700000000002,0.8746099999999999,0.6653200000000001,,0.09955999999999998,0.15216999999999994,0.5225600000000002,0.44261999999999996,0.45977,0.07872999999999998,0.5894999999999999,0.08510999999999996,0.8358700000000002,0.37809,0.6623200000000001,0.36744000000000016,0.3718799999999999,0.035039999999999974,0.34090000000000004,0.52172,0.7837200000000004,0.12403999999999997,0.07948999999999995
FH_COVIDhub_trained_ensemble,0.0,0.23263999999999999,0.8460500000000003,1.2903999999999995,0.19682999999999992,0.0,0.30155999999999994,0.4503999999999999,0.26289000000000007,0.2787799999999999,0.2787799999999999,0.41375999999999974,0.24792999999999996,0.6460200000000004,0.77168,0.6536799999999999,,0.2622600000000001,0.15368000000000007,0.60718,0.4715200000000002,0.55535,0.20753,0.5392299999999998,0.16279000000000005,0.8760899999999999,0.4254100000000001,0.87204,0.3446,0.36666000000000004,0.22241,0.35873,0.6268699999999998,0.8466499999999997,0.31639,0.19890999999999998
FH_CU_nochange,0.27576666666666666,0.341415,0.9225949999999995,1.4237800000000016,0.29048999999999997,0.30155999999999994,0.0,0.17282999999999998,0.14639000000000008,0.09363499999999997,0.09363499999999997,0.5023100000000005,0.31299999999999994,0.7339950000000001,0.6500149999999995,0.6544600000000002,0.36987999999999993,0.31808499999999984,0.29783999999999994,0.47575499999999993,0.51788,0.5378999999999998,0.30425999999999986,0.59834,0.3017700000000001,0.9036133333333332,0.43240499999999993,0.6914733333333334,0.41523000000000027,0.8910666666666668,0.29868499999999987,0.48251000000000005,0.6471333333333333,0.8739250000000004,0.37258,0.2813299999999999
FH_CU_scenario_high,0.4131599999999998,0.4576000000000001,0.9377149999999997,1.4810666666666665,0.41797999999999985,0.4503999999999999,0.17282999999999998,0.0,0.3320699999999999,0.22308,0.22308,0.6022000000000003,0.41570499999999994,0.6985550000000003,0.5591499999999998,0.5860800000000002,0.44282,0.42032999999999965,0.43298999999999993,0.44756999999999986,0.5321250000000004,0.4320299999999998,0.4217950000000004,0.5821450000000001,0.4264750000000001,0.8652066666666671,0.5082800000000003,0.6634999999999996,0.4834200000000001,0.8052333333333334,0.4221650000000002,0.613635,0.6347133333333334,0.8321349999999996,0.4240600000000003,0.3958650000000001
FH_CU_scenario_low,0.2137200000000001,0.22009500000000012,0.9666000000000001,1.460666666666667,0.15375000000000003,0.26289000000000007,0.14639000000000008,0.3320699999999999,0.0,0.15014500000000008,0.15014500000000008,0.41553500000000004,0.18178999999999995,0.6957600000000005,0.72956,0.7053200000000001,0.21756,0.188885,0.21962000000000007,0.45195000000000024,0.5080200000000005,0.5471299999999998,0.20655,0.6943500000000005,0.19311499999999995,0.9340866666666665,0.37963500000000033,0.6348600000000002,0.3678000000000001,0.9435066666666669,0.15031000000000005,0.360815,0.6042933333333336,0.889525,0.31412,0.1586350000000002
FH_CU_scenario_mid,0.2535533333333333,0.3526850000000001,0.8949349999999994,1.3591733333333336,0.30400999999999995,0.2787799999999999,0.09363499999999997,0.22308,0.15014500000000008,0.0,0.0,0.5237900000000003,0.32859000000000016,0.7358599999999998,0.6362650000000001,0.73992,0.36006000000000005,0.33414500000000014,0.269445,0.4805250000000004,0.5422699999999997,0.5748399999999999,0.30721,0.57516,0.29599000000000003,0.916933333333333,0.4206050000000001,0.7457066666666665,0.37958000000000003,0.9429199999999998,0.2986250000000001,0.45143500000000036,0.6446600000000001,0.9257550000000007,0.4036000000000002,0.2903350000000001
