,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MSRA_DeepST,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,FH_UVA_Ensemble,USC_SI_kJalpha,USC_SI_kJalpha_RF,ensemble_SIkJa_RF
FH_CovidAnalytics_DELPHI,0.8077733333333327,0.8108566666666674,1.4118099999999985,0.8107133333333326,0.9361000000000005,0.9655799999999999,0.7304433333333332,0.9558566666666661,0.9569633333333337,0.7950360000000002,0.0,0.9480366666666658,0.661576,0.6998799999999997,0.8283466666666662,0.8342233333333336,0.9669600000000003,0.79288,1.04233,0.9414499999999987,0.6793933333333333,0.902303333333333,0.6015839999999997,0.37522,0.5708166666666667,0.5264566666666672,0.4754266666666669,0.8809359999999997,0.7141266666666668,0.7604266666666665,0.45493999999999984,0.6085166666666669,0.9661300000000003,0.8993899999999995
FH_DDS_NBDS,0.40813000000000005,0.9095466666666662,1.5797233333333305,0.4119100000000001,0.32166000000000006,0.2448833333333333,0.5916533333333326,0.21279000000000003,0.2480833333333334,0.6044520000000003,0.9480366666666658,0.0,0.43704800000000044,1.0137933333333327,0.40534000000000003,0.4073633333333336,0.08641333333333341,0.4846480000000001,0.12581000000000006,0.12525333333333333,0.55954,0.16315999999999992,0.5469760000000001,0.013440000000000006,0.8602766666666664,0.8042033333333333,1.132913333333333,0.12686000000000014,0.57328,0.9414399999999998,0.3605500000000001,0.7961566666666667,0.20754999999999993,0.19566666666666666
FH_Google_Harvard_CPF,0.5202040000000002,0.8090319999999998,1.5253079999999992,0.4888960000000001,0.5794199999999999,0.5650879999999999,0.5728560000000005,0.5620440000000003,0.5955160000000005,0.6152899999999994,0.661576,0.43704800000000044,0.0,0.8939959999999999,0.5687040000000002,0.594548,0.4309160000000001,0.5016500000000004,0.5606150000000002,0.46505600000000036,0.5382999999999998,0.48712000000000033,0.45801500000000034,0.06077999999999999,0.7049999999999997,0.582128,0.8040959999999999,0.40354800000000024,0.6009880000000001,0.786926666666666,0.3892600000000001,0.6501119999999997,0.48963000000000007,0.43502399999999997
FH_IowaStateLW_STEM,0.9195833333333324,0.731056666666667,1.281349999999999,0.8841899999999998,0.9862933333333321,0.9994666666666666,0.7850866666666663,0.9946299999999997,0.9695433333333328,0.8452799999999998,0.6998799999999997,1.0137933333333327,0.8939959999999999,0.0,0.9398766666666661,0.8355233333333335,1.0130999999999994,0.9482239999999997,1.0031249999999998,1.0016733333333334,0.7640400000000003,0.9626833333333331,0.7030599999999995,0.8797200000000005,0.6241800000000002,0.7808566666666665,0.5121866666666669,0.9617599999999995,0.773403333333333,0.65474,0.7364799999999998,0.792303333333333,0.9373299999999999,1.013323333333333
FH_JCB_PRM,0.5223600000000004,0.77966,1.4692233333333276,0.5620799999999999,0.5935199999999997,0.5490533333333333,0.7783200000000002,0.5139599999999995,0.56386,0.7823479999999999,0.8283466666666662,0.40534000000000003,0.5687040000000002,0.9398766666666661,0.0,0.47400666666666713,0.36008666666666705,0.5190480000000002,0.5045300000000001,0.4418566666666669,0.7444366666666672,0.3721566666666668,0.41199600000000025,0.03319999999999998,0.8446566666666669,0.862596666666667,0.9528999999999994,0.40390800000000004,0.6428733333333337,0.9796466666666661,0.42618,0.7373999999999999,0.7523900000000004,0.4101866666666669
FH_JHUAPL_Bucky,0.5035499999999994,0.812513333333333,1.408546666666663,0.42343000000000003,0.5601733333333331,0.5107233333333339,0.6791966666666661,0.4561633333333334,0.5051233333333334,0.6782319999999997,0.8342233333333336,0.4073633333333336,0.594548,0.8355233333333335,0.47400666666666713,0.0,0.33913333333333384,0.6062919999999995,0.3675900000000003,0.3766300000000004,0.6295033333333327,0.3732733333333338,0.523624,0.1503,0.7897333333333331,0.7871366666666664,0.9650733333333337,0.34945200000000026,0.5942700000000003,0.9573866666666663,0.3747799999999999,0.8053966666666662,0.5290699999999997,0.4292700000000003
FH_JHU_CSSE_DECOM,0.3761666666666664,0.8736433333333334,1.4998199999999955,0.36617333333333374,0.33565666666666655,0.25244999999999995,0.5978866666666669,0.2095566666666668,0.2591233333333333,0.5990320000000001,0.9669600000000003,0.08641333333333341,0.4309160000000001,1.0130999999999994,0.36008666666666705,0.33913333333333384,0.0,0.46725599999999995,0.09984500000000014,0.14871666666666664,0.5904366666666658,0.11896333333333335,0.5331959999999996,0.005500000000000001,0.8842533333333322,0.81709,1.1727300000000007,0.11775600000000017,0.5326133333333334,0.9829933333333333,0.39701000000000003,0.797043333333333,0.21323999999999996,0.1679
FH_JHU_IDD_CovidSP,0.579436,0.8867920000000001,1.4695560000000012,0.49950800000000006,0.5012960000000004,0.5170720000000004,0.5462560000000001,0.5089440000000003,0.525528,0.6890850000000001,0.79288,0.4846480000000001,0.5016500000000004,0.9482239999999997,0.5190480000000002,0.6062919999999995,0.46725599999999995,0.0,0.4789200000000001,0.51646,0.5818799999999994,0.46795600000000037,0.5237800000000002,0.21889999999999993,0.7213879999999995,0.7271360000000002,0.8849359999999998,0.4599750000000003,0.761736,0.7656466666666671,0.42565,0.6523079999999996,0.6124599999999999,0.42290400000000056
FH_JHU_UNC_GAS_StatMechPool,0.4281950000000001,0.9159350000000002,1.4676100000000003,0.2757900000000001,0.3011349999999998,0.233145,0.5710950000000002,0.174375,0.21072500000000005,0.36830666666666656,1.04233,0.12581000000000006,0.5606150000000002,1.0031249999999998,0.5045300000000001,0.3675900000000003,0.09984500000000014,0.4789200000000001,0.0,0.10448500000000002,0.4587700000000001,0.13014000000000003,0.5981533333333335,,0.8328700000000004,0.7784800000000004,1.2696399999999992,0.10235000000000001,0.569855,0.9468299999999998,0.56514,0.916135,0.2508600000000001,0.1870999999999999
FH_Karlen_pypm,0.4112433333333333,0.9073400000000006,1.5102533333333286,0.3674100000000001,0.3672399999999998,0.28636333333333314,0.6290033333333337,0.25195666666666683,0.30266999999999994,0.5501560000000003,0.9414499999999987,0.12525333333333333,0.46505600000000036,1.0016733333333334,0.4418566666666669,0.3766300000000004,0.14871666666666664,0.51646,0.10448500000000002,0.0,0.5903100000000003,0.2001966666666666,0.5829319999999993,0.11413999999999998,0.8504633333333338,0.7772799999999999,1.1279899999999992,0.12255600000000014,0.6047000000000002,0.9610666666666661,0.4060099999999999,0.8110866666666667,0.26901000000000014,0.2297633333333333
