,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MSRA_DeepST,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,FH_UVA_Ensemble,USC_SI_kJalpha,USC_SI_kJalpha_RF,ensemble_SIkJa_RF
FH_BPagano_RtDriven,0.0,0.7501799999999995,1.5369633333333321,0.3572733333333336,0.4764366666666669,0.46810666666666684,0.4881666666666671,0.4345866666666668,0.45208000000000037,0.5505480000000003,0.6453033333333328,0.4503733333333333,0.5334399999999997,0.5480400000000001,0.8022733333333326,0.5941199999999999,0.47160000000000024,0.4911466666666666,0.5016600000000003,0.44915999999999995,0.39079666666666696,0.4361300000000003,0.3926333333333335,0.6075299999999997,0.6311800000000002,0.5769133333333333,0.6152466666666666,0.6386099999999996,0.7645499999999993,0.49166000000000004,0.5731850000000002,0.7093733333333335,0.4356100000000003,0.560863333333333,0.5556100000000002,0.41638333333333355
FH_CEID_Walk,0.7501799999999995,0.0,1.3665633333333342,0.7154299999999996,0.8011333333333334,0.7959966666666657,0.7869999999999997,0.7851799999999998,0.7937166666666666,0.7757920000000006,0.7183766666666668,0.7893666666666668,0.7953466666666668,0.8309799999999998,0.6918433333333329,0.7452466666666667,0.7450000000000002,0.8017333333333335,0.7903879999999995,0.8309550000000004,0.8251499999999998,0.7809600000000001,0.7985566666666664,0.7434733333333335,0.6985800000000002,0.7294133333333334,0.7201533333333331,0.8203333333333334,0.69817,0.799343333333333,0.767465,0.7362599999999998,0.6583699999999999,0.7285933333333331,0.9115599999999998,0.8153533333333334
FH_COVIDhub_baseline,1.5369633333333321,1.3665633333333342,0.0,1.4865766666666655,1.562716666666664,1.5668133333333305,1.5725099999999992,1.5632699999999995,1.571049999999999,1.4456639999999998,1.4942766666666651,1.6040066666666657,1.5623033333333314,1.527340000000001,1.3391099999999998,1.510959999999993,1.4914299999999974,1.5418366666666645,1.5352839999999974,1.5250249999999994,1.5426666666666617,1.5672899999999998,1.572579999999999,1.6113933333333335,1.6854000000000002,1.5838933333333345,1.566936666666665,1.4752733333333312,1.5566533333333314,1.5369633333333281,1.503845,1.5867800000000012,1.6858750000000007,1.5253033333333306,1.5908599999999995,1.5839000000000008
FH_COVIDhub_ensemble,0.3572733333333336,0.7154299999999996,1.4865766666666655,0.0,0.36538000000000015,0.33912666666666685,0.3834066666666668,0.2871366666666668,0.32581333333333334,0.4875240000000001,0.6395099999999997,0.3020433333333335,0.5090033333333331,0.29188,0.8576000000000003,0.51235,0.34499,0.3494233333333333,0.39592800000000034,0.20195500000000005,0.21922000000000005,0.3047733333333335,0.22891666666666685,0.5710433333333336,0.4751199999999999,0.47106666666666686,0.5982466666666673,0.5732233333333338,0.8533000000000002,0.3274833333333335,0.5088100000000004,0.8340933333333331,0.416535,0.6055633333333336,0.37533999999999973,0.28703333333333336
FH_CU_nochange,0.4764366666666669,0.8011333333333334,1.562716666666664,0.36538000000000015,0.0,0.05077333333333331,0.1369366666666667,0.11658333333333341,0.07407333333333335,0.4553120000000004,0.756666666666666,0.418776666666667,0.6303999999999998,0.31867999999999996,0.8385066666666668,0.7106899999999999,0.5666899999999998,0.5453466666666669,0.4796679999999998,0.31750000000000006,0.3838333333333333,0.4106333333333334,0.35896000000000017,0.6508600000000005,0.39579999999999993,0.7271866666666673,0.5705566666666672,0.6230933333333338,0.8833133333333325,0.5226433333333335,0.6719799999999999,0.44846666666666657,0.51371,0.5587566666666666,0.30095999999999984,0.36417333333333346
FH_CU_scenario_high,0.46810666666666684,0.7959966666666657,1.5668133333333305,0.33912666666666685,0.05077333333333331,0.0,0.16787999999999972,0.056350000000000074,0.06493666666666663,0.4417560000000003,0.7674299999999997,0.36660333333333345,0.627843333333333,0.31606,0.8434933333333334,0.6612966666666668,0.5371299999999999,0.4928333333333336,0.4577279999999999,0.2648149999999999,0.33366,0.389316666666667,0.32167333333333337,0.62957,0.36635999999999996,0.6539133333333335,0.5979433333333339,0.643113333333333,0.8862033333333331,0.4576533333333333,0.6290650000000002,0.5040733333333334,0.5167999999999999,0.57252,0.26253,0.31623666666666683
FH_CU_scenario_low,0.4881666666666671,0.7869999999999997,1.5725099999999992,0.3834066666666668,0.1369366666666667,0.16787999999999972,0.0,0.16973333333333346,0.10241333333333338,0.5452280000000002,0.6911600000000002,0.47023666666666686,0.6374133333333332,0.34124000000000004,0.7847133333333332,0.7351133333333343,0.5780266666666666,0.5818633333333333,0.48795599999999995,0.4180599999999996,0.4446866666666668,0.4140800000000002,0.38254666666666676,0.6258133333333329,0.45063999999999976,0.7296466666666671,0.46282666666666644,0.6109099999999995,0.8232499999999995,0.5721500000000002,0.6135700000000001,0.4258866666666665,0.510905,0.4860500000000001,0.4025599999999999,0.4396333333333335
FH_CU_scenario_mid,0.4345866666666668,0.7851799999999998,1.5632699999999995,0.2871366666666668,0.11658333333333341,0.056350000000000074,0.16973333333333346,0.0,0.06731999999999999,0.445948,0.7510533333333324,0.32350333333333364,0.6096166666666666,0.3067,0.8567299999999997,0.6116499999999996,0.48854666666666674,0.43510333333333356,0.447072,0.2059650000000001,0.2762833333333333,0.3543533333333333,0.2635933333333334,0.6026833333333332,0.35631999999999997,0.5930466666666667,0.586383333333333,0.6275933333333334,0.9090666666666661,0.38967000000000007,0.5734150000000002,0.5907333333333338,0.5001250000000002,0.5716433333333328,0.27141000000000026,0.2919933333333335
FH_CU_select,0.45208000000000037,0.7937166666666666,1.571049999999999,0.32581333333333334,0.07407333333333335,0.06493666666666663,0.10241333333333338,0.06731999999999999,0.0,0.4602279999999999,0.7560233333333333,0.36976333333333344,0.6460999999999999,0.34124000000000004,0.8165466666666664,0.6970900000000007,0.5422799999999999,0.5034933333333333,0.481108,0.26145500000000016,0.3429799999999999,0.3370533333333333,0.31606000000000006,0.6614466666666661,0.45063999999999976,0.7296466666666671,0.5216599999999996,0.619073333333333,0.8994766666666664,0.4813366666666666,0.6256300000000001,0.4258866666666665,0.510905,0.5460600000000002,0.27141000000000026,0.35718333333333324
FH_Covid19Sim_Simulator,0.5505480000000003,0.7757920000000006,1.4456639999999998,0.4875240000000001,0.4553120000000004,0.4417560000000003,0.5452280000000002,0.445948,0.4602279999999999,0.0,0.7547999999999999,0.5990320000000003,0.6900400000000002,0.50348,0.8086200000000002,0.8252359999999999,0.6292760000000002,0.6642879999999999,0.6522000000000004,0.4448533333333333,0.4669920000000004,0.6163680000000001,0.480508,0.8146279999999998,0.5954600000000001,0.8375066666666665,0.7404759999999997,0.619856,0.878355999999999,0.6509640000000002,0.6603000000000004,0.5181900000000002,0.6366666666666666,0.6335999999999999,0.48019000000000006,0.5304800000000002
