,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_4_week_ensemble,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
COVID_Hub_Trained_Ensemble,0.0,0.3552366666666668,0.845556666666667,0.3370733333333334,1.5429233333333323,0.34916666666666657,0.0,0.4502133333333335,0.5058566666666667,0.45002399999999976,0.5058566666666667,0.17352,0.6097466666666671,0.6942240000000005,0.42343000000000025,0.26721000000000006,0.23966399999999996,0.38178333333333336,0.4489300000000004,0.33262666666666685,0.3006066666666666,0.6604966666666664,0.6748099999999998,0.5692750000000002,0.31308000000000014,0.5336000000000001,0.5709566666666664,0.8372100000000001,0.9128400000000001,0.6632400000000002,0.6966000000000001,0.4015200000000005,0.18584333333333342
FH_BPagano_RtDriven,0.3552366666666668,0.0,0.7628366666666667,0.4377266666666668,1.4777499999999977,0.3526766666666667,0.3552366666666668,0.473786666666667,0.5255666666666665,0.46924400000000016,0.5255666666666665,0.267,0.616856666666667,0.6855559999999998,0.48584666666666654,0.4308633333333332,0.36529599999999995,0.46389000000000047,0.42187666666666696,0.5004699999999997,0.24211999999999997,0.6466899999999999,0.6921566666666662,0.650835,0.45380666666666675,0.5761633333333336,0.6732199999999997,0.7983799999999994,0.8758166666666664,0.7799199999999997,0.6758933333333329,0.4255166666666668,0.34339000000000014
FH_CEID_Walk,0.845556666666667,0.7628366666666667,0.0,0.7063666666666663,1.1712433333333334,0.7524366666666674,0.845556666666667,0.8595166666666664,0.8474299999999995,0.7933119999999998,0.8474299999999995,0.8998399999999998,0.8218700000000005,0.9246159999999999,0.9189566666666665,0.8736533333333334,0.8658279999999999,0.955093333333333,0.7795800000000002,0.899363333333334,0.8354666666666666,0.7154633333333336,0.8518433333333338,0.7898950000000002,0.8540799999999997,0.831333333333334,0.8622533333333336,0.75714,0.8399966666666665,0.8708999999999998,0.8283366666666669,0.8853999999999999,0.8501633333333342
FH_COVIDhub_4_week_ensemble,0.3370733333333334,0.4377266666666668,0.7063666666666663,0.0,1.4334999999999996,0.0,0.3370733333333334,0.3294200000000002,0.3469733333333333,0.29360666666666657,0.3469733333333333,,0.31066666666666676,0.9154000000000004,0.926393333333333,0.4432066666666669,0.38287000000000027,0.8296333333333333,0.28825999999999996,0.5032066666666666,0.27107333333333333,0.81408,0.576566666666667,0.27524,0.41553333333333325,0.44349333333333335,0.6864599999999996,0.3061599999999999,0.7003466666666668,0.42873000000000006,0.5994866666666667,0.40086666666666665,0.49591999999999975
FH_COVIDhub_baseline,1.5429233333333323,1.4777499999999977,1.1712433333333334,1.4334999999999996,0.0,1.477753333333331,1.5429233333333323,1.5464099999999974,1.5537499999999984,1.5506920000000004,1.5537499999999984,1.5415000000000003,1.5670999999999984,1.5967999999999998,1.5551033333333304,1.5627733333333325,1.524684,1.5449633333333306,1.5008099999999973,1.5661900000000002,1.5388433333333316,1.3691699999999993,1.5174033333333325,1.4541699999999984,1.5916999999999986,1.4951599999999978,1.6615166666666672,1.5261366666666658,1.1009499999999992,1.5501800000000003,1.4824066666666658,1.582856666666667,1.5212433333333304
FH_COVIDhub_ensemble,0.34916666666666657,0.3526766666666667,0.7524366666666674,0.0,1.477753333333331,0.0,0.34916666666666657,0.3448700000000003,0.37842666666666663,0.30147200000000035,0.37842666666666663,0.4358800000000001,0.3787766666666665,0.8399679999999996,0.7552133333333337,0.4062566666666666,0.45069200000000026,0.6782000000000001,0.2845100000000001,0.5598499999999998,0.31598666666666686,0.7186533333333333,0.6663933333333335,0.4330250000000001,0.41496666666666693,0.4757899999999999,0.5954466666666667,0.5301866666666667,0.8224466666666661,0.42873000000000006,0.6066800000000001,0.3973100000000001,0.4111233333333336
FH_COVIDhub_trained_ensemble,0.0,0.3552366666666668,0.845556666666667,0.3370733333333334,1.5429233333333323,0.34916666666666657,0.0,0.4502133333333335,0.5058566666666667,0.45002399999999976,0.5058566666666667,0.17352,0.6097466666666671,0.6942240000000005,0.42343000000000025,0.26721000000000006,0.23966399999999996,0.38178333333333336,0.4489300000000004,0.33262666666666685,0.3006066666666666,0.6604966666666664,0.6748099999999998,0.5692750000000002,0.31308000000000014,0.5336000000000001,0.5709566666666664,0.8372100000000001,0.9128400000000001,0.6632400000000002,0.6966000000000001,0.4015200000000005,0.18584333333333342
FH_CU_nochange,0.4502133333333335,0.473786666666667,0.8595166666666664,0.3294200000000002,1.5464099999999974,0.3448700000000003,0.4502133333333335,0.0,0.05314666666666662,0.056927999999999965,0.05314666666666662,0.5284600000000002,0.3419466666666672,0.8074479999999995,0.7888866666666662,0.46292666666666643,0.5165280000000003,0.689963333333333,0.3578066666666665,0.49484666666666677,0.38466000000000017,0.7805633333333336,0.687993333333333,0.36697500000000033,0.4085300000000004,0.5007199999999999,0.6494466666666671,0.4914033333333338,0.8676866666666668,0.16319,0.6622200000000003,0.4655900000000003,0.5271833333333331
FH_CU_scenario_low,0.5058566666666667,0.5255666666666665,0.8474299999999995,0.3469733333333333,1.5537499999999984,0.37842666666666663,0.5058566666666667,0.05314666666666662,0.0,0.08356400000000008,0.0,0.7635400000000001,0.3370599999999999,0.7616599999999997,0.8474966666666662,0.5047466666666665,0.5941719999999995,0.7401033333333329,0.36693666666666697,0.5467099999999999,0.4549900000000007,0.7583133333333337,0.6593166666666668,0.34101500000000007,0.4529466666666671,0.5596333333333334,0.6194866666666666,0.426996666666667,0.8496999999999998,0.19245999999999996,0.6621300000000004,0.5053866666666668,0.5700933333333338
FH_CU_scenario_mid,0.45002399999999976,0.46924400000000016,0.7933119999999998,0.29360666666666657,1.5506920000000004,0.30147200000000035,0.45002399999999976,0.056927999999999965,0.08356400000000008,0.0,0.08356400000000008,0.43517999999999996,0.3095680000000002,0.7855759999999999,0.862832,0.45196000000000025,0.5287200000000003,0.757432,0.3071239999999999,0.5222040000000002,0.3620999999999999,0.7806599999999997,0.6332480000000001,0.29447999999999974,0.39513600000000026,0.5316479999999998,0.6495679999999995,0.3741960000000003,0.756376,0.2084,0.6472039999999996,0.4506880000000005,0.5338879999999998
