,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_IowaStateLW_STEM,FH_JHUAPL_Bucky,FH_JHU_IDD_CovidSP,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_RobertWalraven_ESG,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,UMich_RidgeTfReg,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_CEID_Walk,0.0,0.9412050000000001,0.6396949999999998,0.9506750000000005,0.7019400000000001,0.7138599999999998,0.8406899999999997,0.8192133333333331,0.8248399999999999,0.8264750000000002,0.8270950000000002,0.80297,0.7012199999999998,0.73906,0.7518349999999998,0.816973333333333,0.7676449999999998,0.7262450000000004,0.78974,0.7500199999999999
FH_COVIDhub_baseline,0.9412050000000001,0.0,1.101566666666666,1.3113549999999987,1.104260000000001,1.2131266666666656,1.3620466666666664,1.0240440000000002,1.2678200000000002,1.314999999999999,1.277499999999999,1.413959999999999,1.185673333333334,1.196826666666667,1.3146900000000001,1.2519733333333334,1.3310633333333335,1.1476766666666658,1.2928199999999985,1.256783333333333
FH_COVIDhub_ensemble,0.6396949999999998,1.101566666666666,0.0,0.9859899999999995,0.4610750000000002,0.4676933333333331,0.5265200000000004,0.5228320000000003,0.85118,0.7560766666666675,0.6607499999999995,0.43401666666666683,0.34618,0.43060333333333384,0.5062700000000004,0.96226,0.42138666666666735,0.5548099999999999,0.3724933333333335,0.8231100000000001
FH_CU_select,0.9506750000000005,1.3113549999999987,0.9859899999999995,0.0,0.98143,1.1641300000000003,0.755585,1.0597666666666665,0.55464,0.7235500000000001,0.8661599999999997,1.1513600000000002,1.0028199999999994,0.9793550000000003,0.9685000000000001,0.3004799999999999,0.8378300000000002,0.8120449999999997,1.0646450000000003,0.7080250000000001
FH_Covid19Sim_Simulator,0.7019400000000001,1.104260000000001,0.4610750000000002,0.98143,0.0,0.6572850000000001,0.6107800000000002,0.600395,0.7349800000000003,0.7986950000000002,0.6775450000000001,0.6260600000000002,0.5289950000000004,0.5639750000000001,0.5505699999999999,0.8326300000000003,0.5034949999999998,0.673605,0.5505649999999999,0.740805
FH_CovidAnalytics_DELPHI,0.7138599999999998,1.2131266666666656,0.4676933333333331,1.1641300000000003,0.6572850000000001,0.0,0.629543333333333,0.5706959999999999,0.98932,0.8606566666666661,0.7279166666666667,0.25122666666666676,0.5174166666666664,0.5235833333333333,0.5921299999999993,0.9985800000000002,0.6113433333333333,0.5431166666666667,0.42857000000000045,0.9092466666666669
FH_DDS_NBDS,0.8406899999999997,1.3620466666666664,0.5265200000000004,0.755585,0.6107800000000002,0.629543333333333,0.0,0.6965040000000001,0.8193400000000001,0.6812366666666667,0.7129566666666665,0.5111133333333334,0.6331800000000003,0.6635266666666667,0.5731199999999997,0.725073333333333,0.5577866666666665,0.72612,0.5279066666666665,0.8581766666666668
FH_IowaStateLW_STEM,0.8192133333333331,1.0240440000000002,0.5228320000000003,1.0597666666666665,0.600395,0.5706959999999999,0.6965040000000001,0.0,0.7698200000000002,0.9636399999999998,0.8303200000000003,0.5161880000000001,0.6242080000000003,0.59674,0.7281479999999995,0.9302800000000001,0.688628,0.6612079999999995,0.5879759999999997,0.9250159999999996
FH_JHUAPL_Bucky,0.8248399999999999,1.2678200000000002,0.85118,0.55464,0.7349800000000003,0.98932,0.8193400000000001,0.7698200000000002,0.0,1.0158999999999998,0.8722,0.9339799999999997,0.86488,0.9490800000000001,1.1005199999999995,0.45954000000000006,0.55578,0.7917599999999999,0.8973800000000002,1.0011400000000004
FH_JHU_IDD_CovidSP,0.8264750000000002,1.314999999999999,0.7560766666666675,0.7235500000000001,0.7986950000000002,0.8606566666666661,0.6812366666666667,0.9636399999999998,1.0158999999999998,0.0,0.5565100000000005,0.8999700000000004,0.6681866666666664,0.7245066666666665,0.7281199999999993,0.7423333333333333,0.6866933333333333,0.7864200000000001,0.7252066666666659,0.4657366666666668
