,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IUPUI_HkPrMobiDyR,FH_IowaStateLW_STEM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_SigSci_TS,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
FH_BPagano_RtDriven,0.0,0.9364299999999992,1.5191866666666667,0.6628633333333335,0.6769533333333341,0.6255633333333334,0.7222366666666666,0.7285666666666666,0.7117133333333332,0.6509233333333331,0.8322266666666667,0.7005333333333338,0.5532166666666667,0.5967566666666665,0.7959333333333326,1.1482766666666666,0.6117966666666664,0.7793900000000001,0.5737366666666665,0.6608360000000001,0.5161199999999999,0.7461799999999998,0.6205366666666666,0.6998199999999998,0.48450333333333373,0.482073333333333,0.8412266666666668,1.0750319999999998,0.899706666666666,0.6874666666666669,0.7390566666666665,0.6294400000000007,0.8154633333333333
FH_CEID_Walk,0.9364299999999992,0.0,1.0157399999999996,0.830796666666667,0.9689333333333332,0.9465999999999989,0.9819433333333328,0.9383533333333333,0.9410266666666665,0.9978433333333335,0.9959533333333339,0.9318399999999999,0.9774399999999999,0.8896033333333334,0.9626933333333331,0.8436033333333329,0.9669700000000002,0.8540766666666669,0.8067633333333333,0.9239719999999989,1.0053366666666654,0.9351800000000001,0.9080266666666668,0.8751533333333337,0.9071199999999991,0.9685500000000001,0.9808999999999998,0.9310639999999998,0.9212933333333336,0.9766266666666672,0.9028166666666666,0.9690766666666659,0.9403333333333338
FH_COVIDhub_baseline,1.5191866666666667,1.0157399999999996,0.0,1.265476666666667,1.4538333333333322,1.4613299999999987,1.4228833333333324,1.3886333333333338,1.4022000000000008,1.4717266666666653,1.5507966666666646,1.5287066666666667,1.553943333333334,1.3040566666666658,1.6182666666666663,0.8711500000000001,1.466889999999999,1.1478166666666663,1.2717399999999996,1.331559999999999,1.502323333333332,1.3475100000000004,1.2814799999999997,1.2569666666666657,1.468666666666665,1.6132366666666675,1.5075400000000003,0.598164,1.38379,1.5706200000000003,1.372146666666665,1.5944166666666681,1.4849233333333325
FH_COVIDhub_ensemble,0.6628633333333335,0.830796666666667,1.265476666666667,0.0,0.5338200000000003,0.505236666666667,0.5119500000000001,0.6112333333333333,0.5176199999999999,0.5801033333333333,0.5806733333333333,0.8239000000000003,0.7793600000000004,0.5042133333333337,0.8739899999999996,0.6995000000000001,0.49137999999999976,0.8654000000000002,0.8230033333333332,0.5709720000000003,0.8123933333333333,0.7945766666666672,0.6426066666666672,0.5200633333333331,0.7011433333333328,0.7056466666666662,0.52551,0.8595999999999999,0.5786966666666667,0.89052,0.8468366666666665,0.5361666666666666,0.5124233333333333
FH_CU_nochange,0.6769533333333341,0.9689333333333332,1.4538333333333322,0.5338200000000003,0.0,0.14256,0.14453999999999997,0.15994666666666682,0.11072333333333345,0.6546166666666665,0.6318633333333332,0.7730000000000004,0.7346166666666663,0.6486000000000004,0.7638166666666664,0.875666666666666,0.61758,0.8605266666666666,0.7939599999999994,0.7400800000000002,0.6618866666666661,0.7228666666666672,0.6780500000000002,0.5995133333333335,0.6355666666666671,0.7226833333333331,0.6048899999999999,0.9282959999999998,0.6925066666666665,0.805473333333333,0.8217200000000002,0.6271566666666665,0.4565766666666672
FH_CU_scenario_high,0.6255633333333334,0.9465999999999989,1.4613299999999987,0.505236666666667,0.14256,0.0,0.2481466666666665,0.2752733333333335,0.18849000000000007,0.6239199999999999,0.6486066666666667,0.779266666666667,0.7413533333333331,0.6032433333333336,0.7621133333333334,0.92292,0.6139066666666672,0.869973333333333,0.7324333333333336,0.691152,0.6412599999999995,0.7121000000000005,0.6654066666666666,0.6238666666666669,0.6206533333333334,0.6508333333333329,0.6238533333333328,0.9525839999999997,0.7081933333333331,0.7995666666666666,0.7621766666666671,0.6613066666666663,0.4851266666666669
FH_CU_scenario_low,0.7222366666666666,0.9819433333333328,1.4228833333333324,0.5119500000000001,0.14453999999999997,0.2481466666666665,0.0,0.18565333333333328,0.08343666666666671,0.6199366666666666,0.57042,0.8195666666666669,0.7081900000000001,0.6567966666666668,0.8031900000000007,0.7760600000000003,0.5908299999999993,0.8831133333333331,0.8630966666666658,0.7137640000000002,0.7101233333333329,0.7461799999999996,0.6973366666666666,0.5743766666666662,0.7130366666666667,0.7585666666666665,0.5310599999999995,0.9293879999999993,0.6379,0.8653866666666669,0.8551533333333335,0.5965033333333337,0.38915999999999995
FH_CU_scenario_mid,0.7285666666666666,0.9383533333333333,1.3886333333333338,0.6112333333333333,0.15994666666666682,0.2752733333333335,0.18565333333333328,0.0,0.10221666666666664,0.7444466666666666,0.7613933333333337,0.8153400000000001,0.7598199999999999,0.7010733333333331,0.8307900000000005,0.8950833333333332,0.6642266666666665,0.7915199999999989,0.7846600000000001,0.773292,0.6153066666666667,0.6530300000000003,0.6331233333333338,0.6903166666666665,0.6343900000000002,0.7737299999999999,0.721636666666667,0.9084919999999996,0.8101533333333334,0.8991199999999999,0.7873133333333329,0.7146333333333336,0.5211433333333331
FH_CU_select,0.7117133333333332,0.9410266666666665,1.4022000000000008,0.5176199999999999,0.11072333333333345,0.18849000000000007,0.08343666666666671,0.10221666666666664,0.0,0.6594833333333333,0.6547400000000002,0.8049266666666669,0.7330133333333334,0.6373799999999997,0.8307800000000007,0.8462733333333337,0.6238433333333332,0.8348199999999992,0.8144833333333331,0.7197600000000002,0.6968899999999998,0.7048366666666666,0.652286666666667,0.621693333333333,0.6774733333333333,0.7510866666666661,0.6043766666666667,0.9097199999999991,0.7100566666666668,0.8748533333333336,0.8260166666666662,0.6497166666666669,0.4275433333333333
FH_Covid19Sim_Simulator,0.6509233333333331,0.9978433333333335,1.4717266666666653,0.5801033333333333,0.6546166666666665,0.6239199999999999,0.6199366666666666,0.7444466666666666,0.6594833333333333,0.0,0.4632499999999999,0.8055266666666667,0.6926899999999999,0.7454833333333334,0.7663700000000002,0.7573499999999992,0.5340166666666666,1.0382966666666664,0.8706933333333338,0.7581519999999998,0.7769833333333332,0.9442000000000002,0.84634,0.5208866666666666,0.7582133333333332,0.7270166666666666,0.4529066666666669,1.0609600000000003,0.5055233333333337,0.6550200000000002,0.8644333333333335,0.5845499999999998,0.5488966666666669
