,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_COVIDhub_4_week_ensemble,FH_COVIDhub_CDC_ensemble,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IHME_CurveFit,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_MUNI_VAR,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
COVID_Hub_Trained_Ensemble,0.0,0.34809999999999997,0.26318,0.24445999999999996,1.4148333333333332,0.26318,0.0,0.39436666666666703,0.4696633333333336,0.3723066666666666,0.3606233333333334,0.51777,0.8543933333333337,0.45033333333333353,0.34931999999999985,0.4029299999999999,0.32503666666666686,0.41843333333333327,0.32217666666666683,0.4218166666666668,0.6162799999999999,0.3327799999999999,0.3285533333333335,0.38731000000000015,0.530706666666667,0.4258866666666667,0.5204633333333336,0.5719999999999998,0.7815466666666668,0.44108666666666646,0.4031466666666669
FH_BPagano_RtDriven,0.34809999999999997,0.0,0.3224066666666667,0.40156000000000014,1.4577566666666655,0.3224066666666667,0.34809999999999997,0.5230033333333334,0.6003266666666672,0.5430933333333329,0.4922966666666664,0.4857566666666665,0.8636899999999997,0.36058666666666683,0.41065999999999997,0.5154566666666665,0.3046500000000002,0.36334,0.27668000000000004,0.41174000000000005,0.5300700000000002,0.24192,0.20446000000000003,0.4949600000000002,0.4948933333333334,0.45918000000000014,0.4885499999999998,0.6226133333333334,0.8621133333333332,0.515346666666667,0.5383866666666666
FH_COVIDhub_4_week_ensemble,0.26318,0.3224066666666667,0.0,0.0,1.4299533333333334,0.0,0.26318,0.5323066666666668,0.6142533333333331,0.5538,0.5822933333333332,0.2989699999999999,0.9611033333333335,0.41140333333333334,0.44912000000000013,0.38585333333333327,0.28287333333333325,0.32706666666666667,0.25675000000000003,0.26482000000000006,0.45540500000000045,0.11878999999999999,0.11761999999999996,0.4357233333333333,0.6224,0.4259266666666667,0.28951333333333346,0.4111433333333332,0.8683266666666666,0.3462666666666668,0.5477133333333334
FH_COVIDhub_CDC_ensemble,0.24445999999999996,0.40156000000000014,0.0,0.0,1.41382,0.0,0.24445999999999996,0.7221799999999999,0.7647799999999999,0.67366,0.67366,0.50444,0.95202,0.54928,,0.5936399999999998,0.4504200000000001,,0.36188,0.4319000000000002,,,,0.58264,0.6196200000000001,0.48459999999999986,0.48707999999999985,0.5277000000000001,,0.44815999999999995,0.5316200000000001
FH_COVIDhub_baseline,1.4148333333333332,1.4577566666666655,1.4299533333333334,1.41382,0.0,1.4299533333333334,1.4148333333333332,1.5148733333333315,1.5265199999999992,1.4228633333333331,1.4709366666666666,1.5424266666666664,1.5510233333333336,1.442373333333331,1.4616200000000004,1.4970399999999981,1.4312533333333342,1.398360000000001,1.5755666666666657,1.5400299999999976,1.456245,1.2984850000000003,1.5635799999999995,1.4056766666666665,1.4653800000000008,1.6813066666666667,1.5197033333333316,1.3968399999999974,1.4019800000000013,1.4252900000000013,1.4887166666666645
FH_COVIDhub_ensemble,0.26318,0.3224066666666667,0.0,0.0,1.4299533333333334,0.0,0.26318,0.5323066666666668,0.6142533333333331,0.5538,0.5822933333333332,0.2989699999999999,0.9611033333333335,0.41140333333333334,0.44912000000000013,0.38585333333333327,0.28287333333333325,0.32706666666666667,0.25675000000000003,0.26482000000000006,0.45540500000000045,0.11878999999999999,0.11761999999999996,0.4357233333333333,0.6224,0.4259266666666667,0.28951333333333346,0.4111433333333332,0.8683266666666666,0.3462666666666668,0.5477133333333334
FH_COVIDhub_trained_ensemble,0.0,0.34809999999999997,0.26318,0.24445999999999996,1.4148333333333332,0.26318,0.0,0.39436666666666703,0.4696633333333336,0.3723066666666666,0.3606233333333334,0.51777,0.8543933333333337,0.45033333333333353,0.34931999999999985,0.4029299999999999,0.32503666666666686,0.41843333333333327,0.32217666666666683,0.4218166666666668,0.6162799999999999,0.3327799999999999,0.3285533333333335,0.38731000000000015,0.530706666666667,0.4258866666666667,0.5204633333333336,0.5719999999999998,0.7815466666666668,0.44108666666666646,0.4031466666666669
FH_CU_nochange,0.39436666666666703,0.5230033333333334,0.5323066666666668,0.7221799999999999,1.5148733333333315,0.5323066666666668,0.39436666666666703,0.0,0.10096333333333345,0.12181999999999996,0.18421666666666653,0.6429233333333334,0.718693333333333,0.6124466666666667,0.6717400000000001,0.43159333333333355,0.5240266666666664,0.6264799999999998,0.4954133333333334,0.5105766666666669,0.6364049999999999,0.44299,0.40457999999999994,0.4605700000000001,0.6105133333333335,0.5261666666666666,0.6629633333333338,0.7077600000000002,0.6303400000000002,0.6092366666666661,0.45046666666666674
FH_CU_scenario_low,0.4696633333333336,0.6003266666666672,0.6142533333333331,0.7647799999999999,1.5265199999999992,0.6142533333333331,0.4696633333333336,0.10096333333333345,0.0,0.15363000000000013,0.18829,0.698783333333333,0.6860266666666665,0.6268833333333338,0.6999200000000001,0.5002,0.6006033333333337,0.6716266666666669,0.5980466666666666,0.5855700000000005,0.6647550000000002,0.5338700000000001,0.5294599999999999,0.5262499999999997,0.6544733333333332,0.6266600000000001,0.7292600000000004,0.7498466666666666,0.5682933333333335,0.6423466666666664,0.4359533333333335
FH_CU_scenario_mid,0.3723066666666666,0.5430933333333329,0.5538,0.67366,1.4228633333333331,0.5538,0.3723066666666666,0.12181999999999996,0.15363000000000013,0.0,0.09454333333333335,0.7355733333333333,0.72819,0.5969133333333332,0.5577199999999999,0.44426,0.5396266666666667,0.6749400000000002,0.5497133333333338,0.5792733333333332,0.70079,0.515715,0.5356933333333334,0.45209333333333357,0.5968733333333331,0.5808800000000005,0.7442733333333326,0.7569166666666667,0.6600466666666669,0.6321000000000001,0.4704199999999999
