,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MSRA_DeepST,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,UMich_RidgeTfReg,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_BPagano_RtDriven,0.0,0.9126899999999998,1.4117500000000005,0.69777,0.54474,0.4537499999999999,0.81883,0.48833999999999994,0.48833999999999994,0.6999400000000005,0.9396700000000001,0.45421000000000006,0.7652800000000002,0.9996699999999996,0.45744000000000007,0.66856,0.4024400000000001,0.8110799999999998,0.4618200000000001,0.5136099999999999,1.0737299999999994,0.48449,0.8791000000000001,1.03229,0.9745599999999998,1.0632899999999994,0.5217999999999999,0.58917,0.9074599999999998,,0.8929400000000001,0.44818
FH_CEID_Walk,0.9126899999999998,0.0,0.9435233333333334,0.654033333333333,1.0495299999999996,1.0323250000000004,0.9319900000000003,1.0155249999999998,0.9764266666666672,0.8447,0.8820733333333326,0.9822133333333324,0.7438899999999999,0.8211166666666667,0.8526366666666664,0.8398766666666666,0.8947533333333336,0.9040100000000001,1.0425799999999998,0.9118099999999998,0.9464100000000004,0.82182,0.9367800000000002,0.8836966666666677,0.7982900000000002,0.91219,0.9926000000000004,0.7765099999999997,0.9357949999999999,0.7018066666666662,0.8895533333333328,0.885123333333333
FH_COVIDhub_baseline,1.4117500000000005,0.9435233333333334,0.0,1.0966533333333341,1.4854749999999988,1.5234850000000009,1.4692400000000003,1.4297250000000004,1.435389999999999,1.1601966666666659,1.2739833333333341,1.5395166666666669,1.3169499999999998,1.1625233333333334,1.370723333333333,1.2486366666666662,1.4328733333333332,1.2910766666666667,1.3252999999999997,1.27603333333333,1.483759999999997,1.2345066666666675,1.4004999999999999,1.3994766666666676,1.1163649999999996,1.4333033333333354,1.33068,1.1667699999999994,1.3999950000000003,1.1588533333333344,1.3792933333333315,1.360693333333333
FH_COVIDhub_ensemble,0.69777,0.654033333333333,1.0966533333333341,0.0,0.9800650000000001,0.9925699999999993,0.7832250000000002,0.9502799999999998,1.0115600000000002,0.6003066666666661,0.534846666666667,1.0762099999999999,0.5828599999999997,0.5638666666666665,0.7984966666666669,0.6123400000000001,0.7533600000000004,0.6574700000000003,0.5856999999999999,0.7630299999999997,0.6463733333333331,0.5986700000000003,0.8925799999999998,0.5877133333333336,0.7134900000000001,0.6149633333333334,0.5143200000000001,0.8100300000000006,0.6249,0.8194133333333333,0.6245566666666669,0.8233199999999999
FH_CU_nochange,0.54474,1.0495299999999996,1.4854749999999988,0.9800650000000001,0.0,0.08971499999999998,0.7101649999999999,0.10858499999999992,0.10858499999999992,0.7893950000000003,1.1555999999999995,0.3203299999999999,0.8712600000000005,1.1613049999999996,0.4403450000000001,0.8519900000000002,0.3392733333333332,0.7160799999999996,0.3692599999999999,0.5585350000000004,1.2685799999999996,0.5211450000000002,0.9582599999999998,1.247234999999999,1.1214649999999997,1.2571449999999995,0.51414,0.76271,0.7254499999999999,0.86218,0.771885,0.3624350000000002
FH_CU_scenario_high,0.4537499999999999,1.0323250000000004,1.5234850000000009,0.9925699999999993,0.08971499999999998,0.0,0.760435,0.07628499999999992,0.07628499999999992,0.82855,1.1974049999999994,0.2285049999999998,0.8322700000000002,1.190675,0.4053350000000002,0.8434050000000005,0.2430866666666666,0.7615850000000003,0.25878,0.4836150000000004,1.3269449999999998,0.5218950000000003,0.9348600000000001,1.2907500000000005,1.1656750000000005,1.312955,0.40134000000000003,0.7071199999999996,0.74483,0.819,0.8241549999999997,0.3506250000000003
FH_CU_scenario_low,0.81883,0.9319900000000003,1.4692400000000003,0.7832250000000002,0.7101649999999999,0.760435,0.0,0.7030299999999999,0.7030299999999999,0.79987,0.6843700000000001,0.7812650000000002,0.7950399999999999,0.7607900000000005,0.782905,0.8808399999999997,0.76784,0.6655449999999996,1.0543799999999999,0.8903050000000003,0.6059000000000004,0.6522699999999999,0.6500199999999998,0.58518,0.7040899999999994,0.6467449999999999,0.9938600000000002,0.7976099999999999,0.4137899999999999,0.8983599999999999,0.48065,0.6969249999999999
FH_CU_scenario_mid,0.48833999999999994,1.0155249999999998,1.4297250000000004,0.9502799999999998,0.10858499999999992,0.07628499999999992,0.7030299999999999,0.0,0.0,0.8009099999999998,1.1865699999999988,0.26988500000000004,0.8553500000000007,1.1703400000000002,0.40379000000000026,0.8067599999999993,0.2817000000000001,0.7655400000000003,0.23931999999999992,0.5052550000000006,1.33483,0.4627200000000001,0.9244399999999999,1.2597349999999998,1.1465799999999988,1.3359850000000002,0.3703399999999999,0.6936950000000001,0.7359199999999997,0.8982800000000001,0.7814799999999997,0.3677650000000001
FH_CU_select,0.48833999999999994,0.9764266666666672,1.435389999999999,1.0115600000000002,0.10858499999999992,0.07628499999999992,0.7030299999999999,0.0,0.0,0.8882799999999992,1.2077933333333335,0.25868666666666673,0.8553500000000007,1.1687233333333338,0.5284833333333337,0.8072899999999996,0.2817000000000001,0.847153333333333,0.23931999999999992,0.6313199999999997,1.300986666666666,0.5767233333333331,0.9244399999999999,1.2395900000000006,1.1465799999999988,1.282693333333333,0.3703399999999999,0.7630766666666665,0.7806800000000003,0.7603399999999996,0.8519133333333325,0.47525666666666616
FH_Covid19Sim_Simulator,0.6999400000000005,0.8447,1.1601966666666659,0.6003066666666661,0.7893950000000003,0.82855,0.79987,0.8009099999999998,0.8882799999999992,0.0,0.7085666666666666,0.9718199999999998,0.6949400000000001,0.728903333333333,0.7398199999999998,0.7735066666666661,0.8115733333333333,0.7307733333333326,0.36168,0.8108833333333334,0.7598966666666667,0.6627066666666667,0.6708200000000001,0.7564533333333334,0.7665050000000003,0.7308100000000001,0.4863,0.8436099999999999,0.656755,0.8396333333333333,0.6499999999999998,0.7507600000000003
