,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
FH_Google_Harvard_CPF,0.9598319999999999,0.9186360000000001,0.9054040000000001,1.1468919999999996,0.9615280000000005,0.9779800000000002,0.8978799999999998,0.879188,0.9003240000000008,0.8778799999999997,0.8782920000000003,0.9364749999999995,0.9384520000000002,0.0,0.9042319999999999,0.9511040000000003,0.8821319999999998,0.8796999999999994,0.9924600000000005,0.8839550000000002,0.8865679999999994,1.0051600000000003,0.8857800000000001,0.8495399999999995,0.7564650000000002,0.9299879999999997,0.9254240000000007,0.6721360000000002,0.929224000000001,1.0311760000000008,0.5407900000000001,0.8301560000000002,0.9467319999999997,0.893976
FH_IEM_MED_CovidProject,0.28784999999999994,0.48810333333333344,0.6742233333333333,0.8567466666666667,0.31847666666666685,0.282095,0.3788066666666667,0.4597566666666668,0.3407166666666669,0.35438666666666685,0.3658200000000003,0.446296,0.43929,0.9042319999999999,0.0,0.44272333333333347,0.37726333333333345,0.45631999999999984,0.46287000000000017,0.3899640000000002,0.3644100000000002,0.5599233333333332,0.3037,0.6144866666666666,0.40313200000000027,0.40892666666666694,0.4309300000000001,1.009323333333333,0.40494333333333343,0.5597866666666664,0.99862,1.0792566666666668,0.5306900000000002,0.3811633333333335
FH_JHUAPL_Bucky,0.35282333333333354,0.4816566666666668,0.8412366666666669,1.106706666666666,0.2741666666666667,0.34303499999999976,0.5073766666666666,0.5683666666666667,0.44741999999999993,0.5670433333333336,0.5569133333333337,0.2821120000000001,0.3227366666666667,0.9511040000000003,0.44272333333333347,0.0,0.45888666666666655,0.4151066666666667,0.4968033333333338,0.4518519999999999,0.49053666666666684,0.7390633333333332,0.11617999999999996,0.5831299999999999,0.394668,0.28085000000000004,0.5709966666666665,0.8641866666666673,0.3073433333333332,0.43938000000000016,0.9510199999999998,1.1028266666666666,0.3998100000000001,0.4436366666666669
FH_JHU_CSSE_DECOM,0.3522,0.49652666666666667,0.6861333333333336,0.9141433333333331,0.4062166666666666,0.3636099999999998,0.4197233333333333,0.4521399999999998,0.38163666666666674,0.40628333333333344,0.41960666666666685,0.5094520000000002,0.5753633333333331,0.8821319999999998,0.37726333333333345,0.45888666666666655,0.0,0.4420233333333336,0.6323900000000002,0.47523999999999994,0.3458966666666668,0.5222633333333336,0.06644,0.6886033333333333,0.48090800000000006,0.4619966666666666,0.5459766666666667,0.9048799999999998,0.5225000000000002,0.6941166666666664,0.9969199999999996,0.9526733333333325,0.6236666666666666,0.3999000000000002
FH_JHU_IDD_CovidSP,0.41372,0.5048600000000003,0.820283333333333,1.100543333333333,0.3580966666666666,0.4311050000000002,0.5506333333333334,0.564476666666667,0.4973733333333332,0.5842833333333337,0.5951266666666667,0.3574440000000001,0.3808666666666666,0.8796999999999994,0.45631999999999984,0.4151066666666667,0.4420233333333336,0.0,0.5584366666666666,0.49527599999999994,0.42182333333333333,0.7477733333333337,0.14833999999999997,0.6116266666666667,0.42540000000000006,0.31473666666666683,0.5365800000000004,0.9170433333333331,0.39402666666666664,0.45502,0.9383800000000001,1.0598099999999997,0.48012333333333296,0.46063999999999994
FH_JHU_UNC_GAS_StatMechPool,0.45551666666666724,0.6159366666666667,0.8124099999999995,1.0794066666666673,0.3699800000000001,0.48475,0.6180200000000001,0.6647366666666666,0.5623500000000001,0.6423499999999999,0.6424999999999998,0.4721359999999998,0.4181800000000001,0.9924600000000005,0.46287000000000017,0.4968033333333338,0.6323900000000002,0.5584366666666666,0.0,0.5856640000000005,0.6014566666666664,0.7994500000000002,0.3444000000000002,0.6595333333333329,0.4247639999999999,0.42475333333333337,0.5593266666666669,0.9257466666666666,0.39865666666666666,0.46637,0.9979719999999996,1.1280433333333328,0.45997666666666653,0.4868833333333331
FH_KITmetricslab_select_ensemble,0.4195439999999999,0.4963200000000001,0.8665040000000003,1.2064519999999996,0.44722,0.390715,0.512612,0.5759040000000002,0.44488,0.5534800000000005,0.5280920000000003,0.4460350000000001,0.5050319999999998,0.8839550000000002,0.3899640000000002,0.4518519999999999,0.47523999999999994,0.49527599999999994,0.5856640000000005,0.0,0.31938399999999995,0.7666400000000002,,0.6541160000000001,0.4878650000000001,0.38176,0.5210640000000001,0.8245360000000004,0.48977200000000004,0.5694039999999997,0.9162050000000004,1.061972,0.4756439999999999,0.43805200000000005
FH_Karlen_pypm,0.3237466666666666,0.5016866666666664,0.8127466666666672,1.0517166666666666,0.4268633333333336,0.33956,0.35185999999999995,0.35513333333333374,0.37541666666666673,0.36657999999999996,0.3768233333333333,0.5262079999999999,0.581836666666667,0.8865679999999994,0.3644100000000002,0.49053666666666684,0.3458966666666668,0.42182333333333333,0.6014566666666664,0.31938399999999995,0.0,0.5837166666666667,0.11382000000000003,0.6155200000000001,0.4823959999999999,0.4471066666666666,0.4916033333333334,0.8123299999999999,0.5591266666666667,0.6863666666666671,0.9603960000000007,0.9967433333333334,0.58331,0.3858633333333334
FH_LANL_GrowthRate,0.5007133333333329,0.7713066666666667,0.6618366666666664,0.7339666666666675,0.6949799999999995,0.5238049999999997,0.5175933333333333,0.4761699999999998,0.55723,0.4558066666666665,0.4756833333333333,0.8426039999999994,0.8208000000000005,1.0051600000000003,0.5599233333333332,0.7390633333333332,0.5222633333333336,0.7477733333333337,0.7994500000000002,0.7666400000000002,0.5837166666666667,0.0,0.48902000000000007,0.7919899999999994,0.628452,0.807233333333333,0.6298766666666665,0.8237899999999997,0.80837,1.0240700000000005,0.9304119999999996,0.8736299999999996,0.8887533333333334,0.652983333333333
FH_LNQ_ens1,0.042519999999999995,0.09533999999999994,0.7559200000000001,1.11564,0.05311999999999999,,0.20959999999999998,0.27018000000000003,0.16573999999999997,0.20541999999999994,0.20541999999999994,0.21059999999999998,0.10826000000000001,0.8857800000000001,0.3037,0.11617999999999996,0.06644,0.14833999999999997,0.3444000000000002,,0.11382000000000003,0.48902000000000007,0.0,0.24599999999999997,0.28134,0.08815999999999999,0.33283999999999997,0.8235399999999999,0.060599999999999966,0.16505999999999996,0.9901600000000004,1.12994,0.13811999999999997,0.13249999999999998
