,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_IDD_CovidSP,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_RobertWalraven_ESG,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,UMich_RidgeTfReg,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_JHU_IDD_CovidSP,0.80398,1.2640466666666665,0.6919733333333342,0.7873920000000003,0.7940999999999999,0.7502266666666664,0.6385766666666659,0.9021680000000006,0.39395999999999987,0.9074300000000001,0.0,0.5509700000000003,0.7880500000000003,0.6701133333333331,0.6926700000000005,0.6854766666666666,0.7525150000000004,0.7057500000000002,0.776736666666667,0.6845299999999995,0.5302733333333339
FH_Karlen_pypm,0.8174199999999998,1.2613666666666647,0.61973,0.8809879999999992,0.663675,0.6969266666666669,0.6255733333333329,0.7632400000000004,0.43362000000000017,0.7640699999999998,0.5509700000000003,0.0,0.7099666666666669,0.657403333333333,0.5936400000000003,0.5329400000000003,0.8232999999999998,0.6603733333333331,0.722826666666666,0.6504866666666668,0.590023333333333
FH_LANL_GrowthRate,0.787584,1.4112099999999985,0.3819766666666668,1.1670719999999994,0.5941500000000003,0.1988233333333334,0.6460100000000003,0.513784,0.27924,0.84929,0.7880500000000003,0.7099666666666669,0.0,0.37314000000000025,0.37746000000000024,0.4493433333333336,0.9882049999999993,0.4265566666666669,0.6633733333333336,0.24246666666666675,0.9003866666666662
FH_LNQ_ens1,0.6947999999999996,1.1432833333333334,0.30083333333333345,1.0296759999999994,0.5608900000000001,0.3835233333333336,0.6470200000000006,0.5544280000000001,0.39618,0.8617099999999996,0.6701133333333331,0.657403333333333,0.37314000000000025,0.0,0.4308933333333339,0.49408666666666656,0.8889150000000001,0.40890000000000015,0.5089833333333335,0.31173000000000006,0.7490733333333334
FH_RobertWalraven_ESG,0.7321679999999999,1.2375633333333338,0.40510333333333376,1.022956,0.6117050000000002,0.4126200000000007,0.7013833333333341,0.5634840000000003,0.26259999999999994,0.8603000000000001,0.6926700000000005,0.5936400000000003,0.37746000000000024,0.4308933333333339,0.0,0.5419666666666669,0.8257399999999997,0.5297466666666666,0.6379333333333335,0.4162300000000004,0.7031266666666656
FH_UCLA_SuEIR,0.7492759999999995,1.301806666666667,0.4886500000000002,0.9892280000000001,0.597065,0.49841666666666656,0.6075599999999997,0.6906880000000002,0.31183999999999995,0.9361599999999999,0.6854766666666666,0.5329400000000003,0.4493433333333336,0.49408666666666656,0.5419666666666669,0.0,0.8702599999999998,0.54228,0.749056666666667,0.5022599999999998,0.744193333333333
FH_UMich_RidgeTfReg,0.8107899999999993,1.1408750000000003,0.91204,0.45924499999999996,0.8573066666666667,0.9609600000000004,0.7621849999999992,0.8613333333333331,0.7206199999999998,0.7382700000000001,0.7525150000000004,0.8232999999999998,0.9882049999999993,0.8889150000000001,0.8257399999999997,0.8702599999999998,0.0,0.8055550000000001,0.6661799999999997,0.9248099999999997,0.6986200000000001
FH_USACE_ERDC_SEIR,0.7904359999999997,1.3256599999999992,0.4397133333333338,0.8269359999999997,0.5445299999999997,0.5336433333333331,0.5496466666666662,0.6446320000000005,0.5229599999999999,0.57859,0.7057500000000002,0.6603733333333331,0.4265566666666669,0.40890000000000015,0.5297466666666666,0.54228,0.8055550000000001,0.0,0.6278766666666669,0.3153833333333333,0.7528199999999995
UMich_RidgeTfReg,0.7663840000000005,1.1285733333333328,0.5764733333333334,0.7764439999999998,0.6990699999999999,0.5867899999999998,0.7179899999999996,0.6642439999999997,0.6484799999999997,0.7765799999999998,0.776736666666667,0.722826666666666,0.6633733333333336,0.5089833333333335,0.6379333333333335,0.749056666666667,0.6661799999999997,0.6278766666666669,0.0,0.6286333333333338,0.7704266666666664
USC_SI_kJalpha,0.7696440000000002,1.2900699999999983,0.35458333333333353,1.0555000000000005,0.5705150000000001,0.3478800000000005,0.5773900000000003,0.5513159999999998,0.2974600000000001,0.8187800000000004,0.6845299999999995,0.6504866666666668,0.24246666666666675,0.31173000000000006,0.4162300000000004,0.5022599999999998,0.9248099999999997,0.3153833333333333,0.6286333333333338,0.0,0.8168866666666669
ensemble_SIkJa_RF,0.7645479999999999,1.2434366666666663,0.7888166666666664,0.7136999999999997,0.7430450000000002,0.844516666666667,0.78101,0.8752959999999999,0.6131200000000001,0.8168500000000002,0.5302733333333339,0.590023333333333,0.9003866666666662,0.7490733333333334,0.7031266666666656,0.744193333333333,0.6986200000000001,0.7528199999999995,0.7704266666666664,0.8168866666666669,0.0
