,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_SigSci_TS,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha,ensemble_SIkJa_RF
COVID_Hub_Trained_Ensemble,0.0,0.6739400000000002,0.6628799999999999,1.6056199999999998,0.72748,0.0,0.73768,0.72902,0.72418,0.77758,0.72418,0.75142,0.60784,0.81804,0.60882,0.7391999999999999,,,0.7362200000000001,0.9170000000000001,0.5719999999999998,0.7439799999999999,0.7308599999999998,0.7280000000000001,0.69292,0.7293,0.6858000000000001,0.51544,0.21270000000000003,0.7339000000000001,1.0306399999999996,0.6867200000000001,0.7029999999999998,,0.5960599999999999,0.7179800000000003,0.7409800000000003,0.8305999999999999
FH_BPagano_RtDriven,0.6739400000000002,0.0,0.6784766666666668,1.5677649999999987,0.31654000000000015,0.6739400000000002,0.6960999999999996,0.7232040000000001,0.6327559999999997,0.7424079999999993,0.6950719999999995,0.39724800000000005,0.4212840000000002,0.5063640000000003,0.5931999999999997,0.3935966666666666,0.5744449999999999,0.5206,0.38073600000000035,0.7865719999999995,0.5266720000000005,0.35454800000000036,0.33206000000000013,0.678575,0.3947920000000005,0.32093999999999995,0.07973999999999994,0.49180400000000013,0.7273266666666663,0.3839566666666669,0.8088999999999997,0.34193333333333326,0.5474159999999999,0.6159100000000002,0.7448359999999997,0.48382800000000004,0.3175066666666668,0.47341666666666676
FH_CEID_Walk,0.6628799999999999,0.6784766666666668,0.0,1.5645549999999997,0.6246719999999998,0.6628799999999999,0.6321359999999998,0.6399279999999998,0.645516,0.6473280000000005,0.6622399999999999,0.6479920000000001,0.6458959999999997,0.6324879999999998,0.594368,0.6744266666666663,0.68098,0.5900200000000002,0.6399679999999996,0.6900880000000003,0.6589319999999996,0.6535920000000004,0.6371879999999996,0.62655,0.647512,0.5948066666666667,0.6371600000000001,0.6325640000000003,0.6840033333333337,0.621036666666667,0.9281799999999998,0.6391733333333334,0.6721320000000001,0.6566500000000004,0.6501679999999997,0.5895799999999998,0.6595099999999997,0.6311333333333335
FH_COVIDhub_baseline,1.6056199999999998,1.5677649999999987,1.5645549999999997,0.0,1.5443049999999992,1.6056199999999998,1.5729600000000012,1.5676000000000008,1.5731900000000008,1.5720450000000001,1.5660600000000005,1.55462,1.5835999999999992,1.5930550000000006,1.6288549999999997,1.5441299999999978,1.3739466666666675,1.55328,1.5797900000000005,1.4604899999999994,1.5497999999999998,1.5081799999999987,1.5397333333333336,1.5748133333333327,1.5865850000000006,1.5567200000000005,1.5732400000000006,1.6806500000000009,1.6042599999999994,1.5521199999999995,1.01096,1.5659399999999997,1.5683800000000003,1.5506133333333338,1.5551350000000002,1.6869500000000004,1.530824999999999,1.6017400000000002
FH_COVIDhub_ensemble,0.72748,0.31654000000000015,0.6246719999999998,1.5443049999999992,0.0,0.72748,0.6950159999999999,0.7218959999999996,0.6417679999999998,0.7609000000000001,0.7131159999999999,0.32075600000000004,0.28596400000000005,0.5982199999999994,0.521812,0.3327280000000003,0.4245449999999999,1.0001799999999998,0.22447200000000014,0.7915999999999994,0.5983999999999999,0.29233200000000026,0.18060500000000013,0.68163,0.24330800000000005,0.13195,0.06105999999999998,0.4414160000000001,0.6987240000000002,0.19629599999999991,0.75712,0.2228880000000001,0.39290400000000025,0.65833,0.616256,0.3619160000000001,0.24026399999999995,0.4193919999999998
FH_COVIDhub_trained_ensemble,0.0,0.6739400000000002,0.6628799999999999,1.6056199999999998,0.72748,0.0,0.73768,0.72902,0.72418,0.77758,0.72418,0.75142,0.60784,0.81804,0.60882,0.7391999999999999,,,0.7362200000000001,0.9170000000000001,0.5719999999999998,0.7439799999999999,0.7308599999999998,0.7280000000000001,0.69292,0.7293,0.6858000000000001,0.51544,0.21270000000000003,0.7339000000000001,1.0306399999999996,0.6867200000000001,0.7029999999999998,,0.5960599999999999,0.7179800000000003,0.7409800000000003,0.8305999999999999
FH_CU_nochange,0.73768,0.6960999999999996,0.6321359999999998,1.5729600000000012,0.6950159999999999,0.73768,0.0,0.026099999999999988,0.09323999999999999,0.07057200000000004,0.06336400000000003,0.5346919999999998,0.7909919999999997,0.6710039999999992,0.6377599999999998,0.5553120000000002,0.8492349999999997,0.9889599999999998,0.6021439999999997,0.6283880000000002,0.5636039999999995,0.7141159999999993,0.6813899999999998,0.3862299999999999,0.521908,0.6291500000000001,0.7121600000000001,0.6750959999999999,0.8067679999999998,0.7673480000000004,0.93722,0.7982879999999999,0.7529119999999997,0.6460899999999999,0.6835840000000005,0.6341639999999998,0.7768439999999999,0.6313480000000005
FH_CU_scenario_high,0.72902,0.7232040000000001,0.6399279999999998,1.5676000000000008,0.7218959999999996,0.72902,0.026099999999999988,0.0,0.12488799999999999,0.035379999999999974,0.04885599999999999,0.570664,0.8225279999999991,0.687192,0.6441279999999996,0.5752280000000003,0.8714049999999999,0.9632200000000002,0.6441679999999995,0.6101599999999997,0.5726800000000002,0.7511359999999999,0.7099750000000001,0.3575700000000001,0.5459,0.6774700000000005,0.76724,0.6861000000000002,0.7810640000000003,0.8132719999999994,0.9532800000000003,0.8379759999999996,0.7778399999999993,0.6553849999999999,0.6717679999999999,0.656172,0.8210480000000001,0.6413599999999998
FH_CU_scenario_low,0.72418,0.6327559999999997,0.645516,1.5731900000000008,0.6417679999999998,0.72418,0.09323999999999999,0.12488799999999999,0.0,0.14262799999999998,0.094636,0.5083680000000003,0.7219039999999995,0.6336440000000005,0.6401200000000001,0.54876,0.7934899999999999,0.9834200000000003,0.5600680000000007,0.6557399999999998,0.5373759999999997,0.6748160000000003,0.6169150000000001,0.4745550000000002,0.5048400000000004,0.58645,0.6544399999999999,0.6637480000000001,0.8403599999999996,0.6947039999999998,0.9127399999999999,0.7174999999999997,0.6745639999999998,0.6405450000000004,0.6876479999999999,0.5947039999999998,0.713228,0.6005719999999999
FH_CU_scenario_mid,0.77758,0.7424079999999993,0.6473280000000005,1.5720450000000001,0.7609000000000001,0.77758,0.07057200000000004,0.035379999999999974,0.14262799999999998,0.0,0.04799200000000001,0.606528,0.8426439999999997,0.6687239999999999,0.6502159999999999,0.6019920000000004,0.8862749999999999,0.8889,0.6818439999999997,0.6006560000000001,0.576948,0.7831240000000003,0.7482849999999998,0.3794299999999998,0.5862039999999998,0.7090200000000002,0.8726799999999997,0.6958240000000002,0.7782040000000002,0.850608,1.0164600000000004,0.862556,0.7979240000000004,0.6402600000000005,0.687876,0.6680359999999997,0.8576680000000003,0.6335759999999995
