,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IQVIA_ACOE_STAN,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MSRA_DeepST,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_CovidAnalytics_DELPHI,0.5082366666666661,0.7004700000000003,1.5884699999999965,0.3170833333333333,0.6083166666666662,0.6314933333333329,0.5618500000000001,0.6796499999999999,0.61028,0.5273733333333331,0.0,0.6516866666666663,0.6697333333333327,0.5582666666666666,0.90164,0.5007733333333336,0.7483149999999997,0.38828333333333354,0.7399233333333334,0.7840499999999999,0.4919300000000003,0.40948000000000034,0.6998439999999998,0.43335000000000007,0.6473399999999998,0.49996333333333337,0.6434166666666661,0.2273333333333334,0.2454533333333334,0.4139033333333339,0.7572599999999998,0.6327899999999996,0.39148333333333374,0.31356333333333347,0.5289733333333334
FH_DDS_NBDS,0.5970400000000005,0.6960250000000001,1.6041900000000004,0.6605566666666666,0.5161199999999998,0.5280066666666666,0.5200600000000001,0.5652799999999999,0.4943033333333332,0.6785933333333335,0.6516866666666663,0.0,0.71119,0.5987166666666665,0.9441200000000001,0.7706633333333325,0.6403300000000003,0.74935,0.6861933333333335,0.595483333333333,0.6809233333333338,0.6497719999999995,0.5572039999999996,0.5706566666666663,0.52422,0.4874000000000003,0.51203,0.7524666666666665,0.739643333333333,0.6937966666666662,0.5702079999999998,0.7963799999999998,0.6512499999999999,0.7036399999999999,0.6652166666666665
FH_Google_Harvard_CPF,0.6430533333333336,0.6713500000000004,1.5950499999999992,0.5984133333333331,0.7199766666666658,0.7090466666666672,0.7138599999999998,0.6735666666666663,0.7122166666666667,0.5807166666666668,0.6697333333333327,0.71119,0.0,0.47783666666666685,0.4726200000000001,0.8071766666666668,0.3805150000000001,0.591683333333333,0.591373333333334,0.4224200000000003,0.5054166666666666,0.49506800000000034,0.5906479999999997,0.561346666666667,0.5624199999999999,0.5334266666666665,0.7611499999999993,0.6776200000000003,0.6462166666666667,0.6868733333333336,0.6144279999999998,0.5812550000000002,0.5918766666666668,0.6782166666666665,0.540503333333333
FH_IEM_MED_CovidProject,0.5160466666666668,0.7557200000000002,1.5445233333333295,0.3680399999999999,0.45106000000000024,0.44008333333333344,0.4621500000000006,0.42386666666666667,0.451026666666667,0.37415000000000004,0.5582666666666666,0.5987166666666665,0.47783666666666685,0.0,0.6778599999999999,0.777483333333333,0.41391,0.46934666666666647,0.6677733333333336,0.42453000000000024,0.33445,0.18714400000000006,0.5224639999999998,0.32320000000000015,0.49692000000000003,0.4228933333333334,0.7684433333333337,0.5924633333333331,0.5600533333333336,0.65713,0.5063639999999998,0.61829,0.5344000000000003,0.484256666666667,0.453836666666667
FH_IQVIA_ACOE_STAN,0.7160599999999999,,1.5471999999999997,0.78664,0.8992200000000001,0.87338,0.8877999999999997,0.7523599999999998,0.8877999999999997,0.6618,0.90164,0.9441200000000001,0.4726200000000001,0.6778599999999999,0.0,0.7271000000000002,0.5972599999999999,0.8134,0.584,0.48058,0.6937000000000002,0.7577000000000002,0.5262600000000002,0.8177800000000001,,0.7150599999999998,0.7171,0.8869800000000002,0.8593999999999999,0.6936400000000001,,,0.6648000000000001,0.8002400000000001,0.45909999999999995
FH_IowaStateLW_STEM,0.6693899999999998,0.7031300000000001,1.3811866666666652,0.5426133333333332,0.7398500000000001,0.7656800000000005,0.7171033333333335,0.828656666666667,0.7494066666666668,0.7222800000000004,0.5007733333333336,0.7706633333333325,0.8071766666666668,0.777483333333333,0.7271000000000002,0.0,0.9805149999999999,0.5733100000000003,0.7385566666666666,0.9308666666666672,0.7398966666666663,0.70574,0.8079039999999998,0.6325500000000008,0.6969,0.6514566666666662,0.6648766666666661,0.46272,0.5538366666666666,0.6233200000000004,0.882591999999999,0.6828600000000001,0.5516700000000001,0.5580766666666667,0.704726666666667
FH_JCB_PRM,0.53067,0.6762700000000001,1.5703199999999995,0.60039,0.7394149999999997,0.6929549999999999,0.7289100000000001,0.6051149999999998,0.70528,0.6041150000000001,0.7483149999999997,0.6403300000000003,0.3805150000000001,0.41391,0.5972599999999999,0.9805149999999999,0.0,0.7290849999999991,0.6242700000000003,0.292935,0.3022600000000001,0.42132499999999984,0.5843266666666669,0.6762749999999998,0.42919999999999997,0.443635,0.6246049999999999,0.8409099999999994,0.682545,0.7214999999999995,0.19286666666666671,0.6563300000000001,0.653445,0.62575,0.4232099999999999
FH_JHUAPL_Bucky,0.5216866666666663,0.682275,1.5721466666666648,0.34950999999999977,0.5190866666666665,0.5386733333333334,0.5031800000000002,0.5689533333333338,0.5363933333333337,0.44300333333333347,0.38828333333333354,0.74935,0.591683333333333,0.46934666666666647,0.8134,0.5733100000000003,0.7290849999999991,0.0,0.6740500000000003,0.6665,0.4597466666666667,0.37408000000000013,0.6317560000000001,0.39850666666666673,0.6763600000000001,0.5136433333333336,0.7734366666666663,0.3634133333333332,0.3711366666666668,0.5216500000000005,0.689064,0.5371300000000002,0.4280733333333336,0.38351999999999997,0.59594
FH_JHU_CSSE_DECOM,0.6695633333333333,0.6935800000000001,1.518546666666667,0.6808766666666664,0.6247599999999994,0.6168666666666667,0.6164333333333335,0.5957699999999999,0.6097299999999999,0.6775933333333333,0.7399233333333334,0.6861933333333335,0.591373333333334,0.6677733333333336,0.584,0.7385566666666666,0.6242700000000003,0.6740500000000003,0.0,0.5911366666666669,0.7066766666666663,0.71258,0.5266599999999996,0.6062966666666666,0.5167799999999998,0.6535766666666667,0.62563,0.7401066666666667,0.71254,0.6981733333333336,0.709336,0.6957000000000002,0.5903999999999999,0.7171600000000002,0.6273233333333329
FH_JHU_IDD_CovidSP,0.6241399999999996,0.7037500000000001,1.5581199999999984,0.6415866666666666,0.5892399999999995,0.5628700000000001,0.6006900000000005,0.5147099999999998,0.5713699999999995,0.5355500000000001,0.7840499999999999,0.595483333333333,0.4224200000000003,0.42453000000000024,0.48058,0.9308666666666672,0.292935,0.6665,0.5911366666666669,0.0,0.4924533333333337,0.48286399999999996,0.4858920000000004,0.5853799999999998,0.4136999999999999,0.5082233333333331,0.7373866666666672,0.8509600000000006,0.7269366666666668,0.7611766666666671,0.45688800000000007,0.6493299999999997,0.6551166666666662,0.7051600000000001,0.4807333333333336
