,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IowaStateLW_STEM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_SigSci_TS,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha,ensemble_SIkJa_RF
COVID_Hub_Trained_Ensemble,0.0,0.9296399999999998,0.7929700000000001,1.5950099999999998,0.9447400000000001,0.0,0.74588,0.7222499999999998,0.7998999999999999,0.7399999999999999,0.7132999999999999,0.9041200000000003,0.8704300000000003,0.7003100000000001,0.8060499999999999,0.9678299999999999,1.1206000000000003,0.9222499999999999,0.7808400000000002,0.8270400000000003,0.9547299999999999,0.9583799999999999,0.7328600000000002,0.9386700000000004,0.9465899999999996,0.9283000000000001,0.8382000000000002,0.14151,0.9595500000000005,0.6949,0.91217,0.8252199999999997,,0.7483800000000004,0.7179800000000003,0.9523499999999998,0.8305999999999999
FH_BPagano_RtDriven,0.9296399999999998,0.0,0.6562433333333333,1.56646,0.20956800000000012,0.9296399999999998,0.7176760000000002,0.7532279999999997,0.6341200000000001,0.7818719999999996,0.7345359999999999,0.3138360000000003,0.3203280000000004,0.4949760000000003,0.4903599999999998,0.3248233333333334,0.4834350000000001,0.27619600000000005,0.8545279999999995,0.4443560000000001,0.2811720000000003,0.23784400000000008,0.6429680000000001,0.2738720000000001,0.25397000000000003,0.05614999999999999,0.4133440000000003,0.8320933333333331,0.28024666666666725,0.7730099999999999,0.2656500000000003,0.4750520000000001,0.6633533333333335,0.688752,0.45753500000000025,0.2407066666666669,0.473792
FH_CEID_Walk,0.7929700000000001,0.6562433333333333,0.0,1.5389249999999997,0.6169399999999998,0.7929700000000001,0.6532880000000003,0.6589679999999999,0.654308,0.6595679999999995,0.6744799999999993,0.6450640000000004,0.6285879999999995,0.6426239999999999,0.616692,0.6659533333333332,0.6674850000000002,0.640672,0.7101599999999997,0.6445879999999998,0.651404,0.63796,0.6272479999999996,0.64066,0.593505,0.6110400000000002,0.6336920000000001,0.7340366666666669,0.6070766666666667,0.77209,0.62206,0.6590199999999997,0.6577533333333337,0.6661679999999996,0.5745799999999999,0.633413333333333,0.6307680000000001
FH_COVIDhub_baseline,1.5950099999999998,1.56646,1.5389249999999997,0.0,1.555705,1.5950099999999998,1.5774100000000004,1.5774700000000013,1.5610750000000002,1.5731550000000005,1.5671700000000004,1.5649300000000002,1.5798399999999986,1.6097650000000003,1.6214250000000008,1.5452749999999988,1.3354599999999996,1.5814850000000014,1.3954350000000009,1.5494450000000004,1.5194099999999984,1.5672200000000003,1.5831650000000004,1.5796949999999992,1.5678800000000004,1.5673500000000005,1.648675,1.6051250000000004,1.5601099999999994,1.0822599999999998,1.5675599999999992,1.560355,1.5397200000000006,1.5346600000000004,1.6823999999999995,1.5471299999999983,1.6042733333333339
FH_COVIDhub_ensemble,0.9447400000000001,0.20956800000000012,0.6169399999999998,1.555705,0.0,0.9447400000000001,0.7617439999999995,0.7993559999999993,0.6863679999999995,0.837092,0.7893079999999998,0.29488400000000015,0.24427199999999988,0.48190799999999995,0.45196000000000003,0.2856600000000001,0.41043499999999994,0.19646400000000003,0.8758439999999997,0.47150399999999987,0.19336799999999993,0.0968250000000001,0.6400480000000004,0.21658800000000014,0.11484000000000007,0.06110999999999998,0.3518800000000002,0.7749879999999998,0.1652639999999998,0.7421099999999997,0.16263200000000003,0.389352,0.5895200000000002,0.6169879999999996,0.36396500000000004,0.16548800000000002,0.4246599999999998
FH_COVIDhub_trained_ensemble,0.0,0.9296399999999998,0.7929700000000001,1.5950099999999998,0.9447400000000001,0.0,0.74588,0.7222499999999998,0.7998999999999999,0.7399999999999999,0.7132999999999999,0.9041200000000003,0.8704300000000003,0.7003100000000001,0.8060499999999999,0.9678299999999999,1.1206000000000003,0.9222499999999999,0.7808400000000002,0.8270400000000003,0.9547299999999999,0.9583799999999999,0.7328600000000002,0.9386700000000004,0.9465899999999996,0.9283000000000001,0.8382000000000002,0.14151,0.9595500000000005,0.6949,0.91217,0.8252199999999997,,0.7483800000000004,0.7179800000000003,0.9523499999999998,0.8305999999999999
FH_CU_nochange,0.74588,0.7176760000000002,0.6532880000000003,1.5774100000000004,0.7617439999999995,0.74588,0.0,0.027527999999999987,0.12131199999999996,0.06692000000000002,0.059711999999999994,0.5835439999999997,0.8549599999999992,0.5746160000000002,0.6278520000000001,0.613664,0.9248700000000004,0.6831359999999997,0.6838279999999999,0.5322360000000003,0.739163999999999,0.7218499999999999,0.40642399999999995,0.6109399999999998,0.6298733333333332,0.6908699999999999,0.6751519999999999,0.7870479999999996,0.8705360000000003,0.6381100000000002,0.8535519999999998,0.8107799999999995,0.5624000000000001,0.7569199999999995,0.7026749999999999,0.8120679999999996,0.7009900000000006
FH_CU_scenario_high,0.7222499999999998,0.7532279999999997,0.6589679999999999,1.5774700000000013,0.7993559999999993,0.7222499999999998,0.027527999999999987,0.0,0.16320799999999996,0.027827999999999974,0.041303999999999966,0.6219920000000001,0.8959439999999993,0.6018680000000004,0.6328159999999997,0.646184,0.9519750000000002,0.7287479999999998,0.6562479999999995,0.5458520000000001,0.783052,0.7674649999999997,0.3820800000000002,0.6383480000000002,0.6778800000000004,0.7425500000000003,0.6959119999999998,0.7542919999999994,0.9191679999999992,0.6206100000000002,0.9031359999999999,0.8409879999999998,0.5774466666666668,0.7354999999999999,0.7303149999999999,0.859236,0.7150250000000001
FH_CU_scenario_low,0.7998999999999999,0.6341200000000001,0.654308,1.5610750000000002,0.6863679999999995,0.7998999999999999,0.12131199999999996,0.16320799999999996,0.0,0.17775599999999997,0.129764,0.5376200000000004,0.7724799999999992,0.5298480000000002,0.62074,0.5898639999999997,0.8364199999999995,0.6187120000000003,0.7063999999999997,0.493556,0.675236,0.6333600000000003,0.4929640000000003,0.5724920000000008,0.5670333333333334,0.6067599999999999,0.6441679999999994,0.851604,0.7762319999999993,0.7128999999999998,0.7603479999999995,0.726312,0.5570133333333336,0.7438079999999999,0.6529349999999999,0.7254760000000002,0.6676850000000004
FH_CU_scenario_mid,0.7399999999999999,0.7818719999999996,0.6595679999999995,1.5731550000000005,0.837092,0.7399999999999999,0.06692000000000002,0.027827999999999974,0.17775599999999997,0.0,0.04799200000000001,0.6549679999999998,0.9245559999999997,0.597224,0.6398520000000002,0.6824280000000001,0.965365,0.7661359999999996,0.6440839999999995,0.5698759999999997,0.8191159999999998,0.8098549999999993,0.4081720000000001,0.6798760000000004,0.7164266666666669,0.8209499999999998,0.7134200000000006,0.7572400000000005,0.957396,0.6439200000000003,0.9384839999999998,0.8622160000000006,0.57466,0.7466159999999997,0.7521199999999996,0.8964880000000002,0.7167399999999994
