,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
COVID_Hub_Trained_Ensemble,0.0,0.2705266666666669,0.9655700000000004,1.4419839999999986,0.36496999999999985,0.0,0.2157966666666667,0.24983333333333335,0.30525333333333365,0.2749919999999997,0.30525333333333365,0.012569999999999984,0.8888300000000006,0.5495199999999999,0.1351933333333334,0.19646333333333335,0.11421000000000019,0.4324000000000004,0.3313066666666671,0.1846566666666666,0.0967000000000001,0.47643999999999986,0.9601966666666667,0.7248000000000004,0.22610666666666665,0.4176566666666668,0.6166366666666666,1.1884366666666653,1.535003333333335,1.1843666666666675,0.7772559999999998,0.5320233333333332,0.14556333333333338
FH_BPagano_RtDriven,0.2705266666666669,0.0,0.8913866666666667,1.3697439999999987,0.35517666666666686,0.3073240000000002,0.3139566666666671,0.4323666666666666,0.38489666666666644,0.36658799999999997,0.38489666666666644,0.08521,0.7937899999999996,0.6791266666666668,0.3022933333333334,0.38519000000000025,0.313736666666667,0.49565,0.37254666666666675,0.33294333333333376,0.30012666666666704,0.5286333333333333,0.9518533333333333,0.686224,0.33483666666666717,0.4865966666666673,0.7456399999999999,1.067136666666667,1.3517966666666679,1.155546666666667,0.7353639999999998,0.5687233333333328,0.3336500000000003
FH_CEID_Walk,0.9655700000000004,0.8913866666666667,0.0,0.8829560000000007,0.8067299999999998,0.9747600000000002,0.8666466666666668,0.7677666666666665,0.8594333333333335,0.7946080000000003,0.8594333333333335,0.9680599999999997,0.8211700000000001,0.9104266666666672,0.8858366666666668,0.9551066666666667,0.9655466666666662,0.8212466666666661,0.8287000000000005,1.0534633333333339,0.9983033333333331,0.8306699999999995,0.9093466666666667,0.6670640000000002,0.9167999999999995,0.8113333333333331,1.0324099999999996,0.7793333333333334,0.8017300000000003,0.8919200000000003,0.7905719999999998,0.9660666666666657,0.9870800000000005
FH_COVIDhub_baseline,1.4419839999999986,1.3697439999999987,0.8829560000000007,0.0,1.3063280000000006,1.406595,1.3311399999999995,1.04693,1.3270840000000008,1.2248750000000002,1.3270840000000008,1.5577000000000003,1.1616760000000004,1.3314499999999998,1.327939999999999,1.4190039999999982,1.4640319999999982,1.2597959999999997,1.2735279999999998,1.589859999999999,1.496051999999998,1.2102560000000002,1.3624679999999996,1.026545,1.4350960000000008,1.1965319999999997,1.6358680000000003,1.2516720000000008,0.895984,1.3355899999999992,1.1452350000000004,1.506488,1.4705359999999992
FH_COVIDhub_ensemble,0.36496999999999985,0.35517666666666686,0.8067299999999998,1.3063280000000006,0.0,0.4046159999999999,0.310616666666667,0.4650599999999999,0.3111100000000001,0.3070280000000005,0.3111100000000001,0.21296999999999996,0.6898266666666666,0.7918266666666669,0.35583666666666697,0.3990033333333333,0.43611000000000055,0.4476533333333333,0.3475166666666668,0.4940666666666669,0.42884000000000017,0.48194333333333295,0.827996666666667,0.5560360000000001,0.3471066666666669,0.4531000000000005,0.6527266666666666,0.8621833333333339,1.1921099999999993,0.9944266666666666,0.6483120000000001,0.5136000000000001,0.37495333333333336
FH_COVIDhub_trained_ensemble,0.0,0.3073240000000002,0.9747600000000002,1.406595,0.4046159999999999,0.0,0.23607599999999992,0.24983333333333335,0.32633600000000035,0.30370999999999976,0.32633600000000035,0.013920000000000004,0.9882600000000002,0.5495199999999999,0.1585679999999999,0.21974000000000007,0.13453600000000016,0.4886920000000005,0.35870000000000035,0.21836799999999998,0.11574800000000011,0.4904680000000003,0.9705399999999996,0.7248000000000004,0.2490680000000001,0.4216560000000001,0.6120239999999998,1.1857959999999992,1.509336000000002,1.1843666666666675,0.7772559999999998,0.5521640000000003,0.16385600000000006
FH_CU_nochange,0.2157966666666667,0.3139566666666671,0.8666466666666668,1.3311399999999995,0.310616666666667,0.23607599999999992,0.0,0.07319333333333333,0.06651333333333335,0.060308000000000014,0.06651333333333335,0.09519999999999999,0.7873633333333332,0.6277333333333334,0.20733333333333337,0.2752966666666667,0.2574833333333333,0.41933000000000015,0.2571400000000002,0.3318833333333338,0.2451700000000002,0.4221600000000001,0.9640100000000005,0.6561559999999999,0.3075566666666668,0.4047966666666668,0.6859899999999997,1.0408399999999995,1.3874466666666656,1.1855,0.7309320000000001,0.5642033333333333,0.2459866666666667
FH_CU_scenario_high,0.24983333333333335,0.4323666666666666,0.7677666666666665,1.04693,0.4650599999999999,0.24983333333333335,0.07319333333333333,0.0,0.1665066666666667,0.11788666666666667,0.1665066666666667,,1.1292733333333338,0.6075333333333335,0.2538733333333333,0.3114600000000001,0.2566466666666667,0.4777799999999999,0.4060200000000002,0.5002000000000002,0.2714333333333334,0.38841333333333333,0.9826933333333333,0.7079600000000003,0.3495133333333335,0.4457200000000002,0.7088800000000001,1.0494066666666664,1.342486666666667,1.1270799999999999,0.7608666666666667,0.7324066666666667,0.3248733333333333
FH_CU_scenario_low,0.30525333333333365,0.38489666666666644,0.8594333333333335,1.3270840000000008,0.3111100000000001,0.32633600000000035,0.06651333333333335,0.1665066666666667,0.0,0.07989999999999998,0.0,0.18018999999999996,0.7425066666666663,0.6332133333333334,0.2678599999999999,0.32552333333333344,0.35880666666666666,0.42757000000000006,0.27911333333333355,0.3962366666666672,0.34815,0.40828666666666696,0.932183333333333,0.6258879999999997,0.3458100000000002,0.4466266666666668,0.6764333333333334,0.9209766666666667,1.293246666666667,1.1415999999999997,0.7167679999999998,0.5758000000000002,0.3154766666666668
FH_CU_scenario_mid,0.2749919999999997,0.36658799999999997,0.7946080000000003,1.2248750000000002,0.3070280000000005,0.30370999999999976,0.060308000000000014,0.11788666666666667,0.07989999999999998,0.0,0.07989999999999998,0.14923999999999993,0.8273879999999999,0.5995066666666667,0.182996,0.3069520000000001,0.29853999999999986,0.44180000000000025,0.2768319999999998,0.3951040000000002,0.31647999999999965,0.31230000000000013,1.0331039999999994,0.657525,0.335636,0.4235520000000004,0.6994959999999993,0.9507440000000004,1.3711200000000003,1.165106666666666,0.7084849999999997,0.6332839999999994,0.303788
FH_CU_select,0.30525333333333365,0.38489666666666644,0.8594333333333335,1.3270840000000008,0.3111100000000001,0.32633600000000035,0.06651333333333335,0.1665066666666667,0.0,0.07989999999999998,0.0,0.18018999999999996,0.7425066666666663,0.6332133333333334,0.2678599999999999,0.32552333333333344,0.35880666666666666,0.42757000000000006,0.27911333333333355,0.3962366666666672,0.34815,0.40828666666666696,0.932183333333333,0.6258879999999997,0.3458100000000002,0.4466266666666668,0.6764333333333334,0.9209766666666667,1.293246666666667,1.1415999999999997,0.7167679999999998,0.5758000000000002,0.3154766666666668
FH_Covid19Sim_Simulator,0.012569999999999984,0.08521,0.9680599999999997,1.5577000000000003,0.21296999999999996,0.013920000000000004,0.09519999999999999,,0.18018999999999996,0.14923999999999993,0.18018999999999996,0.0,0.60858,,0.04604999999999998,0.1146,0.009110000000000002,0.38928999999999997,0.11883999999999999,0.01975999999999999,0.01503999999999999,0.3951100000000001,1.0153000000000005,0.69178,0.12315,0.37584000000000023,0.6419200000000003,1.2244099999999998,1.6564399999999997,1.33676,0.7437800000000001,0.45121000000000033,0.07054000000000002
FH_CovidAnalytics_DELPHI,0.8888300000000006,0.7937899999999996,0.8211700000000001,1.1616760000000004,0.6898266666666666,0.9882600000000002,0.7873633333333332,1.1292733333333338,0.7425066666666663,0.8273879999999999,0.7425066666666663,0.60858,0.0,1.1746933333333334,0.8355999999999998,0.8896766666666668,0.9719099999999989,0.7827799999999999,0.7077666666666667,0.9132499999999999,0.963856666666666,0.8696933333333328,0.7328033333333331,0.5305000000000003,0.8679700000000007,0.8407533333333328,0.9269866666666668,0.6610099999999999,0.8384666666666666,0.804253333333333,0.8525840000000007,0.7709266666666663,0.9415033333333327
