,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IQVIA_ACOE_STAN,FH_IowaStateLW_STEM,FH_JCB_PRM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MSRA_DeepST,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,FH_UVA_Ensemble,USC_SI_kJalpha,USC_SI_kJalpha_RF,ensemble_SIkJa_RF
FH_BPagano_RtDriven,0.0,0.7274959999999993,1.5647800000000007,0.3374266666666673,0.46628666666666674,0.45755000000000007,0.42648000000000064,0.4334266666666666,0.42195000000000055,0.5391080000000003,0.5617966666666668,0.4520933333333334,0.5244766666666666,0.5245799999999998,0.7160599999999999,0.7490033333333336,0.5745866666666668,0.44200666666666677,0.5302499999999997,0.48180000000000023,0.48286000000000007,0.3948200000000003,0.44966333333333314,0.36352333333333336,0.5720399999999998,0.53708,0.61054,0.4910533333333335,0.5876699999999992,0.6843366666666661,0.4996160000000001,0.5367200000000003,0.7093733333333335,0.44758000000000014,0.5155666666666665,0.59434,0.4478800000000001
FH_CEID_Walk,0.7274959999999993,0.0,1.4071840000000002,0.73414,0.7725719999999999,0.7673439999999996,0.7619320000000004,0.7624640000000004,0.7727080000000003,0.7487750000000001,0.7234040000000005,0.7630520000000002,0.7946800000000003,0.8309799999999998,,0.695728,0.7563519999999996,0.7455319999999998,0.7877519999999998,0.7610149999999996,0.8217533333333333,0.8035439999999991,0.7551559999999999,0.7733279999999996,0.7271399999999999,0.6985800000000002,0.7294133333333334,0.7223559999999998,0.8017879999999997,0.6929239999999993,0.7789799999999996,0.7714333333333334,0.7362599999999998,0.6583699999999999,0.698692,0.9355000000000001,0.7941000000000001
FH_COVIDhub_baseline,1.5647800000000007,1.4071840000000002,0.0,1.5415666666666665,1.5695199999999978,1.5686299999999982,1.57768,1.56368,1.583303333333333,1.4807199999999996,1.5322633333333309,1.6075300000000003,1.5805533333333315,1.5509400000000004,1.5471999999999997,1.3662033333333319,1.5623566666666604,1.5194899999999978,1.5654199999999998,1.5742599999999976,1.5459249999999987,1.5546133333333292,1.5799966666666658,1.5852466666666662,1.629484,1.7207300000000003,1.596125000000001,1.5857999999999988,1.5049366666666641,1.563103333333331,1.5597119999999969,1.5251466666666678,1.5867800000000012,1.689704000000001,1.530829999999997,1.5957599999999996,1.5939600000000012
FH_COVIDhub_ensemble,0.3374266666666673,0.73414,1.5415666666666665,0.0,0.3508533333333335,0.3248166666666668,0.31119333333333343,0.28604666666666667,0.31408666666666674,0.4552120000000002,0.5294133333333335,0.32990666666666657,0.4799066666666667,0.2726,0.78664,0.8130366666666666,0.4799599999999999,0.3050066666666668,0.3848233333333335,0.3382800000000001,0.19535999999999987,0.19340666666666656,0.3131233333333334,0.18610666666666675,0.4894480000000001,0.4879000000000001,0.5522900000000004,0.47083999999999976,0.4911533333333336,0.7501666666666662,0.3245600000000002,0.44383333333333336,0.8340933333333331,0.41851999999999995,0.5061799999999999,0.2612999999999999,0.29047000000000023
FH_CU_nochange,0.46628666666666674,0.7725719999999999,1.5695199999999978,0.3508533333333335,0.0,0.043906666666666656,0.06287,0.15150333333333327,0.062083333333333324,0.4750080000000005,0.673603333333333,0.42904333333333367,0.6567099999999995,0.4329200000000001,0.8992200000000001,0.7484200000000002,0.6890966666666659,0.5251599999999995,0.6029666666666667,0.5125720000000001,0.38774000000000014,0.41063333333333335,0.4685366666666667,0.3585466666666669,0.6314960000000003,0.4024299999999998,0.6813700000000005,0.45979666666666713,0.5762300000000002,0.798526666666666,0.5543079999999999,0.6437466666666668,0.44846666666666657,0.5010200000000001,0.5181433333333335,0.26377999999999996,0.44387333333333334
FH_CU_scenario_high,0.45755000000000007,0.7673439999999996,1.5686299999999982,0.3248166666666668,0.043906666666666656,0.0,0.07723999999999998,0.08994000000000002,0.07364999999999998,0.46534000000000014,0.6629533333333338,0.4167033333333335,0.6296033333333332,0.40258999999999995,0.87338,0.7761433333333334,0.6434399999999996,0.5006999999999999,0.5656800000000001,0.473916,0.34505,0.36762000000000006,0.4517300000000002,0.34235666666666675,0.6040800000000001,0.42637,0.6446750000000001,0.4826333333333336,0.5861266666666669,0.7948233333333328,0.49772399999999994,0.6041466666666665,0.5040733333333334,0.51416,0.5097300000000003,0.24091999999999994,0.39285333333333355
FH_CU_scenario_low,0.42648000000000064,0.7619320000000004,1.57768,0.31119333333333343,0.06287,0.07723999999999998,0.0,0.11915999999999995,0.009086666666666665,0.48360000000000003,0.6585000000000002,0.40543666666666667,0.6591399999999996,0.42056,0.8877999999999997,0.7326066666666667,0.6855133333333333,0.5000733333333333,0.5740399999999999,0.49881200000000014,0.35866000000000015,0.3852999999999998,0.3934533333333334,0.3221866666666668,0.6388479999999997,0.41641999999999996,0.6969000000000003,0.39534666666666685,0.572756666666666,0.8016966666666658,0.5324959999999996,0.5914533333333333,0.4258866666666665,0.5042800000000001,0.4931899999999995,0.22893999999999998,0.44226666666666686
FH_CU_scenario_mid,0.4334266666666666,0.7624640000000004,1.56368,0.28604666666666667,0.15150333333333327,0.08994000000000002,0.11915999999999995,0.0,0.1100733333333333,0.45518000000000003,0.6779533333333325,0.4134200000000003,0.5787733333333334,0.3505300000000001,0.7523599999999998,0.8151766666666663,0.5720366666666662,0.47200000000000025,0.48391333333333286,0.41880000000000006,0.26926500000000003,0.30475333333333365,0.4066933333333333,0.3020466666666668,0.5673160000000002,0.49474000000000024,0.6548900000000001,0.4973099999999999,0.6060033333333327,0.81909,0.41961600000000004,0.53358,0.5907333333333338,0.5224599999999999,0.5192033333333338,0.2199999999999999,0.32920000000000016
FH_CU_select,0.42195000000000055,0.7727080000000003,1.583303333333333,0.31408666666666674,0.062083333333333324,0.07364999999999998,0.009086666666666665,0.1100733333333333,0.0,0.4698919999999999,0.6518800000000002,0.4018766666666666,0.6466899999999995,0.42056,0.8877999999999997,0.7385666666666667,0.6842366666666667,0.5083000000000001,0.5716433333333332,0.49881200000000014,0.3526350000000001,0.38160999999999984,0.3993766666666667,0.3235133333333333,0.6378319999999997,0.41641999999999996,0.6969000000000003,0.4008966666666669,0.5645199999999995,0.7990999999999993,0.5296159999999996,0.6032,0.4258866666666665,0.5042800000000001,0.4916199999999996,0.2199999999999999,0.43177000000000004
FH_Covid19Sim_Simulator,0.5391080000000003,0.7487750000000001,1.4807199999999996,0.4552120000000002,0.4750080000000005,0.46534000000000014,0.48360000000000003,0.45518000000000003,0.4698919999999999,0.0,0.6222919999999997,0.6608599999999996,0.6461319999999997,0.33503999999999984,0.6618,0.7572560000000002,0.7248919999999995,0.5782599999999999,0.7071599999999997,0.5828450000000002,0.41479333333333346,0.4373920000000003,0.6238840000000002,0.4613919999999998,0.8136549999999997,0.5516600000000002,0.851635,0.5952679999999996,0.5459879999999999,0.7651760000000001,0.72214,0.58527,0.5181900000000002,0.576835,0.5058120000000003,0.5767800000000001,0.5546920000000002
