,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IUPUI_HkPrMobiDyR,FH_IowaStateLW_STEM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_SigSci_TS,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
FH_BPagano_RtDriven,0.0,0.9217566666666672,1.5069766666666666,0.7252120000000003,0.6787166666666665,0.6380966666666665,0.6999200000000008,0.7082833333333329,0.6914299999999995,0.6616433333333326,0.8400566666666668,0.5953300000000001,0.6124766666666669,0.6720866666666664,0.7618479999999992,1.0817699999999997,0.6257533333333334,0.6690033333333332,0.5285200000000003,0.6626966666666665,0.5457666666666671,0.7257033333333334,0.5773600000000002,0.7228666666666669,0.5375433333333338,0.5602233333333336,0.8407666666666663,1.065815,0.9202766666666667,0.7193299999999999,0.7451499999999998,0.638143333333334,0.7901733333333332
FH_CEID_Walk,0.9217566666666672,0.0,1.0008366666666668,0.8304920000000005,0.9838766666666663,0.970903333333332,1.0014333333333332,0.9794300000000002,0.9821033333333334,0.9865066666666663,1.0080000000000005,0.9608899999999998,1.0081733333333325,0.8886866666666666,0.9853079999999999,0.8561999999999999,0.96932,0.875133333333334,0.8265299999999999,0.9210366666666661,1.0113799999999997,0.9414400000000003,0.909946666666667,0.8482733333333332,0.9006699999999991,0.9523100000000001,0.9926566666666659,0.9085850000000002,0.9375400000000002,1.0180800000000003,0.8952466666666674,0.9656766666666664,0.9723300000000002
FH_COVIDhub_baseline,1.5069766666666666,1.0008366666666668,0.0,1.2433400000000001,1.4474299999999982,1.4658799999999992,1.4468899999999991,1.4004800000000004,1.414046666666667,1.465956666666666,1.552216666666664,1.52394,1.5519699999999994,1.2693866666666662,1.6324719999999997,0.9930533333333336,1.4657099999999994,1.1623299999999985,1.3154766666666666,1.3274333333333312,1.5097800000000001,1.3258900000000005,1.3017733333333332,1.2315233333333329,1.475679999999999,1.6072966666666677,1.5104100000000005,0.6169749999999999,1.3353266666666663,1.5670699999999997,1.3700166666666653,1.5864066666666685,1.5130299999999992
FH_COVIDhub_ensemble,0.7252120000000003,0.8304920000000005,1.2433400000000001,0.0,0.5681520000000002,0.5343400000000001,0.5468840000000004,0.6418600000000001,0.5295240000000004,0.6400480000000001,0.6411160000000001,0.7092499999999999,0.8585320000000002,0.5012360000000002,0.8429599999999997,0.7290200000000006,0.5416759999999999,0.8364359999999997,0.848076,0.5709720000000003,0.9280160000000002,0.7720560000000004,0.6557560000000001,0.561696,0.7255959999999997,0.7650039999999998,0.5783800000000002,0.8457649999999997,0.6356240000000004,0.9223200000000003,0.8418719999999998,0.5399559999999998,0.5383879999999994
FH_CU_nochange,0.6787166666666665,0.9838766666666663,1.4474299999999982,0.5681520000000002,0.0,0.1658766666666667,0.15489666666666663,0.15070000000000008,0.10147666666666669,0.6914366666666665,0.6159199999999996,0.6661100000000002,0.7796066666666666,0.7076833333333336,0.7423479999999999,0.7989933333333331,0.6009133333333329,0.7952399999999997,0.7552333333333331,0.7247066666666668,0.6709166666666664,0.6741933333333341,0.6413199999999998,0.6166699999999998,0.7084266666666668,0.7840666666666662,0.5922000000000001,0.9288900000000004,0.6960966666666666,0.86277,0.8347100000000002,0.6040166666666668,0.43977666666666676
FH_CU_scenario_high,0.6380966666666665,0.970903333333332,1.4658799999999992,0.5343400000000001,0.1658766666666667,0.0,0.28573666666666664,0.28276999999999985,0.19598666666666673,0.6692900000000002,0.6443866666666668,0.6760899999999999,0.7735566666666666,0.6426000000000004,0.7387719999999998,0.8580799999999997,0.6092233333333333,0.8237266666666666,0.6716466666666666,0.6703333333333331,0.6598666666666658,0.6542700000000004,0.6437199999999996,0.6499033333333329,0.6812900000000001,0.6899899999999999,0.6268999999999993,0.9601999999999999,0.7306033333333329,0.8531000000000004,0.7552166666666668,0.6331999999999994,0.481243333333333
FH_CU_scenario_low,0.6999200000000008,1.0014333333333332,1.4468899999999991,0.5468840000000004,0.15489666666666663,0.28573666666666664,0.0,0.18288999999999986,0.08067333333333342,0.6428899999999997,0.5189566666666668,0.7254200000000002,0.7483233333333331,0.7538033333333334,0.7735800000000003,0.6963400000000004,0.5459266666666667,0.8088066666666669,0.8258433333333332,0.7050299999999998,0.7157333333333328,0.7227666666666664,0.6544366666666661,0.5714366666666667,0.7856700000000001,0.831523333333333,0.48903333333333326,0.9649449999999995,0.6150366666666667,0.9222599999999999,0.8809200000000003,0.5871300000000003,0.34262333333333317
FH_CU_scenario_mid,0.7082833333333329,0.9794300000000002,1.4004800000000004,0.6418600000000001,0.15070000000000008,0.28276999999999985,0.18288999999999986,0.0,0.10221666666666664,0.76449,0.715026666666667,0.7410399999999998,0.7792566666666665,0.7670766666666663,0.8164160000000005,0.8214766666666669,0.6224166666666667,0.7407366666666657,0.7495533333333333,0.7503699999999998,0.6012833333333332,0.6199300000000003,0.6057833333333332,0.6886899999999999,0.7134433333333331,0.8168566666666663,0.6810533333333328,0.9323599999999996,0.7838666666666664,0.9586599999999998,0.7977599999999992,0.6730533333333337,0.49486666666666584
FH_CU_select,0.6914299999999995,0.9821033333333334,1.414046666666667,0.5295240000000004,0.10147666666666669,0.19598666666666673,0.08067333333333342,0.10221666666666664,0.0,0.679526666666667,0.6083733333333338,0.7254200000000002,0.7524500000000003,0.7033833333333331,0.8164040000000004,0.7726666666666667,0.582033333333333,0.7840366666666658,0.7793766666666669,0.7057599999999999,0.6828666666666667,0.6717366666666668,0.6249466666666667,0.6200666666666667,0.7565266666666662,0.7942133333333328,0.5637933333333334,0.9338949999999991,0.68377,0.9222599999999999,0.8364633333333326,0.6081366666666669,0.4012666666666666
FH_Covid19Sim_Simulator,0.6616433333333326,0.9865066666666663,1.465956666666666,0.6400480000000001,0.6914366666666665,0.6692900000000002,0.6428899999999997,0.76449,0.679526666666667,0.0,0.5094,0.6972299999999998,0.7867033333333335,0.8245233333333335,0.7445960000000003,0.720556666666666,0.5794733333333328,0.9429199999999999,0.8619899999999999,0.7552266666666663,0.8517433333333332,0.9050500000000004,0.8218066666666664,0.557493333333333,0.7863133333333333,0.8264066666666665,0.49315666666666697,1.05334,0.5726666666666673,0.7168999999999999,0.8702000000000002,0.6101700000000007,0.5510266666666668
