,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IUPUI_HkPrMobiDyR,FH_IowaStateLW_STEM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_SigSci_TS,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha,ensemble_SIkJa_RF
COVID_Hub_Trained_Ensemble,0.0,0.6521999999999996,0.7892440000000007,1.5372440000000003,0.6638799999999997,0.08452800000000003,0.7392720000000003,0.7423360000000002,0.771624,0.7585479999999994,0.7478679999999996,0.6572519999999998,0.6077439999999998,0.6352200000000001,0.5834760000000002,0.6960919999999992,0.9144600000000002,1.0001550000000006,0.6496279999999994,0.765096,0.6087280000000002,0.6506679999999999,0.7121639999999996,0.72314,0.6603400000000006,0.6578039999999996,0.649592,0.5874840000000003,0.27543999999999996,0.6604560000000003,0.8498000000000004,0.6472400000000003,0.80919,0.675948,0.5719000000000001,0.6936639999999994,0.8305999999999999
FH_BPagano_RtDriven,0.6521999999999996,0.0,0.7665833333333336,1.5412000000000001,0.10380666666666666,0.7571839999999995,0.53955,0.5792066666666668,0.5279,0.6341533333333333,0.5947066666666666,0.14037666666666668,0.13356999999999997,0.6173960000000003,0.3704733333333334,0.13662333333333335,1.35258,0.7058239999999997,0.17311666666666678,1.0324966666666664,0.4286100000000001,0.08893999999999998,0.1308933333333333,0.6990466666666666,0.1543366666666666,0.10655666666666672,0.15527666666666665,0.24269333333333334,0.8690999999999993,0.06881000000000002,0.8037166666666671,0.07718333333333334,0.58856,0.6627966666666666,0.18802800000000003,0.15726000000000007,0.38444
FH_CEID_Walk,0.7892440000000007,0.7665833333333336,0.0,1.3763666666666663,0.7239699999999996,0.8077560000000007,0.7446033333333327,0.7563433333333331,0.7599833333333333,0.7523333333333331,0.7647599999999998,0.7540366666666662,0.7286633333333331,0.7218839999999999,0.7206566666666667,0.7233600000000001,0.80842,0.9049319999999996,0.7223499999999997,0.7568066666666661,0.7428933333333335,0.7326933333333336,0.7384366666666666,0.7148966666666668,0.7233199999999997,0.7407300000000002,0.6941700000000004,0.7368733333333335,0.8214000000000002,0.7342033333333338,0.9044366666666671,0.7374899999999991,0.7427720000000001,0.6911166666666664,0.7356720000000002,0.7168266666666664,0.6419999999999999
FH_COVIDhub_baseline,1.5372440000000003,1.5412000000000001,1.3763666666666663,0.0,1.530783333333334,1.5316200000000009,1.5329600000000008,1.54013,1.4694733333333323,1.5312333333333341,1.527243333333334,1.5558633333333307,1.5606033333333316,1.5802319999999987,1.59059,1.4884099999999987,1.5518799999999997,0.8403440000000002,1.5707133333333319,1.30017,1.4586466666666658,1.5377933333333325,1.5295433333333326,1.5497900000000007,1.4801833333333339,1.5307099999999987,1.5411233333333336,1.6261533333333336,1.5954233333333336,1.555829999999999,0.8491099999999999,1.543126666666665,1.5595560000000002,1.4181899999999985,1.5852119999999998,1.4940333333333329,1.59366
FH_COVIDhub_ensemble,0.6638799999999997,0.10380666666666666,0.7239699999999996,1.530783333333334,0.0,0.7695039999999996,0.5029300000000002,0.5456499999999999,0.49652333333333304,0.6052233333333332,0.5654033333333335,0.09795333333333339,0.12276999999999996,0.6140120000000002,0.37489666666666693,0.06906999999999996,1.3660400000000001,0.69868,0.14211666666666667,1.0194266666666665,0.4282133333333335,0.06509333333333332,0.10361333333333332,0.6651299999999997,0.11392000000000005,0.0935533333333333,0.12359000000000006,0.23279333333333327,0.8713599999999997,0.051666666666666645,0.7614733333333338,0.059976666666666664,0.5690880000000001,0.6526133333333333,0.15748399999999999,0.10319000000000003,0.33283999999999997
FH_COVIDhub_trained_ensemble,0.08452800000000003,0.7571839999999995,0.8077560000000007,1.5316200000000009,0.7695039999999996,0.0,0.8180560000000001,0.8159560000000001,0.8469720000000001,0.8284239999999993,0.8177439999999994,0.7613720000000005,0.7129119999999999,0.6352200000000001,0.635588,0.8018319999999995,0.9144600000000002,1.1153950000000004,0.7333239999999995,0.7785919999999998,0.6334840000000003,0.7572120000000001,0.8175679999999997,0.7806239999999998,0.7681800000000006,0.76314,0.7551279999999998,0.6920280000000003,0.3232399999999999,0.7662040000000006,0.9160760000000002,0.7526240000000004,0.80919,0.7354440000000003,0.6583649999999999,0.8003439999999996,0.8305999999999999
FH_CU_nochange,0.7392720000000003,0.53955,0.7446033333333327,1.5329600000000008,0.5029300000000002,0.8180560000000001,0.0,0.036066666666666664,0.09632666666666675,0.11186666666666674,0.10586000000000001,0.5010933333333334,0.5088400000000003,0.8039879999999993,0.5943500000000003,0.5281066666666674,1.2626399999999998,0.8973880000000003,0.5003733333333338,0.8388700000000003,0.6550400000000004,0.5445400000000006,0.5032700000000004,0.5089566666666668,0.5154033333333333,0.5286366666666669,0.5038866666666667,0.5271866666666666,0.7454633333333334,0.5122633333333336,0.7239099999999999,0.5218533333333334,0.7268920000000001,0.7161133333333334,0.47859200000000024,0.5062333333333336,0.7599400000000002
FH_CU_scenario_high,0.7423360000000002,0.5792066666666668,0.7563433333333331,1.54013,0.5456499999999999,0.8159560000000001,0.036066666666666664,0.0,0.1201166666666667,0.050199999999999946,0.06142999999999995,0.5483166666666662,0.5489233333333337,0.8132839999999996,0.6200566666666667,0.5735633333333334,1.22594,0.9233080000000001,0.5453100000000003,0.8205833333333333,0.6842199999999998,0.5895766666666667,0.5377,0.4717633333333333,0.5504766666666667,0.5667866666666667,0.5466433333333335,0.5588500000000003,0.719873333333333,0.5567733333333337,0.7310733333333335,0.56662,0.718076,0.6932966666666665,0.5203920000000001,0.5545799999999994,0.78152
FH_CU_scenario_low,0.771624,0.5279,0.7599833333333333,1.4694733333333323,0.49652333333333304,0.8469720000000001,0.09632666666666675,0.1201166666666667,0.0,0.1618466666666669,0.12185333333333336,0.5017933333333335,0.5135766666666663,0.7921919999999996,0.6193333333333333,0.5183933333333332,1.2687799999999998,0.8452559999999997,0.5020566666666665,0.864676666666666,0.6353900000000001,0.5398799999999996,0.494673333333333,0.5545633333333332,0.5041333333333337,0.5359466666666672,0.5124600000000001,0.5499700000000003,0.8137133333333333,0.5133233333333335,0.7184333333333333,0.5191366666666669,0.726804,0.7109199999999999,0.49585599999999974,0.48866000000000026,0.7120000000000001
FH_CU_scenario_mid,0.7585479999999994,0.6341533333333333,0.7523333333333331,1.5312333333333341,0.6052233333333332,0.8284239999999993,0.11186666666666674,0.050199999999999946,0.1618466666666669,0.0,0.03999333333333334,0.6155066666666668,0.6088066666666667,0.8197080000000001,0.6580233333333335,0.6292700000000001,1.2107999999999997,0.9344839999999993,0.6101500000000003,0.796883333333333,0.7271366666666669,0.6490366666666667,0.5991766666666667,0.4581633333333332,0.6017800000000002,0.624533333333333,0.6003266666666666,0.5989200000000003,0.6960933333333332,0.6226733333333329,0.7552066666666672,0.6295666666666662,0.7400439999999993,0.6963066666666664,0.5729520000000003,0.6145799999999997,0.7791400000000002
