,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IUPUI_HkPrMobiDyR,FH_IowaStateLW_STEM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_SigSci_TS,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
COVID_Hub_Trained_Ensemble,0.0,0.3283,0.8039200000000001,1.15344,0.30957999999999997,0.0,0.33157999999999993,0.52994,0.3623799999999999,0.3251,0.3251,0.58796,0.33260000000000006,,0.7443199999999999,0.86658,,,0.3260200000000001,0.15326,0.7797,0.5425800000000001,0.7559199999999998,0.30463999999999997,0.59342,0.21645999999999999,0.8019799999999998,0.5080200000000001,0.87204,,0.32552,,0.3792399999999999,0.6648,0.90354,0.40413999999999994,0.28096
FH_BPagano_RtDriven,0.3283,0.0,0.9523900000000003,1.4982266666666668,0.6312639999999999,0.3283,0.6347766666666661,0.6319866666666663,0.6366300000000009,0.643966666666666,0.6559899999999994,0.6280133333333331,0.77973,0.6409,0.6501833333333333,0.7234933333333334,0.8105249999999993,1.0707399999999998,0.5303733333333336,0.5440999999999994,0.4757799999999999,0.6447399999999998,0.6263800000000002,0.4113133333333334,0.6532633333333334,0.467326666666667,0.7602199999999999,0.7025500000000001,0.5244866666666664,0.5529400000000005,0.7786766666666665,1.042933333333334,0.9127933333333327,0.67443,0.6931766666666663,0.5851500000000004,0.7171166666666662
FH_CEID_Walk,0.8039200000000001,0.9523900000000003,0.0,1.0020966666666666,0.8845680000000007,0.8039200000000001,0.9898266666666664,0.9708333333333339,1.0150100000000002,0.9673066666666665,0.9759633333333331,1.0053133333333335,1.0163666666666666,0.9686399999999996,0.9982133333333335,0.9023766666666672,0.9762600000000005,0.8426560000000003,0.9995266666666667,0.8747633333333332,0.8567533333333331,0.9338033333333324,0.8706599999999998,1.0192399999999995,0.9360466666666671,0.9286933333333334,0.8302600000000001,0.8334699999999994,0.9146333333333329,0.933728000000001,0.9959633333333333,0.9022999999999998,0.9305566666666671,1.0054500000000002,0.9086866666666674,0.9745466666666668,1.003783333333333
FH_COVIDhub_baseline,1.15344,1.4982266666666668,1.0020966666666666,0.0,1.2989080000000002,1.15344,1.4380033333333317,1.45965,1.463696666666666,1.4049200000000004,1.4051900000000002,1.4720999999999995,1.5539333333333316,1.5608399999999998,1.5518000000000003,1.2190333333333327,1.63964,1.1041560000000004,1.4793633333333334,1.166116666666666,1.36555,1.3305999999999982,1.6878199999999994,1.4915066666666668,1.30187,1.3206166666666668,1.3511199999999999,1.1717733333333322,1.473816666666664,1.6055439999999999,1.5112166666666662,0.6107933333333333,1.2585966666666666,1.5488300000000004,1.3469399999999987,1.5932766666666676,1.526023333333332
FH_COVIDhub_ensemble,0.30957999999999997,0.6312639999999999,0.8845680000000007,1.2989080000000002,0.0,0.30957999999999997,0.5434719999999997,0.5473279999999999,0.4959920000000002,0.5789559999999999,0.5149000000000002,0.6109080000000008,0.5553800000000003,0.9975999999999999,0.8607199999999999,0.6378400000000003,0.8674400000000003,0.7122300000000004,0.45658000000000004,0.6687519999999999,0.8073439999999997,0.567532,0.52804,0.7127199999999999,0.6958799999999998,0.5637119999999999,0.7008399999999998,0.5613839999999998,0.7125919999999992,0.7725599999999997,0.4922280000000003,0.8275133333333333,0.6236640000000002,0.76397,0.7611479999999996,0.4759720000000003,0.4795720000000001
FH_COVIDhub_trained_ensemble,0.0,0.3283,0.8039200000000001,1.15344,0.30957999999999997,0.0,0.33157999999999993,0.52994,0.3623799999999999,0.3251,0.3251,0.58796,0.33260000000000006,,0.7443199999999999,0.86658,,,0.3260200000000001,0.15326,0.7797,0.5425800000000001,0.7559199999999998,0.30463999999999997,0.59342,0.21645999999999999,0.8019799999999998,0.5080200000000001,0.87204,,0.32552,,0.3792399999999999,0.6648,0.90354,0.40413999999999994,0.28096
FH_CU_nochange,0.33157999999999993,0.6347766666666661,0.9898266666666664,1.4380033333333317,0.5434719999999997,0.33157999999999993,0.0,0.21196666666666672,0.1611166666666668,0.11977000000000008,0.09364,0.6656333333333336,0.5607033333333333,0.71918,0.7826899999999998,0.7798466666666668,0.7584249999999996,0.7366120000000005,0.5539733333333329,0.6772933333333326,0.7221633333333335,0.7135866666666666,0.6407000000000003,0.59312,0.6464000000000005,0.5655966666666665,0.7536399999999998,0.611906666666667,0.7638100000000002,0.777328,0.5385633333333336,0.9373133333333336,0.6836733333333335,0.74225,0.8124966666666672,0.5581433333333339,0.42884000000000033
FH_CU_scenario_high,0.52994,0.6319866666666663,0.9708333333333339,1.45965,0.5473279999999999,0.52994,0.21196666666666672,0.0,0.3380000000000001,0.28160999999999997,0.22043000000000007,0.6770966666666667,0.6285433333333336,0.7605999999999998,0.7682066666666667,0.67292,0.7540249999999997,0.8047360000000001,0.6046433333333326,0.7405033333333333,0.6248466666666668,0.6679899999999994,0.49800000000000005,0.6136366666666667,0.6152933333333335,0.6076533333333336,0.7208999999999999,0.6670266666666659,0.7163700000000001,0.6667160000000002,0.6134466666666664,0.9759266666666672,0.7517899999999997,0.71886,0.7377499999999995,0.6177166666666665,0.5075033333333334
FH_CU_scenario_low,0.3623799999999999,0.6366300000000009,1.0150100000000002,1.463696666666666,0.4959920000000002,0.3623799999999999,0.1611166666666668,0.3380000000000001,0.0,0.1813999999999999,0.11527000000000015,0.6099833333333333,0.43341333333333354,0.8397999999999999,0.7378566666666663,0.84521,0.7747599999999999,0.6157800000000005,0.4754000000000003,0.6844166666666667,0.7907866666666663,0.6949199999999998,0.6454199999999999,0.612026666666666,0.7116433333333335,0.587896666666666,0.78384,0.5520100000000004,0.8130566666666663,0.829948,0.4068833333333336,0.9776200000000004,0.584386666666666,0.74536,0.8512666666666665,0.5161833333333334,0.32144333333333336
FH_CU_scenario_mid,0.3251,0.643966666666666,0.9673066666666665,1.4049200000000004,0.5789559999999999,0.3251,0.11977000000000008,0.28160999999999997,0.1813999999999999,0.0,0.06612999999999997,0.7164400000000002,0.6284299999999999,0.6482600000000001,0.7431766666666674,0.8017666666666664,0.8132300000000003,0.7760719999999997,0.5663666666666661,0.6315400000000001,0.7258433333333331,0.7218566666666666,0.6917,0.5446300000000003,0.5975866666666666,0.5455433333333334,0.7400000000000001,0.6438166666666667,0.7780999999999999,0.8075239999999998,0.5953500000000003,0.9564266666666663,0.7280866666666664,0.75499,0.7975266666666663,0.5956200000000003,0.46830000000000005
