,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_IUPUI_HkPrMobiDyR,FH_IowaStateLW_STEM,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_Microsoft_DeepSTIA,FH_OneQuietNight_ML,FH_RobertWalraven_ESG,FH_SigSci_TS,FH_TTU_squider,FH_UCLA_SuEIR,FH_UCSB_ACTS,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha,ensemble_SIkJa_RF
COVID_Hub_Trained_Ensemble,0.0,0.7837399999999998,0.79112,1.5699,0.7887000000000001,0.10566000000000005,0.6876300000000002,0.6843250000000001,0.7283399999999999,0.6905649999999998,0.6772149999999999,0.7715350000000001,0.7331699999999997,0.7194,0.6566700000000004,0.8064349999999991,0.9144600000000002,0.9667066666666673,0.7562249999999997,0.69285,0.6694150000000004,0.7859400000000002,0.7987549999999995,0.626775,0.7907750000000004,0.7854799999999994,0.7480300000000001,0.6788650000000005,0.19633499999999995,0.7997950000000007,0.7991900000000003,0.7824600000000005,0.7839999999999998,,0.6572350000000001,0.67314,0.7843799999999997,0.8305999999999999
FH_BPagano_RtDriven,0.7837399999999998,0.0,0.6836366666666661,1.5681599999999996,0.03675599999999999,0.9149699999999997,0.4812800000000001,0.5320360000000004,0.4313880000000003,0.578316,0.53098,0.095812,0.13126400000000013,0.530035,0.3726280000000002,0.13112999999999997,1.35258,0.510435,0.09509200000000007,0.9440839999999994,0.40495600000000037,0.10254400000000015,0.11730333333333332,0.5129359999999998,0.04543999999999999,0.1768433333333333,0.07025500000000001,0.2826679999999999,0.90057,0.10086000000000021,0.6903249999999999,0.10684000000000017,0.37873000000000007,0.742,0.6733920000000001,0.2166500000000001,0.11349666666666688,0.4619999999999998
FH_CEID_Walk,0.79112,0.6836366666666661,0.0,1.413455,0.6838,0.81426,0.6938,0.6898759999999998,0.7055960000000002,0.6782119999999998,0.6931239999999996,0.7093919999999996,0.6800279999999999,0.6769949999999997,0.6671279999999999,0.6824000000000001,0.80842,0.7795099999999999,0.6829079999999998,0.7239559999999994,0.66688,0.7093759999999999,0.6767533333333331,0.6607279999999999,0.6877879999999997,0.6599366666666668,0.6875950000000004,0.6821079999999994,0.8017533333333338,0.66044,0.8397050000000005,0.6640933333333331,0.7019500000000001,0.5503399999999999,0.6531799999999999,0.6860150000000005,0.657003333333333,0.6429866666666665
FH_COVIDhub_baseline,1.5699,1.5681599999999996,1.413455,0.0,1.5618500000000006,1.5628700000000006,1.5524200000000001,1.5555249999999998,1.5109949999999994,1.5474700000000012,1.5414850000000009,1.5549699999999995,1.5658099999999993,1.5971133333333327,1.6080349999999997,1.55075,1.5518799999999997,0.9702066666666663,1.5752600000000003,1.3357750000000002,1.5250549999999998,1.5509350000000015,1.5735349999999995,1.5965799999999999,1.5535000000000008,1.5540100000000001,1.559475000000001,1.6205650000000005,1.58953,1.568940000000001,0.9743999999999998,1.555134999999999,1.5484933333333335,,1.4454299999999989,1.5976133333333338,1.538374999999999,1.59366
FH_COVIDhub_ensemble,0.7887000000000001,0.03675599999999999,0.6838,1.5618500000000006,0.0,0.92073,0.4585040000000006,0.5085600000000002,0.4087680000000005,0.5573600000000005,0.5095760000000003,0.0825760000000001,0.11978000000000012,0.5090099999999999,0.38028000000000034,0.05299200000000001,1.3660400000000001,0.50855,0.076996,0.9471559999999998,0.40462000000000037,0.08656400000000014,0.03807999999999999,0.495308,0.04319999999999999,0.07832000000000011,0.06865500000000002,0.28546399999999994,0.9029359999999994,0.023915999999999975,0.67011,0.03433599999999997,0.377185,0.6985799999999999,0.6621519999999999,0.19819500000000004,0.050603999999999975,0.3485399999999999
FH_COVIDhub_trained_ensemble,0.10566000000000005,0.9149699999999997,0.81426,1.5628700000000006,0.92073,0.0,0.7861100000000001,0.7763499999999999,0.822525,0.7779099999999995,0.7645599999999996,0.901685000000001,0.8646299999999998,0.7194,0.7218100000000003,0.9386099999999996,0.9144600000000002,1.1203600000000005,0.8608449999999997,0.7097199999999998,0.7003600000000005,0.9191200000000005,0.9305099999999998,0.6986299999999998,0.9255750000000005,0.9171499999999999,0.8799499999999999,0.8095450000000005,0.25608499999999984,0.931980000000001,0.882035,0.9141900000000007,0.7839999999999998,,0.7316050000000005,0.7884266666666665,0.9177299999999999,0.8305999999999999
FH_CU_nochange,0.6876300000000002,0.4812800000000001,0.6938,1.5524200000000001,0.4585040000000006,0.7861100000000001,0.0,0.033896,0.10516400000000008,0.08866400000000008,0.08145600000000007,0.4851800000000003,0.46485200000000026,0.7112699999999995,0.516744,0.4913440000000004,1.2626399999999998,0.7611549999999998,0.46850400000000064,0.8306040000000001,0.6302360000000001,0.4682400000000007,0.4784880000000004,0.4685320000000003,0.46021200000000007,0.4524200000000002,0.4461350000000001,0.5061679999999996,0.7924720000000003,0.4636600000000003,0.62519,0.4708520000000003,0.697025,0.52858,0.7550200000000002,0.40679500000000024,0.4813000000000003,0.6791799999999998
FH_CU_scenario_high,0.6843250000000001,0.5320360000000004,0.6898759999999998,1.5555249999999998,0.5085600000000002,0.7763499999999999,0.033896,0.0,0.139156,0.036887999999999956,0.050363999999999964,0.53636,0.5069560000000003,0.7413999999999997,0.536368,0.5337159999999999,1.22594,0.7974300000000004,0.5173080000000002,0.7929400000000003,0.6497040000000001,0.51552,0.5245080000000001,0.44120000000000015,0.5064080000000001,0.4943480000000004,0.48541500000000015,0.539008,0.7647799999999999,0.5133800000000007,0.6232700000000002,0.5211159999999999,0.7273549999999998,0.53594,0.7255439999999997,0.44034500000000015,0.5327,0.7127600000000003
FH_CU_scenario_low,0.7283399999999999,0.4313880000000003,0.7055960000000002,1.5109949999999994,0.4087680000000005,0.822525,0.10516400000000008,0.139156,0.0,0.16839999999999966,0.12040800000000018,0.43473200000000006,0.43043200000000004,0.6563400000000001,0.5272760000000004,0.45828400000000025,1.2687799999999998,0.6856199999999996,0.43256000000000033,0.8389039999999995,0.57108,0.4260400000000003,0.4328000000000003,0.5241720000000003,0.42671600000000043,0.4293640000000005,0.42573,0.47338400000000036,0.848472,0.4236000000000006,0.6635900000000001,0.42354800000000015,0.63947,0.5023999999999997,0.7570760000000003,0.3888650000000002,0.43512000000000034,0.62495
FH_CU_scenario_mid,0.6905649999999998,0.578316,0.6782119999999998,1.5474700000000012,0.5573600000000005,0.7779099999999995,0.08866400000000008,0.036887999999999956,0.16839999999999966,0.0,0.04799200000000001,0.5842039999999997,0.5482959999999991,0.7421750000000001,0.5534639999999998,0.5823279999999991,1.2107999999999997,0.8120750000000004,0.5686919999999999,0.7758120000000004,0.6747719999999995,0.5623599999999997,0.5713519999999997,0.45225999999999994,0.5593280000000006,0.5334320000000005,0.5428850000000005,0.5672040000000002,0.748396,0.5656399999999997,0.6493450000000004,0.568248,0.753015,0.5113200000000001,0.7321640000000001,0.4724050000000002,0.5832999999999998,0.70772
FH_CU_select,0.6772149999999999,0.53098,0.6931239999999996,1.5414850000000009,0.5095760000000003,0.7645599999999996,0.08145600000000007,0.050363999999999964,0.12040800000000018,0.04799200000000001,0.0,0.5340440000000001,0.5165879999999998,0.7174649999999998,0.5472600000000001,0.5358679999999996,1.2107999999999997,0.8120750000000004,0.5244720000000004,0.8080360000000001,0.6315959999999999,0.5151119999999999,0.523908,0.471776,0.5211480000000005,0.5099000000000004,0.48832500000000045,0.5513399999999999,0.7754519999999999,0.5200039999999998,0.6234150000000002,0.52454,0.69893,0.5113200000000001,0.715956,0.4172350000000003,0.53564,0.6741500000000002
FH_Covid19Sim_Simulator,0.7715350000000001,0.095812,0.7093919999999996,1.5549699999999995,0.0825760000000001,0.901685000000001,0.4851800000000003,0.53636,0.43473200000000006,0.5842039999999997,0.5340440000000001,0.0,0.1823359999999998,0.5286499999999998,0.4138520000000002,0.1019920000000001,1.3225600000000002,0.4936199999999999,0.1423,0.9272079999999999,0.40726000000000007,0.1490280000000002,0.08789600000000007,0.5081200000000002,0.09298400000000005,0.1376840000000001,0.122625,0.30726800000000004,0.8719439999999997,0.075972,0.6490600000000003,0.09443600000000014,0.3904800000000001,0.7122999999999997,0.6739760000000001,0.23817499999999991,0.10336800000000008,0.39126
FH_CovidAnalytics_DELPHI,0.7331699999999997,0.13126400000000013,0.6800279999999999,1.5658099999999993,0.11978000000000012,0.8646299999999998,0.46485200000000026,0.5069560000000003,0.43043200000000004,0.5482959999999991,0.5165879999999998,0.1823359999999998,0.0,0.529825,0.404648,0.1426320000000001,1.31226,0.5426149999999996,0.15004400000000012,0.9312440000000004,0.45805999999999986,0.16317199999999998,0.12469600000000007,0.517592,0.1393760000000001,0.170208,0.12500999999999998,0.3026160000000002,0.8674439999999995,0.12615600000000016,0.6649850000000006,0.1082520000000002,0.4422400000000002,0.6109,0.6420280000000003,0.2519900000000001,0.15332800000000005,0.4545600000000001
FH_DDS_NBDS,0.7194,0.530035,0.6769949999999997,1.5971133333333327,0.5090099999999999,0.7194,0.7112699999999995,0.7413999999999997,0.6563400000000001,0.7421750000000001,0.7174649999999998,0.5286499999999998,0.529825,0.0,0.5920800000000003,0.5549449999999997,0.5136999999999999,0.7508599999999999,0.5138499999999999,0.7975250000000004,0.591935,0.5847550000000002,0.5322199999999999,0.6686949999999997,0.5492850000000001,0.5418499999999998,0.6548133333333335,0.606925,0.6798900000000003,0.5235999999999998,0.8138066666666667,0.5096799999999999,0.5341,0.61194,0.7796400000000001,0.5303200000000002,0.5241500000000001,0.4030300000000001
FH_Google_Harvard_CPF,0.6566700000000004,0.3726280000000002,0.6671279999999999,1.6080349999999997,0.38028000000000034,0.7218100000000003,0.516744,0.536368,0.5272760000000004,0.5534639999999998,0.5472600000000001,0.4138520000000002,0.404648,0.5920800000000003,0.0,0.3781720000000001,1.1382199999999998,0.7196350000000001,0.3708240000000002,0.734896,0.5008080000000001,0.3994160000000004,0.3750000000000002,0.5701480000000001,0.369732,0.3966920000000001,0.3762650000000001,0.4301360000000001,0.7141440000000003,0.36806800000000006,0.7844899999999997,0.3967720000000001,0.5184650000000002,0.63972,0.6386519999999999,0.434585,0.40378800000000015,0.45955999999999997
