,COVID_Hub_Trained_Ensemble,FH_BPagano_RtDriven,FH_CEID_Walk,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_COVIDhub_trained_ensemble,FH_CU_nochange,FH_CU_scenario_high,FH_CU_scenario_low,FH_CU_scenario_mid,FH_CU_select,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_Google_Harvard_CPF,FH_IEM_MED_CovidProject,FH_JHUAPL_Bucky,FH_JHU_CSSE_DECOM,FH_JHU_IDD_CovidSP,FH_JHU_UNC_GAS_StatMechPool,FH_KITmetricslab_select_ensemble,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_MIT_Cassandra,FH_MIT_ISOLAT_Mixtures,FH_MOBS_GLEAM_COVID,FH_MUNI_ARIMA,FH_Microsoft_DeepSTIA,FH_RobertWalraven_ESG,FH_TTU_squider,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_UVA_Ensemble,USC_SI_kJalpha
COVID_Hub_Trained_Ensemble,0.0,0.21578666666666674,0.9733999999999996,1.5870639999999994,0.3438700000000001,0.0,0.24896000000000004,0.06081999999999998,0.35737666666666656,0.26881200000000005,0.35737666666666656,0.06621999999999996,0.784653333333333,0.546753333333334,0.13410666666666662,0.16057000000000007,0.09824333333333331,0.33012333333333366,0.30099000000000015,0.12980666666666665,0.1053366666666667,0.5290333333333336,0.8892533333333336,0.7364199999999996,0.21704999999999988,0.4647866666666669,0.6327566666666666,1.158203333333333,1.3743900000000004,1.3102500000000001,0.713132,0.41921333333333344,0.10594333333333339
FH_BPagano_RtDriven,0.21578666666666674,0.0,0.8624699999999997,1.4918719999999992,0.28952666666666693,0.24163600000000018,0.2764999999999999,0.2402199999999999,0.3684266666666671,0.2760200000000001,0.3684266666666671,0.14580666666666667,0.6882600000000002,0.626286666666667,0.28939333333333345,0.3053233333333333,0.26989,0.42892666666666657,0.29634000000000016,0.3096066666666667,0.16593666666666668,0.5019499999999998,0.9273000000000002,0.7162350000000002,0.2937066666666668,0.47925,0.71949,1.029059999999999,1.2729766666666666,1.2687800000000002,0.6678999999999999,0.4826199999999999,0.2336933333333334
FH_CEID_Walk,0.9733999999999996,0.8624699999999997,0.0,1.0944439999999995,0.838263333333333,0.9841559999999997,0.9166033333333333,0.9316000000000001,0.8977966666666662,0.8709719999999995,0.8977966666666662,0.94532,0.8377333333333327,0.9181333333333334,0.9789300000000009,0.9467499999999998,0.9725866666666675,0.8957333333333327,0.8689066666666664,1.0078666666666662,0.9608799999999993,0.8270299999999997,0.8818133333333334,0.7570550000000001,0.9249733333333329,0.8563866666666665,0.9678899999999999,0.783813333333333,0.7871966666666672,0.90927,0.8311479999999998,0.9676499999999997,0.9804033333333325
FH_COVIDhub_baseline,1.5870639999999994,1.4918719999999992,1.0944439999999995,0.0,1.515548,1.5879449999999997,1.5436119999999998,,1.5501279999999988,1.5557799999999997,1.5501279999999988,1.5523000000000005,1.473952,1.61313,1.5427719999999965,1.5609519999999975,1.568479999999999,1.4687319999999975,1.5377719999999988,1.5897239999999995,1.560351999999998,1.402892000000001,1.4570160000000008,1.3199466666666666,1.5758000000000005,1.3868199999999995,1.6627120000000013,1.4764039999999998,0.9473360000000004,1.48994,1.4453350000000003,1.6082319999999994,1.5698239999999986
FH_COVIDhub_ensemble,0.3438700000000001,0.28952666666666693,0.838263333333333,1.515548,0.0,0.37929600000000013,0.3108799999999999,0.45682,0.31907,0.25735199999999997,0.31907,0.2872733333333334,0.579996666666666,0.7019333333333332,0.43135,0.3415566666666668,0.40911000000000025,0.4432566666666667,0.2917733333333336,0.4747966666666665,0.34432333333333326,0.4982000000000002,0.83778,0.5856599999999998,0.34878,0.4814533333333333,0.5790566666666667,0.8129733333333337,1.1408966666666662,1.0623300000000002,0.5999839999999997,0.41543333333333377,0.30114666666666684
FH_COVIDhub_trained_ensemble,0.0,0.24163600000000018,0.9841559999999997,1.5879449999999997,0.37929600000000013,0.0,0.27587199999999995,0.06081999999999998,0.3888839999999999,0.2959849999999999,0.3888839999999999,0.09372,0.8632479999999993,0.546753333333334,0.15726399999999996,0.17666800000000005,0.11537599999999998,0.36596000000000034,0.32232,0.15254800000000002,0.12611200000000003,0.5535800000000002,0.8854079999999994,0.7364199999999996,0.23820000000000002,0.47821200000000014,0.631368,1.1495159999999998,1.3165999999999998,1.3102500000000001,0.713132,0.41679199999999994,0.11631200000000005
FH_CU_nochange,0.24896000000000004,0.2764999999999999,0.9166033333333333,1.5436119999999998,0.3108799999999999,0.27587199999999995,0.0,0.08097999999999995,0.0789033333333334,0.07524000000000003,0.0789033333333334,0.23961999999999994,0.6792666666666662,0.5974000000000003,0.32965,0.28274666666666676,0.2941400000000002,0.44898666666666687,0.2593533333333335,0.34207999999999994,0.24436333333333352,0.48724333333333364,0.9145066666666658,0.6687249999999999,0.3293666666666667,0.46180666666666687,0.63125,0.9475766666666664,1.2738633333333325,1.3079599999999996,0.660296,0.43583,0.2616333333333334
FH_CU_scenario_high,0.06081999999999998,0.2402199999999999,0.9316000000000001,,0.45682,0.06081999999999998,0.08097999999999995,0.0,0.1667,0.12590000000000004,0.1667,,1.3909399999999996,0.45918000000000014,0.10257999999999998,0.13581999999999994,0.07165999999999997,0.5880000000000001,0.12855999999999998,0.06871999999999995,0.061119999999999966,0.33154000000000006,1.1474800000000003,0.7972,0.20257999999999998,0.39260000000000006,0.8757799999999998,1.0868200000000001,1.58118,1.29474,0.6792600000000002,0.33141999999999994,0.08622
FH_CU_scenario_low,0.35737666666666656,0.3684266666666671,0.8977966666666662,1.5501279999999988,0.31907,0.3888839999999999,0.0789033333333334,0.1667,0.0,0.10350000000000004,0.0,0.3746399999999999,0.6460333333333337,0.5332933333333333,0.42360333333333317,0.3438066666666669,0.40452,0.4807100000000001,0.29307000000000005,0.4503733333333337,0.3540666666666668,0.4508333333333338,0.8690099999999994,0.6362949999999999,0.37692333333333355,0.5263566666666668,0.5844966666666666,0.8129266666666665,1.2027133333333329,1.24766,0.6633239999999997,0.4880200000000003,0.34009000000000017
FH_CU_scenario_mid,0.26881200000000005,0.2760200000000001,0.8709719999999995,1.5557799999999997,0.25735199999999997,0.2959849999999999,0.07524000000000003,0.12590000000000004,0.10350000000000004,0.0,0.10350000000000004,0.24455333333333343,0.6873000000000004,0.5428599999999998,0.324636,0.2682200000000002,0.3173160000000002,0.45996,0.23470399999999994,0.38902000000000025,0.26128400000000007,0.38299199999999994,0.9252359999999996,0.6732066666666665,0.32273599999999997,0.4788519999999996,0.5900399999999998,0.8438720000000003,1.2175480000000005,1.2771700000000001,0.6286499999999998,0.433676,0.25899999999999995
