,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_IowaStateLW_STEM,FH_JHU_IDD_CovidSP,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_RobertWalraven_ESG,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,UMich_RidgeTfReg,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_COVIDhub_baseline,0.0,1.1091399999999998,1.1458933333333334,1.2574800000000002,1.081353333333333,1.4106733333333334,1.3329200000000005,1.4426599999999994,1.3618200000000003,0.7543799999999997,1.3134600000000003,0.8581600000000001,1.1646066666666666,1.1100133333333335,1.3809133333333343,1.3223499999999995
FH_COVIDhub_ensemble,1.1091399999999998,0.0,0.51116,0.9938799999999999,0.91994,0.6901000000000002,0.6386199999999999,0.8806999999999999,0.5564400000000002,0.54056,0.24674,0.48971999999999993,0.5805800000000001,0.8427200000000002,0.46456000000000003,0.6636200000000001
FH_Covid19Sim_Simulator,1.1458933333333334,0.51116,0.0,1.0475666666666663,0.8408399999999997,0.5810933333333335,0.55036,0.8409066666666666,0.49603,1.0036666666666663,0.6058066666666669,0.46836000000000005,0.8757999999999997,0.7244266666666668,0.5519466666666667,0.71143
FH_CovidAnalytics_DELPHI,1.2574800000000002,0.9938799999999999,1.0475666666666663,0.0,0.6547066666666667,1.148613333333334,0.9181600000000002,0.4265533333333335,1.0804899999999997,0.7376066666666667,0.858046666666667,0.48705999999999994,0.5658066666666666,0.7253933333333333,1.0497466666666666,1.0617599999999998
FH_IowaStateLW_STEM,1.081353333333333,0.91994,0.8408399999999997,0.6547066666666667,0.0,0.9474666666666672,1.0333800000000002,0.6374066666666666,0.9312700000000003,0.8200333333333337,0.7934933333333333,0.5131200000000001,0.7137533333333332,0.7339000000000001,0.8973000000000002,1.02859
FH_JHU_IDD_CovidSP,1.4106733333333334,0.6901000000000002,0.5810933333333335,1.148613333333334,0.9474666666666672,0.0,0.28986,1.0121333333333338,0.21888000000000002,1.2060333333333335,0.6594333333333333,0.20216,1.008906666666667,0.6894199999999999,0.47465999999999997,0.4733800000000001
FH_Karlen_pypm,1.3329200000000005,0.6386199999999999,0.55036,0.9181600000000002,1.0333800000000002,0.28986,0.0,1.0988,0.27149999999999996,0.5618400000000001,0.45574,0.15990000000000001,0.6606799999999999,0.7043600000000001,0.5731400000000001,0.4538000000000001
FH_LANL_GrowthRate,1.4426599999999994,0.8806999999999999,0.8409066666666666,0.4265533333333335,0.6374066666666666,1.0121333333333338,1.0988,0.0,0.93895,0.9108599999999998,0.6738399999999996,0.6186400000000001,0.49942666666666696,0.7652399999999997,0.6978133333333332,0.9859600000000001
FH_LNQ_ens1,1.3618200000000003,0.5564400000000002,0.49603,1.0804899999999997,0.9312700000000003,0.21888000000000002,0.27149999999999996,0.93895,0.0,0.9873599999999999,0.4444300000000002,0.23334,0.8613000000000001,0.60938,0.40502999999999995,0.44583000000000017
FH_RobertWalraven_ESG,0.7543799999999997,0.54056,1.0036666666666663,0.7376066666666667,0.8200333333333337,1.2060333333333335,0.5618400000000001,0.9108599999999998,0.9873599999999999,0.0,0.9261533333333326,0.27265999999999996,0.5802266666666668,0.8300466666666668,1.0730933333333332,0.8454999999999998
FH_UCLA_SuEIR,1.3134600000000003,0.24674,0.6058066666666669,0.858046666666667,0.7934933333333333,0.6594333333333333,0.45574,0.6738399999999996,0.4444300000000002,0.9261533333333326,0.0,0.40130000000000005,0.6937333333333331,0.8874666666666663,0.5176666666666667,0.6126499999999999
FH_UMich_RidgeTfReg,0.8581600000000001,0.48971999999999993,0.46836000000000005,0.48705999999999994,0.5131200000000001,0.20216,0.15990000000000001,0.6186400000000001,0.23334,0.27265999999999996,0.40130000000000005,0.0,0.47373999999999994,0.36626,0.40159999999999996,0.32982000000000006
FH_USACE_ERDC_SEIR,1.1646066666666666,0.5805800000000001,0.8757999999999997,0.5658066666666666,0.7137533333333332,1.008906666666667,0.6606799999999999,0.49942666666666696,0.8613000000000001,0.5802266666666668,0.6937333333333331,0.47373999999999994,0.0,0.69756,0.7684133333333333,0.7264600000000001
UMich_RidgeTfReg,1.1100133333333335,0.8427200000000002,0.7244266666666668,0.7253933333333333,0.7339000000000001,0.6894199999999999,0.7043600000000001,0.7652399999999997,0.60938,0.8300466666666668,0.8874666666666663,0.36626,0.69756,0.0,0.7494133333333335,0.7963800000000002
USC_SI_kJalpha,1.3809133333333343,0.46456000000000003,0.5519466666666667,1.0497466666666666,0.8973000000000002,0.47465999999999997,0.5731400000000001,0.6978133333333332,0.40502999999999995,1.0730933333333332,0.5176666666666667,0.40159999999999996,0.7684133333333333,0.7494133333333335,0.0,0.5124500000000001
ensemble_SIkJa_RF,1.3223499999999995,0.6636200000000001,0.71143,1.0617599999999998,1.02859,0.4733800000000001,0.4538000000000001,0.9859600000000001,0.44583000000000017,0.8454999999999998,0.6126499999999999,0.32982000000000006,0.7264600000000001,0.7963800000000002,0.5124500000000001,0.0
