,FH_COVIDhub_baseline,FH_COVIDhub_ensemble,FH_Covid19Sim_Simulator,FH_CovidAnalytics_DELPHI,FH_DDS_NBDS,FH_IowaStateLW_STEM,FH_JHU_IDD_CovidSP,FH_Karlen_pypm,FH_LANL_GrowthRate,FH_LNQ_ens1,FH_RobertWalraven_ESG,FH_UCLA_SuEIR,FH_UMich_RidgeTfReg,FH_USACE_ERDC_SEIR,UMich_RidgeTfReg,USC_SI_kJalpha,ensemble_SIkJa_RF
FH_COVIDhub_baseline,0.0,1.1325100000000001,1.150985,1.2416100000000005,1.3928199999999995,1.0609699999999997,1.4241749999999993,1.3362800000000001,1.4388699999999992,1.3372800000000002,0.8468249999999997,1.3370200000000003,0.8581600000000001,1.211675,1.1362750000000004,1.3663600000000014,1.342606666666667
FH_COVIDhub_ensemble,1.1325100000000001,0.0,0.5397500000000001,0.8961400000000004,0.5171399999999998,0.8323600000000003,0.7370699999999998,0.7293299999999999,0.7362300000000002,0.54779,0.49227000000000004,0.34006000000000014,0.48971999999999993,0.5362199999999998,0.7430100000000006,0.46966000000000013,0.7546600000000001
FH_Covid19Sim_Simulator,1.150985,0.5397500000000001,0.0,0.9871549999999997,0.7510400000000002,0.8601099999999995,0.6110950000000005,0.64546,0.83825,0.5008933333333334,0.8827549999999998,0.6040600000000003,0.46836000000000005,0.7926250000000001,0.6987749999999999,0.5532499999999999,0.7139066666666669
FH_CovidAnalytics_DELPHI,1.2416100000000005,0.8961400000000004,0.9871549999999997,0.0,0.5752200000000001,0.6625150000000002,1.1349100000000005,0.84529,0.4349350000000002,1.0869533333333323,0.7577349999999998,0.8611400000000003,0.48705999999999994,0.6918499999999997,0.6906350000000002,0.9888699999999999,1.0598333333333336
FH_DDS_NBDS,1.3928199999999995,0.5171399999999998,0.7510400000000002,0.5752200000000001,0.0,0.6285399999999999,1.0239,1.0646400000000003,0.17472000000000001,0.8204400000000004,0.6951800000000001,0.52976,,0.6831800000000001,0.7354800000000001,0.48661999999999994,1.03648
FH_IowaStateLW_STEM,1.0609699999999997,0.8323600000000003,0.8601099999999995,0.6625150000000002,0.6285399999999999,0.0,0.9836250000000003,1.0107599999999999,0.6243050000000001,0.9535199999999999,0.7992250000000003,0.8064749999999999,0.5131200000000001,0.7664899999999994,0.735625,0.8692300000000001,1.0445533333333334
FH_JHU_IDD_CovidSP,1.4241749999999993,0.7370699999999998,0.6110950000000005,1.1349100000000005,1.0239,0.9836250000000003,0.0,0.39539,1.0521100000000008,0.2823600000000001,1.0752950000000003,0.6685799999999996,0.20216,0.8731200000000002,0.7058,0.5259199999999997,0.38932000000000005
FH_Karlen_pypm,1.3362800000000001,0.7293299999999999,0.64546,0.84529,1.0646400000000003,1.0107599999999999,0.39539,0.0,1.0774299999999997,0.49306999999999995,0.5579200000000001,0.6171299999999998,0.15990000000000001,0.7346199999999997,0.6933300000000002,0.7254800000000001,0.4689100000000001
FH_LANL_GrowthRate,1.4388699999999992,0.7362300000000002,0.83825,0.4349350000000002,0.17472000000000001,0.6243050000000001,1.0521100000000008,1.0774299999999997,0.0,0.9518533333333333,0.8773849999999999,0.6463399999999997,0.6186400000000001,0.5772200000000004,0.7586849999999997,0.66315,1.061753333333333
FH_LNQ_ens1,1.3372800000000002,0.54779,0.5008933333333334,1.0869533333333323,0.8204400000000004,0.9535199999999999,0.2823600000000001,0.49306999999999995,0.9518533333333333,0.0,0.8632533333333335,0.4642133333333335,0.23334,0.6493399999999998,0.6185066666666669,0.42714666666666656,0.4493333333333335
FH_RobertWalraven_ESG,0.8468249999999997,0.49227000000000004,0.8827549999999998,0.7577349999999998,0.6951800000000001,0.7992250000000003,1.0752950000000003,0.5579200000000001,0.8773849999999999,0.8632533333333335,0.0,0.8542399999999993,0.27265999999999996,0.5899200000000002,0.7626050000000001,0.9649300000000001,0.7943733333333332
FH_UCLA_SuEIR,1.3370200000000003,0.34006000000000014,0.6040600000000003,0.8611400000000003,0.52976,0.8064749999999999,0.6685799999999996,0.6171299999999998,0.6463399999999997,0.4642133333333335,0.8542399999999993,0.0,0.40130000000000005,0.6191099999999998,0.8620699999999997,0.5185450000000001,0.6805599999999996
FH_UMich_RidgeTfReg,0.8581600000000001,0.48971999999999993,0.46836000000000005,0.48705999999999994,,0.5131200000000001,0.20216,0.15990000000000001,0.6186400000000001,0.23334,0.27265999999999996,0.40130000000000005,0.0,0.47373999999999994,0.36626,0.40159999999999996,0.32982000000000006
FH_USACE_ERDC_SEIR,1.211675,0.5362199999999998,0.7926250000000001,0.6918499999999997,0.6831800000000001,0.7664899999999994,0.8731200000000002,0.7346199999999997,0.5772200000000004,0.6493399999999998,0.5899200000000002,0.6191099999999998,0.47373999999999994,0.0,0.6696899999999999,0.662985,0.6632466666666669
UMich_RidgeTfReg,1.1362750000000004,0.7430100000000006,0.6987749999999999,0.6906350000000002,0.7354800000000001,0.735625,0.7058,0.6933300000000002,0.7586849999999997,0.6185066666666669,0.7626050000000001,0.8620699999999997,0.36626,0.6696899999999999,0.0,0.7069,0.7588933333333332
USC_SI_kJalpha,1.3663600000000014,0.46966000000000013,0.5532499999999999,0.9888699999999999,0.48661999999999994,0.8692300000000001,0.5259199999999997,0.7254800000000001,0.66315,0.42714666666666656,0.9649300000000001,0.5185450000000001,0.40159999999999996,0.662985,0.7069,0.0,0.5732133333333335
ensemble_SIkJa_RF,1.342606666666667,0.7546600000000001,0.7139066666666669,1.0598333333333336,1.03648,1.0445533333333334,0.38932000000000005,0.4689100000000001,1.061753333333333,0.4493333333333335,0.7943733333333332,0.6805599999999996,0.32982000000000006,0.6632466666666669,0.7588933333333332,0.5732133333333335,0.0
