,0
2020-12-20,20903.88824248838
2020-12-27,19511.75209395142
2021-01-03,15938.89801897369
2021-01-10,11551.482917378597
2021-01-17,14947.073163780447
2021-01-24,18672.569701961787
2021-01-31,12990.205167939843
2021-02-07,18744.526254883614
2021-02-14,23095.153753647035
2021-02-21,26242.912177779028
2021-02-28,15112.127658664876
2021-03-07,7016.739084924008
2021-03-21,4417.459349262542
2021-03-28,4954.2025252128
2021-04-04,4550.89912073725
2021-04-11,5785.09260877367
2021-04-18,5640.0235395949485
2021-04-25,3035.1800510873545
2021-05-02,3156.378681053064
2021-05-09,3143.857219999831
2021-05-16,3786.3487924362244
2021-05-23,4396.471795337363
2021-05-30,3673.4033470989484
2021-06-06,2447.5050505154036
2021-06-13,990.3841385028863
2021-06-20,841.4345471826626
2021-06-27,977.7542789956791
2021-07-04,1208.8213853396671
2021-07-11,2074.615442363215
2021-07-18,2679.8032117533794
2021-07-25,6256.6481907993075
2021-08-01,9487.858123079464
2021-08-08,13833.699458560908
2021-08-15,15895.721136632654
2021-08-22,16372.482571809205
2021-08-29,12251.21132508023
2021-09-05,14742.298916049062
2021-09-12,19530.937619609693
2021-09-19,7880.873682135077
2021-09-26,8200.931798784239
2021-10-03,5514.817485102744
2021-10-10,11170.399390614226
2021-10-17,4283.963101853731
2021-10-24,8917.075230198221
2021-10-31,3549.2736973213673
2021-11-07,3219.9277056197507
2021-11-14,2924.2481764596446
2021-11-21,5300.937803297119
2021-11-28,4718.3274979085945
2021-12-05,9237.809802775138
2021-12-12,8250.595816150504
2021-12-19,8421.473640253564
2021-12-26,17194.52138243383
2022-01-02,46287.723078600226
2022-01-09,81989.86190889565
2022-01-16,94687.52427026082
2022-01-23,83733.37397972854
2022-01-30,56945.7770346
2022-02-06,28563.415894460522
2022-02-13,24801.378219937604
2022-02-20,41327.07866717836
2022-02-27,55548.160481612846
2022-03-06,39180.68147983802
2022-03-13,21940.19382918556
2022-03-20,12892.148258285435
2022-03-27,6300.616802237122
2022-04-03,4478.261456964825
2022-04-10,3582.2311304435066
2022-04-17,2982.7010920383395
2022-04-24,5786.337518286394
2022-05-01,5525.837415902822
2022-05-08,5874.728287123561
2022-05-15,8313.678461655301
2022-05-22,10008.559286623897
2022-05-29,6881.559076983051
2022-06-05,7563.698158420306
2022-06-12,6799.4781758976305
2022-07-03,6573.172012920379
2022-07-10,4188.880991522629
2022-07-17,8049.405655869376
2022-07-31,7517.724275182865
2022-08-14,6454.184030145657
2022-08-21,7340.9162905774865
2022-08-28,6924.072127166773
2022-09-04,6607.743175119219
2022-09-11,7487.62561481952
2022-09-18,6560.814975065095
2022-09-25,5289.378750607791
2022-10-02,6037.02971995126
2022-10-09,7772.202909003774
2022-10-16,4833.770715243144
2022-10-23,4609.144590149112
2022-10-30,5260.168491018474
2022-11-06,4083.9340360436927
2022-11-13,1736.2876306088604
2022-11-20,2265.718772040734
