,0
2021-03-07,9316.43137254902
2021-03-14,7455.089285714285
2021-03-21,4268.0392156862745
2021-03-28,3505.5686274509803
2021-04-04,3734.470588235294
2021-06-06,3121.235294117647
2021-06-13,2022.0588235294117
2021-06-20,1131.1568627450981
2021-06-27,926.2156862745098
2021-07-04,892.3137254901961
2021-07-11,1637.4313725490197
2021-07-18,3177.921568627451
2021-07-25,5995.117647058823
2021-08-01,9581.21568627451
2021-08-08,13568.78431372549
2021-08-15,14762.803921568628
2021-08-22,9130.137254901962
2021-08-29,26879.21568627451
2021-09-05,47443.98039215686
2021-09-12,29374.764705882353
2021-09-19,16554.764705882353
2021-09-26,10866.882352941177
2021-10-03,8049.588235294118
2021-10-10,10022.78431372549
2021-10-17,5088.058823529412
2021-10-24,7051.9607843137255
2021-10-31,4018.4313725490197
2021-11-07,2857.0
2021-11-14,2806.176470588235
2021-11-21,4786.137254901961
2021-11-28,4599.882352941177
2021-12-05,8633.56862745098
2021-12-12,7712.568627450981
2021-12-19,7280.019607843137
2021-12-26,15426.35294117647
2022-01-02,45024.74509803922
2022-01-09,81453.33333333333
2022-01-16,89215.88235294117
2022-01-23,75987.80392156863
2022-01-30,43850.333333333336
2022-02-06,223780.39215686274
2022-02-13,142077.8431372549
2022-02-20,73227.37254901961
2022-02-27,34553.098039215685
2022-03-06,24943.470588235294
2022-03-13,14957.0
2022-03-20,5375.137254901961
2022-03-27,2356.2549019607845
2022-04-03,2967.078431372549
2022-04-10,2799.078431372549
2022-04-17,3302.4901960784314
2022-04-24,4049.4117647058824
2022-05-01,4128.274509803921
2022-05-08,6774.882352941177
2022-05-15,6938.3725490196075
2022-05-22,9953.725490196079
2022-05-29,7043.843137254902
2022-06-05,6627.176470588235
2022-06-12,6140.509803921569
2022-06-19,5332.267857142857
2022-06-26,6860.392156862745
2022-07-03,4429.921568627451
2022-07-10,3452.8627450980393
2022-07-17,4933.901960784314
2022-07-24,5581.6274509803925
2022-07-31,5853.666666666667
2022-08-07,3741.627450980392
2022-08-14,4532.78431372549
2022-08-21,6687.980392156863
2022-08-28,5690.21568627451
2022-09-04,3923.8039215686276
2022-09-11,5429.35294117647
2022-09-18,5044.588235294118
2022-09-25,3992.843137254902
2022-10-02,4832.313725490196
2022-10-09,4298.941176470588
2022-10-16,3692.274509803922
2022-10-23,3726.9607843137255
2022-10-30,2630.274509803922
2022-11-06,1852.4313725490197
2022-11-13,1739.5882352941176
2022-11-20,1946.2156862745098
2022-11-27,2281.2549019607845
2022-12-04,2610.2156862745096
2022-12-11,3169.6666666666665
2022-12-18,3696.1176470588234
2022-12-25,3775.764705882353
2023-01-01,2971.156862745098
2023-01-08,4261.089285714285
2023-01-15,5963.607843137255
2023-01-22,4792.214285714285
2023-01-29,5498.314814814815
2023-02-05,2946.8571428571427
